[run 1/994] poly_d2_o2 point_000 war weights=(0.001,)
[run 83/994] poly_d2_o4 point_034 war weights=(10.0, 1000.0)
[run 84/994] poly_d2_o4 point_034 real_tanh_autodiff weights=(10.0, 1000.0)
[run 85/994] poly_d2_o4 point_035 war weights=(100.0, 0.001)
[run 86/994] poly_d2_o4 point_035 real_tanh_autodiff weights=(100.0, 0.001)
[run 87/994] poly_d2_o4 point_036 war weights=(100.0, 0.01)
[run 88/994] poly_d2_o4 point_036 real_tanh_autodiff weights=(100.0, 0.01)
[run 89/994] poly_d2_o4 point_037 war weights=(100.0, 0.1)
[run 90/994] poly_d2_o4 point_037 real_tanh_autodiff weights=(100.0, 0.1)
[run 91/994] poly_d2_o4 point_038 war weights=(100.0, 1.0)
[run 92/994] poly_d2_o4 point_038 real_tanh_autodiff weights=(100.0, 1.0)
[run 93/994] poly_d2_o4 point_039 war weights=(100.0, 10.0)
[run 94/994] poly_d2_o4 point_039 real_tanh_autodiff weights=(100.0, 10.0)
[run 95/994] poly_d2_o4 point_040 war weights=(100.0, 100.0)
[run 96/994] poly_d2_o4 point_040 real_tanh_autodiff weights=(100.0, 100.0)
[run 97/994] poly_d2_o4 point_041 war weights=(100.0, 1000.0)
[run 98/994] poly_d2_o4 point_041 real_tanh_autodiff weights=(100.0, 1000.0)
[run 99/994] poly_d2_o4 point_042 war weights=(1000.0, 0.001)
[run 100/994] poly_d2_o4 point_042 real_tanh_autodiff weights=(1000.0, 0.001)
[run 101/994] poly_d2_o4 point_043 war weights=(1000.0, 0.01)
[run 102/994] poly_d2_o4 point_043 real_tanh_autodiff weights=(1000.0, 0.01)
[run 103/994] poly_d2_o4 point_044 war weights=(1000.0, 0.1)
[run 104/994] poly_d2_o4 point_044 real_tanh_autodiff weights=(1000.0, 0.1)
[run 105/994] poly_d2_o4 point_045 war weights=(1000.0, 1.0)
[run 106/994] poly_d2_o4 point_045 real_tanh_autodiff weights=(1000.0, 1.0)
[run 107/994] poly_d2_o4 point_046 war weights=(1000.0, 10.0)
[run 108/994] poly_d2_o4 point_046 real_tanh_autodiff weights=(1000.0, 10.0)
[run 109/994] poly_d2_o4 point_047 war weights=(1000.0, 100.0)
[run 110/994] poly_d2_o4 point_047 real_tanh_autodiff weights=(1000.0, 100.0)
[run 111/994] poly_d2_o4 point_048 war weights=(1000.0, 1000.0)
[run 112/994] poly_d2_o4 point_048 real_tanh_autodiff weights=(1000.0, 1000.0)
[run 113/994] cahn_hilliard_o4 point_000 war weights=(0.001, 0.001)
[run 114/994] cahn_hilliard_o4 point_000 real_tanh_autodiff weights=(0.001, 0.001)
[run 115/994] cahn_hilliard_o4 point_001 war weights=(0.001, 0.01)
[run 116/994] cahn_hilliard_o4 point_001 real_tanh_autodiff weights=(0.001, 0.01)
[run 117/994] cahn_hilliard_o4 point_002 war weights=(0.001, 0.1)
[run 118/994] cahn_hilliard_o4 point_002 real_tanh_autodiff weights=(0.001, 0.1)
[run 119/994] cahn_hilliard_o4 point_003 war weights=(0.001, 1.0)
[run 120/994] cahn_hilliard_o4 point_003 real_tanh_autodiff weights=(0.001, 1.0)
[run 121/994] cahn_hilliard_o4 point_004 war weights=(0.001, 10.0)
[run 122/994] cahn_hilliard_o4 point_004 real_tanh_autodiff weights=(0.001, 10.0)
