L2_err,completed_at,evaluation_seconds,final_history_has_loss,final_history_has_rel_error,history_points,loss,method,ms_per_step,peak_mb,rel_error,seed,started_at,status,steps,task_id,training_seconds,weights
0.00014816362818237394,2026-08-08T17:28:56.141027+00:00,0.07467535324394703,True,True,241,4.8440114142067614e-08,war,6.138396590044695,286.43115234375,0.00014816362818237394,0,2026-08-08T17:08:50.140719+00:00,complete,195491,poly_d2_o2,1200.0012877844274,[1.0]
0.0014956740196794271,2026-08-08T17:49:12.475216+00:00,0.06884401105344296,True,True,241,3.666264092316851e-07,real_tanh_autodiff,5.24595293000477,211.19921875,0.0014956740196794271,0,2026-08-08T17:29:08.386111+00:00,complete,228748,poly_d2_o2,1200.0012408327311,[1.0]
0.00028589743305929005,2026-08-08T18:09:33.159846+00:00,0.07386435195803642,True,True,241,8.689101349546036e-08,war,6.157581149093739,286.43115234375,0.00028589743305929005,1,2026-08-08T17:49:24.914615+00:00,complete,194882,poly_d2_o2,1200.001729497686,[1.0]
0.0005702360649593174,2026-08-08T18:29:46.145362+00:00,0.07818400859832764,True,True,241,1.9002604290108138e-07,real_tanh_autodiff,5.2311647097618525,211.19921875,0.0005702360649593174,1,2026-08-08T18:09:41.430840+00:00,complete,229395,poly_d2_o2,1200.00302859582,[1.0]
0.00016165548004209995,2026-08-08T18:49:55.903096+00:00,0.0781177505850792,True,True,241,5.0655351913064806e-08,war,6.245595854338869,286.43115234375,0.00016165548004209995,2,2026-08-08T18:29:51.671070+00:00,complete,192136,poly_d2_o2,1200.0038050692528,[1.0]
0.0001652045757509768,2026-08-08T19:10:12.710902+00:00,0.06780693121254444,True,True,241,3.71696202705607e-08,real_tanh_autodiff,5.236721020607433,211.19921875,0.0001652045757509768,2,2026-08-08T18:50:02.287154+00:00,complete,229152,poly_d2_o2,1200.0050953142345,[1.0]
2.7830503313452937e-05,2026-08-08T19:30:26.038651+00:00,0.07535665482282639,True,True,241,1.7854738132427883e-08,war,6.106094580369738,286.43115234375,2.7830503313452937e-05,3,2026-08-08T19:10:21.454810+00:00,complete,196525,poly_d2_o2,1200.0002374071628,[1.0]
0.00048130747745744884,2026-08-08T19:50:37.188702+00:00,0.06800406612455845,True,True,241,1.2639014812521054e-07,real_tanh_autodiff,5.202249910002692,211.19921875,0.00048130747745744884,3,2026-08-08T19:30:33.329423+00:00,complete,230670,poly_d2_o2,1200.002986740321,[1.0]
0.0001325372577412054,2026-08-08T20:10:47.270164+00:00,0.0744036678224802,True,True,241,4.990893387457618e-08,war,6.184468362624875,286.43115234375,0.0001325372577412054,4,2026-08-08T19:50:43.917883+00:00,complete,194035,poly_d2_o2,1200.0033187419176,[1.0]
0.00021768837177660316,2026-08-08T20:30:59.442415+00:00,0.06771604344248772,True,True,241,4.7525112734092545e-08,real_tanh_autodiff,5.200622374040652,211.19921875,0.00021768837177660316,4,2026-08-08T20:10:55.131684+00:00,complete,230742,poly_d2_o2,1200.002007830888,[1.0]
0.0010330063523724675,2026-08-08T20:51:13.545607+00:00,0.08000321127474308,True,True,241,1.9351468836248387e-06,war,21.15128758332483,915.55126953125,0.0010330063523724675,0,2026-08-08T20:31:09.937129+00:00,complete,56735,poly_d2_o4,1200.0183010399342,"[1.0, 1.0]"
0.003488984191790223,2026-08-08T21:11:24.673996+00:00,0.07568521052598953,True,True,241,5.91704383623437e-06,real_tanh_autodiff,38.44908221050768,1304.47119140625,0.003488984191790223,0,2026-08-08T20:51:20.627689+00:00,complete,31211,poly_d2_o4,1200.0343048721552,"[1.0, 1.0]"
0.005010904278606176,2026-08-08T21:31:36.985046+00:00,0.08029523491859436,True,True,241,3.603954610298388e-05,war,21.030773619294973,915.55126953125,0.005010904278606176,1,2026-08-08T21:11:32.630592+00:00,complete,57060,poly_d2_o4,1200.015942716971,"[1.0, 1.0]"
0.0020134360529482365,2026-08-08T21:51:47.734515+00:00,0.07897249050438404,True,True,241,2.14830265576893e-06,real_tanh_autodiff,38.233905070489996,1304.47119140625,0.0020134360529482365,1,2026-08-08T21:31:44.080181+00:00,complete,31386,poly_d2_o4,1200.009344542399,"[1.0, 1.0]"
0.0048802439123392105,2026-08-08T22:11:57.525299+00:00,0.07984182983636856,True,True,241,1.878266266430728e-05,war,21.139966747197278,915.55126953125,0.0048802439123392105,2,2026-08-08T21:51:54.041968+00:00,complete,56765,poly_d2_o4,1200.0102124046534,"[1.0, 1.0]"
0.0005610297666862607,2026-08-08T22:32:14.024946+00:00,0.07734937034547329,True,True,241,4.4886709815727954e-07,real_tanh_autodiff,38.45346597265547,1304.47119140625,0.0005610297666862607,2,2026-08-08T22:12:09.500437+00:00,complete,31207,poly_d2_o4,1200.0173126086593,"[1.0, 1.0]"
0.0016250924672931433,2026-08-08T22:52:24.332713+00:00,0.0808147769421339,True,True,241,3.143531330351834e-06,war,21.153398699779107,915.55126953125,0.0016250924672931433,3,2026-08-08T22:32:20.620047+00:00,complete,56729,poly_d2_o4,1200.011154839769,"[1.0, 1.0]"
0.003310504835098982,2026-08-08T23:12:35.404573+00:00,0.07712961174547672,True,True,241,7.566270141978748e-06,real_tanh_autodiff,38.07913392699228,1304.47119140625,0.003310504835098982,3,2026-08-08T22:52:31.669795+00:00,complete,31514,poly_d2_o4,1200.0258265752345,"[1.0, 1.0]"
0.002308694878593087,2026-08-08T23:32:47.257844+00:00,0.08027849905192852,True,True,241,6.289558314165333e-06,war,21.16836314993746,915.55126953125,0.002308694878593087,4,2026-08-08T23:12:43.096472+00:00,complete,56689,poly_d2_o4,1200.0133386068046,"[1.0, 1.0]"
0.0009932465618476272,2026-08-08T23:52:57.863481+00:00,0.07649471051990986,True,True,241,8.186882496374892e-07,real_tanh_autodiff,38.12850766909907,1304.47119140625,0.0009932465618476272,4,2026-08-08T23:32:54.129213+00:00,complete,31473,poly_d2_o4,1200.0185218695551,"[1.0, 1.0]"
1.0000039339065552,2026-08-09T00:13:12.783217+00:00,0.09887225739657879,True,True,241,0.24710796773433685,war,70.70866626205115,2911.06591796875,1.0000039339065552,0,2026-08-08T23:53:09.088200+00:00,complete,16972,poly_d2_o6,1200.067483799532,"[10.0, 1.0, 1.0]"
0.9999901056289673,2026-08-09T00:33:26.377187+00:00,0.09228110127151012,True,True,241,0.24710768461227417,real_tanh_autodiff,370.66805438576307,8676.39990234375,0.9999901056289673,0,2026-08-09T00:13:21.026246+00:00,complete,3238,poly_d2_o6,1200.2231601011008,"[10.0, 1.0, 1.0]"
0.9999986886978149,2026-08-09T00:53:36.891829+00:00,0.097823990508914,True,True,241,0.24917477369308472,war,70.58434187171723,2911.06591796875,0.9999986886978149,1,2026-08-09T00:33:33.080670+00:00,complete,17001,poly_d2_o6,1200.0043961610645,"[10.0, 1.0, 1.0]"
0.9999477863311768,2026-08-09T01:13:48.249153+00:00,0.09701086021959782,True,True,241,0.24917446076869965,real_tanh_autodiff,371.07805907150333,8676.39990234375,0.9999477863311768,1,2026-08-09T00:53:43.825787+00:00,complete,3234,poly_d2_o6,1200.0664430372417,"[10.0, 1.0, 1.0]"
0.9999998807907104,2026-08-09T01:34:01.470296+00:00,0.0978393517434597,True,True,241,0.24890202283859253,war,69.9625476088905,2911.06591796875,0.9999998807907104,2,2026-08-09T01:13:56.431828+00:00,complete,17153,poly_d2_o6,1200.0675791352987,"[10.0, 1.0, 1.0]"
0.9996374249458313,2026-08-09T01:54:17.630137+00:00,0.10086248070001602,True,True,241,0.2488882839679718,real_tanh_autodiff,377.5734048320339,8676.39990234375,0.9996374249458313,2,2026-08-09T01:34:13.076416+00:00,complete,3179,poly_d2_o6,1200.3058539610356,"[10.0, 1.0, 1.0]"
1.0,2026-08-09T02:14:29.032455+00:00,0.09926055558025837,True,True,241,0.24727201461791992,war,70.63288999509818,2911.06591796875,1.0,3,2026-08-09T01:54:24.743039+00:00,complete,16990,poly_d2_o6,1200.0528010167181,"[10.0, 1.0, 1.0]"
0.9832212924957275,2026-08-09T02:34:43.383788+00:00,0.09657446853816509,True,True,241,0.24060194194316864,real_tanh_autodiff,374.0997296273755,8676.39990234375,0.9832212924957275,3,2026-08-09T02:14:38.052329+00:00,complete,3208,poly_d2_o6,1200.1119326446205,"[10.0, 1.0, 1.0]"
1.000001311302185,2026-08-09T02:54:54.300723+00:00,0.10044511035084724,True,True,241,0.25291556119918823,war,70.82515500039143,2911.06591796875,1.000001311302185,4,2026-08-09T02:34:50.375433+00:00,complete,16944,poly_d2_o6,1200.0614263266325,"[10.0, 1.0, 1.0]"
0.9999647736549377,2026-08-09T03:15:11.765246+00:00,0.09672189317643642,True,True,241,0.25291529297828674,real_tanh_autodiff,380.10654997663306,8676.39990234375,0.9999647736549377,4,2026-08-09T02:55:01.495435+00:00,complete,3158,poly_d2_o6,1200.3764848262072,"[10.0, 1.0, 1.0]"
