real_ad_loss,real_ad_ms_per_step,real_ad_over_war_rel_error,real_ad_over_war_step_time,real_ad_peak_mb,real_ad_rel_error,real_ad_steps,seed,task_id,task_label,war_loss,war_ms_per_step,war_peak_mb,war_rel_error,war_steps
4.418081880430691e-05,25.401186840116264,1.9574811996797994,0.9879769432275238,306.62890625,0.05120006576180458,23621,0,zk_2d_o3,ZK-2D (order 3),5.446213253890164e-05,25.710303276041692,499.498046875,0.026156095787882805,23337
8.5216794104781e-05,25.322907613317575,1.0823782528978991,0.9904248266478225,306.62890625,0.04518890380859375,23694,1,zk_2d_o3,ZK-2D (order 3),2.615669473016169e-05,25.5677229931979,499.498046875,0.04174964129924774,23468
7.588189328089356e-05,25.097810634883903,0.8750299943561751,0.9974930991196962,306.62890625,0.06004485487937927,23907,2,zk_2d_o3,ZK-2D (order 3),3.76054595108144e-05,25.160886483358258,499.498046875,0.06862033903598785,23847
0.3761202096939087,33.36010062974909,0.9998773473851035,0.977830739463445,386.2939453125,0.99998939037323,17986,0,zk_3d_o3,ZK-3D (order 3),0.36415472626686096,34.116436805877505,680.75390625,1.0001120567321777,17587
0.3570396304130554,33.23425828799369,0.9999889136232973,0.9960347456730193,386.2939453125,0.9999967813491821,18054,1,zk_3d_o3,ZK-3D (order 3),0.41704341769218445,33.3665652050495,680.75390625,1.0000078678131104,17983
0.3478245735168457,32.98778969212237,1.0000814208183137,0.9680583944303066,386.2939453125,1.0000706911087036,18189,2,zk_3d_o3,ZK-3D (order 3),0.3474448323249817,34.07623949331629,680.75390625,0.9999892711639404,17608
0.00019403161422815174,46.34514269366144,9.072133481190786,1.6418151472992824,738.71044921875,0.03189937025308609,12947,0,dynamic_plate_2d_o4,Dynamic plate (order 4),2.2033676941646263e-05,28.227990690606838,599.77880859375,0.0035161927808076143,21256
0.0002140126161975786,47.07984417463551,9.171024095305162,1.6877326570119073,738.71044921875,0.03952856361865997,12745,1,dynamic_plate_2d_o4,Dynamic plate (order 4),7.107357669156045e-05,27.895320967474383,599.77880859375,0.004310158081352711,21509
0.00019592061289586127,46.24324989083415,17.61387220512002,1.6647083337103306,738.71044921875,0.05251677706837654,12975,2,dynamic_plate_2d_o4,Dynamic plate (order 4),1.5377980162156746e-05,27.778589771198178,599.77880859375,0.0029815577436238527,21600
0.02418428845703602,45.96238579502602,0.9998722101498726,1.7693498658697748,768.478515625,1.0008245706558228,13055,0,swift_hohenberg_2d_o4,Swift–Hohenberg (order 4),0.024620138108730316,25.976991143259216,643.171875,1.0009524822235107,23098
0.025184812024235725,45.618741737028216,1.000599608689611,1.6917258811666702,768.478515625,1.000523567199707,13153,1,swift_hohenberg_2d_o4,Swift–Hohenberg (order 4),0.02496851235628128,26.965799982659142,643.171875,0.9999240040779114,22251
0.024386253207921982,45.92581433947977,1.0009922400001288,1.6460861076011832,768.478515625,1.0009907484054565,13065,2,swift_hohenberg_2d_o4,Swift–Hohenberg (order 4),0.024871423840522766,27.90000725199411,643.171875,0.9999985098838806,21506
