evaluation_seconds,history_points,loss,method,method_label,ms_per_step,peak_mb,rel_error,seed,stage,steps,task_id,task_label,training_seconds
0.022879809141159058,61,3.994976850663079e-06,war,"WAR (complex64, sinh)",25.19055617421144,499.498046875,0.014503680169582367,0,formal,47637,zk_2d_o3,ZK-2D (order 3),1200.0025244709104
0.020415637642145157,61,1.3038563338341191e-05,real_tanh_autodiff,"Real AD (float32, tanh)",24.279844678337508,306.62890625,0.024877119809389114,0,formal,49424,zk_2d_o3,ZK-2D (order 3),1200.007043382153
0.023044070228934288,61,3.632636071415618e-05,war,"WAR (complex64, sinh)",25.18352307129074,499.498046875,0.018088165670633316,1,formal,47651,zk_2d_o3,ZK-2D (order 3),1200.020057870075
0.02062811329960823,61,1.3375528396863956e-05,real_tanh_autodiff,"Real AD (float32, tanh)",24.58628180767737,306.62890625,0.030180232599377632,1,formal,48808,zk_2d_o3,ZK-2D (order 3),1200.007242469117
0.02334616519510746,61,1.313375287281815e-05,war,"WAR (complex64, sinh)",25.529533763302283,499.498046875,0.016834286972880363,2,formal,47005,zk_2d_o3,ZK-2D (order 3),1200.0157345440239
0.02311307191848755,61,4.598675877787173e-05,real_tanh_autodiff,"Real AD (float32, tanh)",27.32215891102911,306.62890625,0.03386194258928299,2,formal,43921,zk_2d_o3,ZK-2D (order 3),1200.0165415313095
0.025545798242092133,61,7.0500313995580655e-06,war,"WAR (complex64, sinh)",26.871698768382952,499.498046875,0.016281388700008392,3,formal,44657,zk_2d_o3,ZK-2D (order 3),1200.0094518996775
0.022648334503173828,61,1.6312293155351654e-05,real_tanh_autodiff,"Real AD (float32, tanh)",26.218164663640582,306.62890625,0.02624651975929737,3,formal,45770,zk_2d_o3,ZK-2D (order 3),1200.0053966548294
0.02396235242486,61,4.284530405129772e-06,war,"WAR (complex64, sinh)",25.556872929644246,499.498046875,0.009316601790487766,4,formal,46955,zk_2d_o3,ZK-2D (order 3),1200.0229684114456
0.02285030484199524,61,4.208513564663008e-05,real_tanh_autodiff,"Real AD (float32, tanh)",26.54174850410058,306.62890625,0.03128388896584511,4,formal,45212,zk_2d_o3,ZK-2D (order 3),1200.0055333673954
