evaluation_seconds,history_points,loss,method,method_label,ms_per_step,peak_mb,rel_error,seed,stage,steps,task_id,task_label,training_seconds
0.011780837550759315,31,5.446213253890164e-05,war,"WAR (complex64, sinh)",25.710303276041692,499.498046875,0.026156095787882805,0,pilot,23337,zk_2d_o3,ZK-2D (order 3),600.001347552985
0.010564623400568962,31,4.418081880430691e-05,real_tanh_autodiff,"Real AD (float32, tanh)",25.401186840116264,306.62890625,0.05120006576180458,0,pilot,23621,zk_2d_o3,ZK-2D (order 3),600.0014343503863
0.01164618507027626,31,2.615669473016169e-05,war,"WAR (complex64, sinh)",25.5677229931979,499.498046875,0.04174964129924774,1,pilot,23468,zk_2d_o3,ZK-2D (order 3),600.0233232043684
0.010560497641563416,31,8.5216794104781e-05,real_tanh_autodiff,"Real AD (float32, tanh)",25.322907613317575,306.62890625,0.04518890380859375,1,pilot,23694,zk_2d_o3,ZK-2D (order 3),600.0009729899466
0.011351808905601501,31,3.76054595108144e-05,war,"WAR (complex64, sinh)",25.160886483358258,499.498046875,0.06862033903598785,2,pilot,23847,zk_2d_o3,ZK-2D (order 3),600.0116599686444
0.010402508080005646,31,7.588189328089356e-05,real_tanh_autodiff,"Real AD (float32, tanh)",25.097810634883903,306.62890625,0.06004485487937927,2,pilot,23907,zk_2d_o3,ZK-2D (order 3),600.0133588481694
0.012303030118346214,31,0.36415472626686096,war,"WAR (complex64, sinh)",34.116436805877505,680.75390625,1.0001120567321777,0,pilot,17587,zk_3d_o3,ZK-3D (order 3),600.0057741049677
0.010494466871023178,31,0.3761202096939087,real_tanh_autodiff,"Real AD (float32, tanh)",33.36010062974909,386.2939453125,0.99998939037323,0,pilot,17986,zk_3d_o3,ZK-3D (order 3),600.0147699266672
0.011782662943005562,31,0.41704341769218445,war,"WAR (complex64, sinh)",33.3665652050495,680.75390625,1.0000078678131104,1,pilot,17983,zk_3d_o3,ZK-3D (order 3),600.0309420824051
0.010665889829397202,31,0.3570396304130554,real_tanh_autodiff,"Real AD (float32, tanh)",33.23425828799369,386.2939453125,0.9999967813491821,1,pilot,18054,zk_3d_o3,ZK-3D (order 3),600.0112991314381
0.012181190773844719,31,0.3474448323249817,war,"WAR (complex64, sinh)",34.07623949331629,680.75390625,0.9999892711639404,2,pilot,17608,zk_3d_o3,ZK-3D (order 3),600.0144249983132
0.010504618287086487,31,0.3478245735168457,real_tanh_autodiff,"Real AD (float32, tanh)",32.98778969212237,386.2939453125,1.0000706911087036,2,pilot,18189,zk_3d_o3,ZK-3D (order 3),600.0149067100137
0.01200910285115242,31,2.2033676941646263e-05,war,"WAR (complex64, sinh)",28.227990690606838,599.77880859375,0.0035161927808076143,0,pilot,21256,dynamic_plate_2d_o4,Dynamic plate (order 4),600.0141701195389
0.011025473475456238,31,0.00019403161422815174,real_tanh_autodiff,"Real AD (float32, tanh)",46.34514269366144,738.71044921875,0.03189937025308609,0,pilot,12947,dynamic_plate_2d_o4,Dynamic plate (order 4),600.0305624548346
0.011861810460686684,31,7.107357669156045e-05,war,"WAR (complex64, sinh)",27.895320967474383,599.77880859375,0.004310158081352711,1,pilot,21509,dynamic_plate_2d_o4,Dynamic plate (order 4),600.0004586894065
0.010828845202922821,31,0.0002140126161975786,real_tanh_autodiff,"Real AD (float32, tanh)",47.07984417463551,738.71044921875,0.03952856361865997,1,pilot,12745,dynamic_plate_2d_o4,Dynamic plate (order 4),600.0326140057296
0.011717606335878372,31,1.5377980162156746e-05,war,"WAR (complex64, sinh)",27.778589771198178,599.77880859375,0.0029815577436238527,2,pilot,21600,dynamic_plate_2d_o4,Dynamic plate (order 4),600.0175390578806
0.01087358221411705,31,0.00019592061289586127,real_tanh_autodiff,"Real AD (float32, tanh)",46.24324989083415,738.71044921875,0.05251677706837654,2,pilot,12975,dynamic_plate_2d_o4,Dynamic plate (order 4),600.0061673335731
0.011637784540653229,31,0.024620138108730316,war,"WAR (complex64, sinh)",25.976991143259216,643.171875,1.0009524822235107,0,pilot,23098,swift_hohenberg_2d_o4,Swift–Hohenberg (order 4),600.0165414270014
0.01085926778614521,31,0.02418428845703602,real_tanh_autodiff,"Real AD (float32, tanh)",45.96238579502602,768.478515625,1.0008245706558228,0,pilot,13055,swift_hohenberg_2d_o4,Swift–Hohenberg (order 4),600.0389465540648
0.01240268349647522,31,0.02496851235628128,war,"WAR (complex64, sinh)",26.965799982659142,643.171875,0.9999240040779114,1,pilot,22251,swift_hohenberg_2d_o4,Swift–Hohenberg (order 4),600.0160154141486
0.010885557159781456,31,0.025184812024235725,real_tanh_autodiff,"Real AD (float32, tanh)",45.618741737028216,768.478515625,1.000523567199707,1,pilot,13153,swift_hohenberg_2d_o4,Swift–Hohenberg (order 4),600.0233100671321
0.013234475627541542,31,0.024871423840522766,war,"WAR (complex64, sinh)",27.90000725199411,643.171875,0.9999985098838806,2,pilot,21506,swift_hohenberg_2d_o4,Swift–Hohenberg (order 4),600.0175559613854
0.010841097682714462,31,0.024386253207921982,real_tanh_autodiff,"Real AD (float32, tanh)",45.92581433947977,768.478515625,1.0009907484054565,2,pilot,13065,swift_hohenberg_2d_o4,Swift–Hohenberg (order 4),600.0207643453032
