elapsed_seconds,loss_max,loss_median,loss_min,loss_q25,loss_q75,method,method_label,rel_error_max,rel_error_median,rel_error_min,rel_error_q25,rel_error_q75,task_id
0.0,2.2671823501586914,1.3357925415039062,1.0401837825775146,1.185268521308899,2.158740520477295,war,"WAR (complex64, sinh)",1.3738802671432495,1.159508466720581,1.0151312351226807,1.076512336730957,1.3253854513168335,zk_2d_o3
20.0,0.16211847958927045,0.04833931349935392,0.018073824450070292,0.018115339318002733,0.07394386162848457,war,"WAR (complex64, sinh)",0.8141128797987391,0.6529165213852733,0.503680515092927,0.5861078152149838,0.7871604435885093,zk_2d_o3
40.0,0.024868408869405955,0.007919359802935885,0.0030171883351641526,0.005834115877526375,0.012909240447616077,war,"WAR (complex64, sinh)",0.7966687356195732,0.4910017765405021,0.4080235003726757,0.4387247023678459,0.7406097099995786,zk_2d_o3
60.0,0.011228961932918068,0.005172839411543457,0.0013815368254751885,0.0038763560296979677,0.005383642751010698,war,"WAR (complex64, sinh)",0.774904454837278,0.4055265420942059,0.2904201105632187,0.39006092930414776,0.707304554537202,zk_2d_o3
80.0,0.010871294692474939,0.0036029577951129485,0.002324096677300052,0.0034110668934557685,0.007478612255664068,war,"WAR (complex64, sinh)",0.7433959667312721,0.36919636847113985,0.23215057678707887,0.3337180962113602,0.6729017120244225,zk_2d_o3
100.0,0.011756804022298705,0.003586526869119191,0.0007419014899476781,0.0021045914957610263,0.004272408380577227,war,"WAR (complex64, sinh)",0.7252949985866903,0.3384487469420647,0.2182956781100973,0.28827068235932746,0.6500725003264427,zk_2d_o3
120.0,0.0034728562537725016,0.0026773331748554735,0.0006087246983128913,0.002363384651551338,0.003276293231194244,war,"WAR (complex64, sinh)",0.6804705586687015,0.29087206763570206,0.20571874528260647,0.21530057637775848,0.6111049534874441,zk_2d_o3
140.0,0.004047614599310737,0.002295108427486186,0.0016567749974540056,0.002199919232713126,0.00323322476114072,war,"WAR (complex64, sinh)",0.6260466911972583,0.2627941431560216,0.15297414873368725,0.2004970412282861,0.5587867096849891,zk_2d_o3
160.0,0.006852223190029054,0.002375768373515701,0.0005106684419385134,0.0021648775177872345,0.004751414181859578,war,"WAR (complex64, sinh)",0.532841605859003,0.25267361248559367,0.15438933271963626,0.20880682566798034,0.47268623593023584,zk_2d_o3
180.0,0.0009147834676565143,0.0008000235678133439,0.0004718947149596118,0.0006495692239962475,0.0008009560226948884,war,"WAR (complex64, sinh)",0.42312122989453804,0.2148417440699718,0.1377682630579121,0.19055589039053905,0.41812912584536144,zk_2d_o3
200.0,0.00304642436324101,0.0027004624947572003,0.0011491914791301268,0.0019362203222733577,0.0030338955170462535,war,"WAR (complex64, sinh)",0.29027399072718635,0.19704987037854316,0.14681394886834598,0.19179594301168318,0.23694497444144552,zk_2d_o3
