real_ad_loss,real_ad_mass_drift_rms,real_ad_over_war_peak_mb,real_ad_over_war_rel_error,real_ad_peak_mb,real_ad_rel_error,real_ad_steps,seed,task_id,task_label,war_loss,war_mass_drift_rms,war_over_real_ad_steps,war_peak_mb,war_rel_error,war_steps
0.0006711476016789675,0.005364715121686459,1.1790260631831075,25.899486842807857,1903.5859375,0.03596854954957962,18829,0,cahn_hilliard_2d_o4,CH4,1.6418679251728463e-06,0.00012752921611536294,1.5163311912475437,1614.541015625,0.0013887746026739478,28551
0.0003143491339869797,0.0020914857741445303,1.1790260631831075,18.63377414128079,1903.5859375,0.023483946919441223,19380,1,cahn_hilliard_2d_o4,CH4,6.389793725247728e-07,6.945290806470439e-05,1.4978328173374613,1614.541015625,0.0012602893402799964,29028
0.0006211423315107822,0.005853382404893637,1.1790260631831075,11.71013124148218,1903.5859375,0.03861898183822632,19355,2,cahn_hilliard_2d_o4,CH4,1.412177698512096e-05,0.0004811829421669245,1.5352622061482821,1614.541015625,0.0032979119569063187,29715
0.00037176429759711027,0.0024416218511760235,1.1790260631831075,6.650943126215391,1903.5859375,0.021100882440805435,19159,3,cahn_hilliard_2d_o4,CH4,2.2898041152075166e-06,0.0003419096174184233,1.538598047914818,1614.541015625,0.0031726150773465633,29478
0.0007733840029686689,0.0016511458670720458,1.1790260631831075,19.368654710949144,1903.5859375,0.038713861256837845,19425,4,cahn_hilliard_2d_o4,CH4,3.7098029679327738e-06,0.00020403455710038543,1.4942599742599743,1614.541015625,0.0019987893756479025,29026
0.032661862671375275,0.052941154688596725,2.3659743464444905,98.62782375887821,10697.62939453125,0.605411171913147,2453,0,cahn_hilliard_2d_o6,CH6,8.269451427622698e-06,0.00011250843817833811,4.625356706074195,4521.44775390625,0.006138340570032597,11346
0.05978904291987419,0.011129048652946949,2.3659743464444905,42.246756502017156,10697.62939453125,0.31464630365371704,2440,1,cahn_hilliard_2d_o6,CH6,6.2268741203297395e-06,0.0003149773401673883,4.632377049180328,4521.44775390625,0.00744782155379653,11303
0.03684939071536064,0.05135732516646385,2.3659743464444905,101.88461309317428,10697.62939453125,0.63149493932724,2440,2,cahn_hilliard_2d_o6,CH6,6.794526598241646e-06,0.00013215307262726128,4.554098360655738,4521.44775390625,0.00619813846424222,11112
0.04487050324678421,0.030164845287799835,2.3659743464444905,69.56227851046201,10697.62939453125,0.3892945945262909,2438,3,cahn_hilliard_2d_o6,CH6,2.370011861785315e-05,9.065985796041787e-05,4.625102543068088,4521.44775390625,0.0055963462218642235,11276
0.04102310538291931,0.044932205229997635,2.3659743464444905,127.72017805522427,10697.62939453125,0.615308403968811,2451,4,cahn_hilliard_2d_o6,CH6,5.815149961563293e-06,0.00010607660078676417,4.55609955120359,4521.44775390625,0.004817628767341375,11167
