elapsed_seconds,loss_max,loss_median,loss_min,loss_q25,loss_q75,method,method_label,rel_error_max,rel_error_median,rel_error_min,rel_error_q25,rel_error_q75,task_id,task_label
0.0,0.8767441511154175,0.8100269436836243,0.7739474773406982,0.8021736741065979,0.8153929114341736,war,WAR (complex64),1.3516380786895752,1.151803731918335,1.0219477415084839,1.0682364702224731,1.3399040699005127,cahn_hilliard_2d_o4,CH4
5.0,0.13700523605739837,0.07982019691866954,0.03644041059797115,0.05467158635339037,0.08708634353440028,war,WAR (complex64),0.7729522472130919,0.4604143672102143,0.3099788446195088,0.3849019055726325,0.6889148377655336,cahn_hilliard_2d_o4,CH4
10.0,0.008635876511693891,0.006109614175317343,0.003504829939541272,0.004221082698596355,0.00707953405100809,war,WAR (complex64),0.18087036965021097,0.12051173202740718,0.10808727841094218,0.12025393170625351,0.12236773237332269,cahn_hilliard_2d_o4,CH4
15.0,0.03149612067212447,0.0027255548332831224,0.0016705907932411566,0.0021303108323301395,0.0038119337265743215,war,WAR (complex64),0.3265714657801688,0.09635624244664906,0.08467313217418412,0.08769198341361255,0.11906403414634745,cahn_hilliard_2d_o4,CH4
20.0,0.014020205244291345,0.0032667654118185186,0.001755528780092189,0.0022886291397829876,0.00382686984613848,war,WAR (complex64),0.19095066593601792,0.10106310929795184,0.09109109330505462,0.10063215772765495,0.12533170885724032,cahn_hilliard_2d_o4,CH4
25.0,0.001827578516207519,0.0012601375391164535,0.0009585009081213833,0.0011580788251870347,0.001694807796916872,war,WAR (complex64),0.1097840125166645,0.09113508487318261,0.07671722145964385,0.08912800000577425,0.095723058338693,cahn_hilliard_2d_o4,CH4
30.0,0.0013946926289896025,0.0007598905681677841,0.0006524446825695178,0.0006650152391490031,0.0012954161206404809,war,WAR (complex64),0.10691051884297045,0.0693588548248596,0.05609644856831981,0.06876962862979658,0.10115374867419871,cahn_hilliard_2d_o4,CH4
35.0,0.013056648047647487,0.0004902103001933617,0.000475542595092454,0.0004769346878394868,0.0008925791203113477,war,WAR (complex64),0.1596855070780925,0.06080620711442313,0.045928112456492164,0.05314795085746531,0.0874535240674506,cahn_hilliard_2d_o4,CH4
40.0,0.0031916673417961075,0.0010775754772597472,0.00042349977324714576,0.0006631962294051199,0.0014014365754722849,war,WAR (complex64),0.1490431843712445,0.07126193754159452,0.042575355319869064,0.07103503558008195,0.1016368031000829,cahn_hilliard_2d_o4,CH4
45.0,0.0040473441825486225,0.0010425410895007433,0.0007064649518727014,0.0008267676251868919,0.0012403882277251146,war,WAR (complex64),0.1079634156672774,0.07252433724293804,0.06276126432815023,0.07004962918985834,0.0863145580417293,cahn_hilliard_2d_o4,CH4
