evaluation_seconds,history_points,loss,mass_drift_max_abs,mass_drift_rms,method,method_label,ms_per_step,peak_mb,rel_error,seed,steps,task_id,task_label,training_seconds
0.19659824669361115,241,1.6418679251728463e-06,0.00016730884090065956,0.00012752921611536294,war,WAR (complex64),42.03085917081135,1614.541015625,0.0013887746026739478,0,28551,cahn_hilliard_2d_o4,CH4,1200.0230601858348
0.16117129288613796,241,0.0006711476016789675,0.006786399520933628,0.005364715121686459,real_sinh_autodiff,Real AD (float32),63.73189808649957,1903.5859375,0.03596854954957962,0,18829,cahn_hilliard_2d_o4,CH4,1200.0079090707004
0.17766799218952656,241,6.389793725247728e-07,9.980631875805557e-05,6.945290806470439e-05,war,WAR (complex64),41.3396748176043,1614.541015625,0.0012602893402799964,1,29028,cahn_hilliard_2d_o4,CH4,1200.0080806054175
0.1592602003365755,241,0.0003143491339869797,0.002986040897667408,0.0020914857741445303,real_sinh_autodiff,Real AD (float32),61.920336163549905,1903.5859375,0.023483946919441223,1,19380,cahn_hilliard_2d_o4,CH4,1200.0161148495972
0.17036523669958115,241,1.412177698512096e-05,0.0008469702443107963,0.0004811829421669245,war,WAR (complex64),40.38376938059598,1614.541015625,0.0032979119569063187,2,29715,cahn_hilliard_2d_o4,CH4,1200.0037071444094
0.15780621208250523,241,0.0006211423315107822,0.006048942916095257,0.005853382404893637,real_sinh_autodiff,Real AD (float32),62.00130855454336,1903.5859375,0.03861898183822632,2,19355,cahn_hilliard_2d_o4,CH4,1200.0353270731866
0.17479931749403477,241,2.2898041152075166e-06,0.00044895836617797613,0.0003419096174184233,war,WAR (complex64),40.70875865546111,1614.541015625,0.0031726150773465633,3,29478,cahn_hilliard_2d_o4,CH4,1200.0127876456827
0.15943246707320213,241,0.00037176429759711027,0.004800473339855671,0.0024416218511760235,real_sinh_autodiff,Real AD (float32),62.63681702950462,1903.5859375,0.021100882440805435,3,19159,cahn_hilliard_2d_o4,CH4,1200.058777468279
0.17767960391938686,241,3.7098029679327738e-06,0.0003381122660357505,0.00020403455710038543,war,WAR (complex64),41.34265348346811,1614.541015625,0.0019987893756479025,4,29026,cahn_hilliard_2d_o4,CH4,1200.0118600111455
0.16067037358880043,241,0.0007733840029686689,0.0026899180375039577,0.0016511458670720458,real_sinh_autodiff,Real AD (float32),61.77688467475745,1903.5859375,0.038713861256837845,4,19425,cahn_hilliard_2d_o4,CH4,1200.0159848071635
0.19007316045463085,241,8.269451427622698e-06,0.00018659332999959588,0.00011250843817833811,war,WAR (complex64),105.76876924794628,4521.44775390625,0.006138340570032597,0,11346,cahn_hilliard_2d_o6,CH6,1200.0524558871984
0.1746582929044962,241,0.032661862671375275,0.06284944713115692,0.052941154688596725,real_sinh_autodiff,Real AD (float32),489.3973143266334,10697.62939453125,0.605411171913147,0,2453,cahn_hilliard_2d_o6,CH6,1200.4916120432317
0.19319810532033443,241,6.2268741203297395e-06,0.0005647829966619611,0.0003149773401673883,war,WAR (complex64),106.16821205894561,4521.44775390625,0.00744782155379653,1,11303,cahn_hilliard_2d_o6,CH6,1200.0193009022623
0.17251572757959366,241,0.05978904291987419,0.01569349318742752,0.011129048652946949,real_sinh_autodiff,Real AD (float32),491.9079979790039,10697.62939453125,0.31464630365371704,1,2440,cahn_hilliard_2d_o6,CH6,1200.2555150687695
0.20942970551550388,241,6.794526598241646e-06,0.00018866395112127066,0.00013215307262726128,war,WAR (complex64),107.99376529127177,4521.44775390625,0.00619813846424222,2,11112,cahn_hilliard_2d_o6,CH6,1200.026719916612
0.17297886312007904,241,0.03684939071536064,0.061412908136844635,0.05135732516646385,real_sinh_autodiff,Real AD (float32),491.9645072747266,10697.62939453125,0.63149493932724,2,2440,cahn_hilliard_2d_o6,CH6,1200.393397750333
0.1962476447224617,241,2.370011861785315e-05,0.00020833269809372723,9.065985796041787e-05,war,WAR (complex64),106.42882203732813,4521.44775390625,0.0055963462218642235,3,11276,cahn_hilliard_2d_o6,CH6,1200.091397292912
0.1750526763498783,241,0.04487050324678421,0.034844204783439636,0.030164845287799835,real_sinh_autodiff,Real AD (float32),492.2206111120899,10697.62939453125,0.3892945945262909,3,2438,cahn_hilliard_2d_o6,CH6,1200.0338498912752
0.19945672899484634,241,5.815149961563293e-06,0.0001283797901123762,0.00010607660078676417,war,WAR (complex64),107.46625836415204,4521.44775390625,0.004817628767341375,4,11167,cahn_hilliard_2d_o6,CH6,1200.0757071524858
0.16872537322342396,241,0.04102310538291931,0.058287035673856735,0.044932205229997635,real_sinh_autodiff,Real AD (float32),489.65295078403875,10697.62939453125,0.615308403968811,4,2451,cahn_hilliard_2d_o6,CH6,1200.139382371679
