task_id,variant,time_s,median_l2,q25_l2,q75_l2,median_best_l2,q25_best_l2,q75_best_l2,n_seeds
poly_d2_o4,fourier,818.135408,8.5755066047e-01,8.5732170561e-01,9.4152377245e-01,8.5755066047e-01,8.5732170561e-01,9.4152377245e-01,5
poly_d2_o4,fourier,824.841436,8.5610396913e-01,8.5574551200e-01,9.4116336670e-01,8.5610396913e-01,8.5574551200e-01,9.4116336670e-01,5
poly_d2_o4,fourier,831.547464,8.5489229117e-01,8.5394465630e-01,9.4080537660e-01,8.5489229117e-01,8.5394465630e-01,9.4080537660e-01,5
poly_d2_o4,fourier,838.253492,8.5369377918e-01,8.5214891850e-01,9.4045442344e-01,8.5369377918e-01,8.5214891850e-01,9.4045442344e-01,5
poly_d2_o4,fourier,844.959520,8.5250566912e-01,8.5035898462e-01,9.4010724129e-01,8.5250566912e-01,8.5035898462e-01,9.4010724129e-01,5
poly_d2_o4,fourier,851.665547,8.5132663072e-01,8.4857445193e-01,9.3976488097e-01,8.5132663072e-01,8.4857445193e-01,9.3976488097e-01,5
poly_d2_o4,fourier,858.371575,8.5016294038e-01,8.4679942194e-01,9.3942833523e-01,8.5016294038e-01,8.4679942194e-01,9.3942833523e-01,5
poly_d2_o4,fourier,865.077603,8.4900563214e-01,8.4503025185e-01,9.3909417429e-01,8.4900563214e-01,8.4503025185e-01,9.3909417429e-01,5
poly_d2_o4,fourier,871.783631,8.4786600411e-01,8.4327250766e-01,9.3876835378e-01,8.4786600411e-01,8.4327250766e-01,9.3876835378e-01,5
poly_d2_o4,fourier,878.489659,8.4673496284e-01,8.4152298276e-01,9.3844496494e-01,8.4673496284e-01,8.4152298276e-01,9.3844496494e-01,5
poly_d2_o4,fourier,885.195687,8.4561700693e-01,8.3978405866e-01,9.3812769527e-01,8.4561700693e-01,8.3978405866e-01,9.3812769527e-01,5
poly_d2_o4,fourier,891.901715,8.4451310535e-01,8.3805796341e-01,9.3781506847e-01,8.4451310535e-01,8.3805796341e-01,9.3781506847e-01,5
poly_d2_o4,fourier,898.607743,8.4341718205e-01,8.3633983210e-01,9.3750619038e-01,8.4341718205e-01,8.3633983210e-01,9.3750619038e-01,5
poly_d2_o4,fourier,905.313771,8.4234139944e-01,8.3464018733e-01,9.3720417634e-01,8.4234139944e-01,8.3464018733e-01,9.3720417634e-01,5
poly_d2_o4,fourier,912.019799,8.4127256987e-01,8.3294897243e-01,9.3690453023e-01,8.4127256987e-01,8.3294897243e-01,9.3690453023e-01,5
poly_d2_o4,fourier,918.725827,8.4022075332e-01,8.3127493132e-01,9.3661217413e-01,8.4022075332e-01,8.3127493132e-01,9.3661217413e-01,5
poly_d2_o4,fourier,925.431855,8.3918039128e-01,8.2961427024e-01,9.3632305999e-01,8.3918039128e-01,8.2961427024e-01,9.3632305999e-01,5
poly_d2_o4,fourier,932.137883,8.3815160984e-01,8.2796619373e-01,9.3603888671e-01,8.3815160984e-01,8.2796619373e-01,9.3603888671e-01,5
poly_d2_o4,fourier,938.843911,8.3714034206e-01,8.2633843845e-01,9.3576024258e-01,8.3714034206e-01,8.2633843845e-01,9.3576024258e-01,5
poly_d2_o4,fourier,945.549939,8.3613614716e-01,8.2471995178e-01,9.3548432032e-01,8.3613614716e-01,8.2471995178e-01,9.3548432032e-01,5
poly_d2_o4,fourier,952.255966,8.3515288358e-01,8.2312520196e-01,9.3521599675e-01,8.3515288358e-01,8.2312520196e-01,9.3521599675e-01,5
poly_d2_o4,fourier,958.961994,8.3417798679e-01,8.2154215697e-01,9.3494986203e-01,8.3417798679e-01,8.2154215697e-01,9.3494986203e-01,5
poly_d2_o4,fourier,965.668022,8.3321849172e-01,8.1997731757e-01,9.3468961406e-01,8.3321849172e-01,8.1997731757e-01,9.3468961406e-01,5
poly_d2_o4,fourier,972.374050,8.3227266184e-01,8.1843122230e-01,9.3443319439e-01,8.3227266184e-01,8.1843122230e-01,9.3443319439e-01,5
poly_d2_o4,fourier,979.080078,8.3133577617e-01,8.1689677750e-01,9.3418048730e-01,8.3133577617e-01,8.1689677750e-01,9.3418048730e-01,5
poly_d2_o4,fourier,985.786106,8.3041826197e-01,8.1538826943e-01,9.3393349036e-01,8.3041826197e-01,8.1538826943e-01,9.3393349036e-01,5
poly_d2_o4,fourier,992.492134,8.2950745068e-01,8.1388965081e-01,9.3368853918e-01,8.2950745068e-01,8.1388965081e-01,9.3368853918e-01,5
poly_d2_o4,fourier,999.198162,8.2861434298e-01,8.1241394505e-01,9.3345014857e-01,8.2861434298e-01,8.1241394505e-01,9.3345014857e-01,5
poly_d2_o4,fourier,1005.904190,8.2773110087e-01,8.1095319320e-01,9.3321409603e-01,8.2773110087e-01,8.1095319320e-01,9.3321409603e-01,5
poly_d2_o4,fourier,1012.610218,8.2685949953e-01,8.0950802211e-01,9.3298249292e-01,8.2685949953e-01,8.0950802211e-01,9.3298249292e-01,5
poly_d2_o4,fourier,1019.316246,8.2600269600e-01,8.0808484664e-01,9.3275487999e-01,8.2600269600e-01,8.0808484664e-01,9.3275487999e-01,5
poly_d2_o4,fourier,1026.022274,8.2515205849e-01,8.0667122019e-01,9.3252973770e-01,8.2515205849e-01,8.0667122019e-01,9.3252973770e-01,5
poly_d2_o4,fourier,1032.728302,8.2432028111e-01,8.0528307464e-01,9.3231008920e-01,8.2432028111e-01,8.0528307464e-01,9.3231008920e-01,5
poly_d2_o4,fourier,1039.434330,8.2349431071e-01,8.0390534405e-01,9.3209211107e-01,8.2349431071e-01,8.0390534405e-01,9.3209211107e-01,5
poly_d2_o4,fourier,1046.140358,8.2268114960e-01,8.0254626776e-01,9.3187887037e-01,8.2268114960e-01,8.0254626776e-01,9.3187887037e-01,5
poly_d2_o4,fourier,1052.846385,8.2187789939e-01,8.0120357219e-01,9.3166810711e-01,8.2187789939e-01,8.0120357219e-01,9.3166810711e-01,5
poly_d2_o4,fourier,1059.552413,8.2108222312e-01,7.9987211929e-01,9.3146031722e-01,8.2108222312e-01,7.9987211929e-01,9.3146031722e-01,5
poly_d2_o4,fourier,1066.258441,8.2029984369e-01,7.9856107836e-01,9.3125612076e-01,8.2029984369e-01,7.9856107836e-01,9.3125612076e-01,5
poly_d2_o4,fourier,1072.964469,8.1952214111e-01,7.9725761085e-01,9.3105331284e-01,8.1952214111e-01,7.9725761085e-01,9.3105331284e-01,5
poly_d2_o4,fourier,1079.670497,8.1875673802e-01,7.9597182358e-01,9.3085491744e-01,8.1875673802e-01,7.9597182358e-01,9.3085491744e-01,5
poly_d2_o4,fourier,1086.376525,8.1799686985e-01,7.9469546491e-01,9.3065770363e-01,8.1799686985e-01,7.9469546491e-01,9.3065770363e-01,5
poly_d2_o4,fourier,1093.082553,8.1724457272e-01,7.9343019956e-01,9.3046336167e-01,8.1724457272e-01,7.9343019956e-01,9.3046336167e-01,5
poly_d2_o4,fourier,1099.788581,8.1649985636e-01,7.9217731648e-01,9.3027105728e-01,8.1649985636e-01,7.9217731648e-01,9.3027105728e-01,5
poly_d2_o4,fourier,1106.494609,8.1575888198e-01,7.9093036791e-01,9.3008032920e-01,8.1575888198e-01,7.9093036791e-01,9.3008032920e-01,5
poly_d2_o4,fourier,1113.200637,8.1502654675e-01,7.8969662694e-01,9.2989208503e-01,8.1502654675e-01,7.8969662694e-01,9.2989208503e-01,5
poly_d2_o4,fourier,1119.906665,8.1429656874e-01,7.8846733363e-01,9.2970461523e-01,8.1429656874e-01,7.8846733363e-01,9.2970461523e-01,5
poly_d2_o4,fourier,1126.612693,8.1357161752e-01,7.8724619880e-01,9.2951922573e-01,8.1357161752e-01,7.8724619880e-01,9.2951922573e-01,5
poly_d2_o4,fourier,1133.318721,8.1284941664e-01,7.8603019252e-01,9.2933457537e-01,8.1284941664e-01,7.8603019252e-01,9.2933457537e-01,5
poly_d2_o4,fourier,1140.024749,8.1212971346e-01,7.8481853835e-01,9.2915102045e-01,8.1212971346e-01,7.8481853835e-01,9.2915102045e-01,5
poly_d2_o4,fourier,1146.730777,8.1141190192e-01,7.8360966655e-01,9.2896829362e-01,8.1141190192e-01,7.8360966655e-01,9.2896829362e-01,5
poly_d2_o4,fourier,1153.436804,8.1069491338e-01,7.8240249809e-01,9.2878598025e-01,8.1069491338e-01,7.8240249809e-01,9.2878598025e-01,5
poly_d2_o4,fourier,1160.142832,8.0997750979e-01,7.8119484399e-01,9.2860416484e-01,8.0997750979e-01,7.8119484399e-01,9.2860416484e-01,5
poly_d2_o4,fourier,1166.848860,8.0925939424e-01,7.7998619862e-01,9.2842237070e-01,8.0925939424e-01,7.7998619862e-01,9.2842237070e-01,5
poly_d2_o4,fourier,1173.554888,8.0853962362e-01,7.7877514813e-01,9.2824049451e-01,8.0853962362e-01,7.7877514813e-01,9.2824049451e-01,5
poly_d2_o4,fourier,1180.260916,8.0781624607e-01,7.7755807145e-01,9.2805818514e-01,8.0781624607e-01,7.7755807145e-01,9.2805818514e-01,5
poly_d2_o4,fourier,1186.966944,8.0709122637e-01,7.7633914830e-01,9.2787546468e-01,8.0709122637e-01,7.7633914830e-01,9.2787546468e-01,5
poly_d2_o4,fourier,1193.672972,8.0635793473e-01,7.7510702013e-01,9.2769147936e-01,8.0635793473e-01,7.7510702013e-01,9.2769147936e-01,5
poly_d2_o4,fourier,1200.379000,8.0600347763e-01,7.7540858997e-01,9.2755586949e-01,8.0577777409e-01,7.7416341340e-01,9.2751979819e-01,5
poly_d2_o4,mscale,0.000000,1.3751428353e+00,1.2375376287e+00,1.4473747795e+00,1.3751428353e+00,1.2375376287e+00,1.4473747795e+00,5
poly_d2_o4,mscale,6.706587,1.3751428353e+00,1.2375376287e+00,1.4473747795e+00,1.3751428353e+00,1.2375376287e+00,1.4473747795e+00,5
poly_d2_o4,mscale,13.413173,1.3751428353e+00,1.2375376287e+00,1.4473747795e+00,1.3751428353e+00,1.2375376287e+00,1.4473747795e+00,5
poly_d2_o4,mscale,20.119760,1.2022078270e+00,1.1436806671e+00,1.2951436623e+00,1.2022078270e+00,1.1436806671e+00,1.2951436623e+00,5
poly_d2_o4,mscale,26.826346,1.0505232677e+00,1.0411057070e+00,1.1257212879e+00,1.0505232677e+00,1.0411057070e+00,1.1257212879e+00,5
poly_d2_o4,mscale,33.532933,1.0268841282e+00,1.0165332293e+00,1.0733040885e+00,1.0165332293e+00,1.0054012644e+00,1.0733040885e+00,5
poly_d2_o4,mscale,40.239520,1.0540967210e+00,1.0005495684e+00,1.0559507025e+00,1.0054012644e+00,1.0005495684e+00,1.0540967210e+00,5
poly_d2_o4,mscale,46.946106,1.0261589337e+00,9.9507993159e-01,1.0573008568e+00,1.0054012644e+00,9.9389348608e-01,1.0261589337e+00,5
poly_d2_o4,mscale,53.652693,9.9713292986e-01,9.9263365475e-01,1.0384947297e+00,9.9389348608e-01,9.9263365475e-01,1.0054012644e+00,5
poly_d2_o4,mscale,60.359279,9.9276071304e-01,9.6811468754e-01,1.0244246397e+00,9.8914441646e-01,9.6811468754e-01,1.0054012644e+00,5
poly_d2_o4,mscale,67.065866,9.7904407751e-01,9.5567984069e-01,1.0169815139e+00,9.7749016399e-01,9.5567984069e-01,1.0054012644e+00,5
poly_d2_o4,mscale,73.772453,9.6738131494e-01,9.4440054888e-01,1.0103424739e+00,9.6738131494e-01,9.4440054888e-01,1.0050922580e+00,5
poly_d2_o4,mscale,80.479039,9.6207716455e-01,9.3660169389e-01,1.0062838003e+00,9.6207716455e-01,9.3660169389e-01,1.0037339610e+00,5
poly_d2_o4,mscale,87.185626,9.5675793290e-01,9.2893260529e-01,1.0022142159e+00,9.5675793290e-01,9.2893260529e-01,1.0022142159e+00,5
poly_d2_o4,mscale,93.892212,9.5071973969e-01,9.2253126858e-01,9.9765466053e-01,9.5071973969e-01,9.2253126858e-01,9.9765466053e-01,5
poly_d2_o4,mscale,100.598799,9.4471965411e-01,9.1617404390e-01,9.9311584880e-01,9.4471965411e-01,9.1617404390e-01,9.9311584880e-01,5
poly_d2_o4,mscale,107.305385,9.4000273942e-01,9.1055793697e-01,9.8818872490e-01,9.4000273942e-01,9.1055793697e-01,9.8818872490e-01,5
poly_d2_o4,mscale,114.011972,9.3547523211e-01,9.0507582889e-01,9.8322738080e-01,9.3547523211e-01,9.0507582889e-01,9.8322738080e-01,5
poly_d2_o4,mscale,120.718559,9.3103907050e-01,9.0000003821e-01,9.7826135750e-01,9.3103907050e-01,9.0000003821e-01,9.7826135750e-01,5
poly_d2_o4,mscale,127.425145,9.2665242348e-01,8.9511356037e-01,9.7330692146e-01,9.2665242348e-01,8.9511356037e-01,9.7330692146e-01,5
poly_d2_o4,mscale,134.131732,9.2246920305e-01,8.9040154273e-01,9.6835308525e-01,9.2246920305e-01,8.9040154273e-01,9.6835308525e-01,5
poly_d2_o4,mscale,140.838318,9.1846295848e-01,8.8584951044e-01,9.6340095854e-01,9.1846295848e-01,8.8584951044e-01,9.6340095854e-01,5
poly_d2_o4,mscale,147.544905,9.1451947278e-01,8.8137621780e-01,9.5847969460e-01,9.1451947278e-01,8.8137621780e-01,9.5847969460e-01,5
poly_d2_o4,mscale,154.251492,9.1067262133e-01,8.7703056875e-01,9.5359465259e-01,9.1067262133e-01,8.7703056875e-01,9.5359465259e-01,5
poly_d2_o4,mscale,160.958078,9.0685512840e-01,8.7272463898e-01,9.4873929320e-01,9.0685512840e-01,8.7272463898e-01,9.4873929320e-01,5
poly_d2_o4,mscale,167.664665,9.0311013656e-01,8.6853025776e-01,9.4393456448e-01,9.0311013656e-01,8.6853025776e-01,9.4393456448e-01,5
poly_d2_o4,mscale,174.371251,8.9938085714e-01,8.6435603506e-01,9.3915416850e-01,8.9938085714e-01,8.6435603506e-01,9.3915416850e-01,5
poly_d2_o4,mscale,181.077838,8.9568386554e-01,8.6027028351e-01,9.3442813510e-01,8.9568386554e-01,8.6027028351e-01,9.3442813510e-01,5
poly_d2_o4,mscale,187.784425,8.9200207079e-01,8.5620446742e-01,9.2972653662e-01,8.9200207079e-01,8.5620446742e-01,9.2972653662e-01,5
poly_d2_o4,mscale,194.491011,8.8832468567e-01,8.5219854205e-01,9.2506255007e-01,8.8832468567e-01,8.5219854205e-01,9.2506255007e-01,5
poly_d2_o4,mscale,201.197598,8.8466041870e-01,8.4822058429e-01,9.2042539083e-01,8.8466041870e-01,8.4822058429e-01,9.2042539083e-01,5
poly_d2_o4,mscale,207.904184,8.8099552543e-01,8.4428359180e-01,9.1581827134e-01,8.8099552543e-01,8.4428359180e-01,9.1581827134e-01,5
poly_d2_o4,mscale,214.610771,8.7733790902e-01,8.4037754324e-01,9.1123826477e-01,8.7733790902e-01,8.4037754324e-01,9.1123826477e-01,5
poly_d2_o4,mscale,221.317358,8.7368194504e-01,8.3650127648e-01,9.0668433768e-01,8.7368194504e-01,8.3650127648e-01,9.0668433768e-01,5
poly_d2_o4,mscale,228.023944,8.7002719066e-01,8.3265652947e-01,9.0215705470e-01,8.7002719066e-01,8.3265652947e-01,9.0215705470e-01,5
poly_d2_o4,mscale,234.730531,8.6637916754e-01,8.2883477140e-01,8.9765352481e-01,8.6637916754e-01,8.2883477140e-01,8.9765352481e-01,5
poly_d2_o4,mscale,241.437117,8.6272793544e-01,8.2504389117e-01,8.9317553564e-01,8.6272793544e-01,8.2504389117e-01,8.9317553564e-01,5
poly_d2_o4,mscale,248.143704,8.5908857404e-01,8.2127203228e-01,8.8872043486e-01,8.5908857404e-01,8.2127203228e-01,8.8872043486e-01,5
poly_d2_o4,mscale,254.850291,8.5544312666e-01,8.1753128703e-01,8.8429273419e-01,8.5544312666e-01,8.1753128703e-01,8.8429273419e-01,5
poly_d2_o4,mscale,261.556877,8.5181314833e-01,8.1380758019e-01,8.7988709281e-01,8.5181314833e-01,8.1380758019e-01,8.7988709281e-01,5
poly_d2_o4,mscale,268.263464,8.4817671620e-01,8.1011264986e-01,8.7550993880e-01,8.4817671620e-01,8.1011264986e-01,8.7550993880e-01,5
poly_d2_o4,mscale,274.970050,8.4455503138e-01,8.0643536405e-01,8.7115513298e-01,8.4455503138e-01,8.0643536405e-01,8.7115513298e-01,5
poly_d2_o4,mscale,281.676637,8.4093380357e-01,8.0278448414e-01,8.6682763906e-01,8.4093380357e-01,8.0278448414e-01,8.6682763906e-01,5
poly_d2_o4,mscale,288.383223,8.3732416051e-01,7.9915326994e-01,8.6252359673e-01,8.3732416051e-01,7.9915326994e-01,8.6252359673e-01,5
poly_d2_o4,mscale,295.089810,8.3372122698e-01,7.9554618384e-01,8.5824712995e-01,8.3372122698e-01,7.9554618384e-01,8.5824712995e-01,5
poly_d2_o4,mscale,301.796397,8.3012838026e-01,7.9196096591e-01,8.5399661226e-01,8.3012838026e-01,7.9196096591e-01,8.5399661226e-01,5
poly_d2_o4,mscale,308.502983,8.2654622418e-01,7.8839703302e-01,8.4977149802e-01,8.2654622418e-01,7.8839703302e-01,8.4977149802e-01,5
poly_d2_o4,mscale,315.209570,8.2297354773e-01,7.8485675125e-01,8.4557410237e-01,8.2297354773e-01,7.8485675125e-01,8.4557410237e-01,5
poly_d2_o4,mscale,321.916156,8.1941441695e-01,7.8133529303e-01,8.4416313959e-01,8.1941441695e-01,7.8133529303e-01,8.4228138929e-01,5
poly_d2_o4,mscale,328.622743,8.1586558108e-01,7.7819173791e-01,8.4735368107e-01,8.1586558108e-01,7.7819173791e-01,8.4228138929e-01,5
poly_d2_o4,mscale,335.329330,8.1233176481e-01,7.7524779863e-01,8.4413054066e-01,8.1233176481e-01,7.7524779863e-01,8.4217348365e-01,5
poly_d2_o4,mscale,342.035916,8.0881000216e-01,7.7231890752e-01,8.4100106662e-01,8.0881000216e-01,7.7231890752e-01,8.3912993674e-01,5
poly_d2_o4,mscale,348.742503,8.0530350766e-01,7.6940108178e-01,8.3734018903e-01,8.0530350766e-01,7.6940108178e-01,8.3609738896e-01,5
poly_d2_o4,mscale,355.449089,8.0181190220e-01,7.6649840176e-01,8.3140907389e-01,8.0181190220e-01,7.6649840176e-01,8.3140907389e-01,5
poly_d2_o4,mscale,362.155676,7.9833540962e-01,7.6360692781e-01,8.2647502476e-01,7.9833540962e-01,7.6360692781e-01,8.2647502476e-01,5
poly_d2_o4,mscale,368.862263,7.9487680853e-01,7.6072889377e-01,8.2156932466e-01,7.9487680853e-01,7.6072889377e-01,8.2156932466e-01,5
poly_d2_o4,mscale,375.568849,7.9143412757e-01,7.5786247451e-01,8.1669231151e-01,7.9143412757e-01,7.5786247451e-01,8.1669231151e-01,5
poly_d2_o4,mscale,382.275436,7.8801218839e-01,7.5500946863e-01,8.1213946414e-01,7.8801218839e-01,7.5500946863e-01,8.1213946414e-01,5
poly_d2_o4,mscale,388.982022,7.8460932530e-01,7.5216899012e-01,8.0789906655e-01,7.8460932530e-01,7.5216899012e-01,8.0789906655e-01,5
poly_d2_o4,mscale,395.688609,7.8122462250e-01,7.4934180866e-01,8.0377634121e-01,7.8122462250e-01,7.4934180866e-01,8.0377634121e-01,5
poly_d2_o4,mscale,402.395196,7.7785972298e-01,7.4652885014e-01,7.9986838431e-01,7.7785972298e-01,7.4652885014e-01,7.9986838431e-01,5
poly_d2_o4,mscale,409.101782,7.7451214859e-01,7.4372867622e-01,7.9599198951e-01,7.7451214859e-01,7.4372867622e-01,7.9599198951e-01,5
poly_d2_o4,mscale,415.808369,7.7118885425e-01,7.4094578363e-01,7.9220393380e-01,7.7118885425e-01,7.4094578363e-01,7.9220393380e-01,5
poly_d2_o4,mscale,422.514955,7.6788044712e-01,7.3817396314e-01,7.8843390512e-01,7.6788044712e-01,7.3817396314e-01,7.8843390512e-01,5
poly_d2_o4,mscale,429.221542,7.6459953256e-01,7.3542097283e-01,7.8476911913e-01,7.6459953256e-01,7.3542097283e-01,7.8476911913e-01,5
poly_d2_o4,mscale,435.928128,7.6133263633e-01,7.3267824969e-01,7.8112353303e-01,7.6133263633e-01,7.3267824969e-01,7.8112353303e-01,5
poly_d2_o4,mscale,442.634715,7.5809476287e-01,7.2995550871e-01,7.7754635115e-01,7.5809476287e-01,7.2995550871e-01,7.7754635115e-01,5
poly_d2_o4,mscale,449.341302,7.5487293977e-01,7.2724399639e-01,7.7399845023e-01,7.5487293977e-01,7.2724399639e-01,7.7399845023e-01,5
poly_d2_o4,mscale,456.047888,7.5167882028e-01,7.2455133835e-01,7.7049895491e-01,7.5167882028e-01,7.2455133835e-01,7.7049895491e-01,5
poly_d2_o4,mscale,462.754475,7.4850444812e-01,7.2187200964e-01,7.6703480497e-01,7.4850444812e-01,7.2187200964e-01,7.6703480497e-01,5
poly_d2_o4,mscale,469.461061,7.4535548227e-01,7.1920999022e-01,7.6360775632e-01,7.4535548227e-01,7.1920999022e-01,7.6360775632e-01,5
poly_d2_o4,mscale,476.167648,7.4223105100e-01,7.1656387763e-01,7.6022278630e-01,7.4223105100e-01,7.1656387763e-01,7.6022278630e-01,5
poly_d2_o4,mscale,482.874235,7.3912807725e-01,7.1393354196e-01,7.5686504572e-01,7.3912807725e-01,7.1393354196e-01,7.5686504572e-01,5
poly_d2_o4,mscale,489.580821,7.3605446474e-01,7.1132297542e-01,7.5355540651e-01,7.3605446474e-01,7.1132297542e-01,7.5355540651e-01,5
poly_d2_o4,mscale,496.287408,7.3299796125e-01,7.0872534282e-01,7.5026442325e-01,7.3299796125e-01,7.0872534282e-01,7.5026442325e-01,5
poly_d2_o4,mscale,502.993994,7.2997681755e-01,7.0615086366e-01,7.4702926253e-01,7.2997681755e-01,7.0615086366e-01,7.4702926253e-01,5
poly_d2_o4,mscale,509.700581,7.2696812587e-01,7.0358619061e-01,7.4380805192e-01,7.2696812587e-01,7.0358619061e-01,7.4380805192e-01,5
poly_d2_o4,mscale,516.407168,7.2400172859e-01,7.0104976280e-01,7.4064176088e-01,7.2400172859e-01,7.0104976280e-01,7.4064176088e-01,5
poly_d2_o4,mscale,523.113754,7.2104794787e-01,6.9852247880e-01,7.3749276816e-01,7.2104794787e-01,6.9852247880e-01,7.3749276816e-01,5
poly_d2_o4,mscale,529.820341,7.1813243595e-01,6.9602200278e-01,7.3439013296e-01,7.1813243595e-01,6.9602200278e-01,7.3439013296e-01,5
poly_d2_o4,mscale,536.526927,7.1523499289e-01,6.9353362692e-01,7.3131222514e-01,7.1523499289e-01,6.9353362692e-01,7.3131222514e-01,5
poly_d2_o4,mscale,543.233514,7.1237085013e-01,6.9106976796e-01,7.2827251077e-01,7.1237085013e-01,6.9106976796e-01,7.2827251077e-01,5
poly_d2_o4,mscale,549.940101,7.0953087160e-01,6.8862219962e-01,7.2526514098e-01,7.0953087160e-01,6.8862219962e-01,7.2526514098e-01,5
poly_d2_o4,mscale,556.646687,7.0671871691e-01,6.8619492519e-01,7.2228791070e-01,7.0671871691e-01,6.8619492519e-01,7.2228791070e-01,5
poly_d2_o4,mscale,563.353274,7.0393763205e-01,6.8378785066e-01,7.1935115332e-01,7.0393763205e-01,6.8378785066e-01,7.1935115332e-01,5
poly_d2_o4,mscale,570.059860,7.0117825800e-01,6.8139768844e-01,7.1643602473e-01,7.0117825800e-01,6.8139768844e-01,7.1643602473e-01,5
poly_d2_o4,mscale,576.766447,6.9845794211e-01,6.7903341780e-01,7.1356948782e-01,6.9845794211e-01,6.7903341780e-01,7.1356948782e-01,5
poly_d2_o4,mscale,583.473034,6.9575217371e-01,6.7668161004e-01,7.1071591133e-01,6.9575217371e-01,6.7668161004e-01,7.1071591133e-01,5
poly_d2_o4,mscale,590.179620,6.9309345519e-01,6.7436174947e-01,7.0791991127e-01,6.9309345519e-01,6.7436174947e-01,7.0791991127e-01,5
poly_d2_o4,mscale,596.886207,6.9044489658e-01,6.7204984206e-01,7.0513491085e-01,6.9044489658e-01,6.7204984206e-01,7.0513491085e-01,5
poly_d2_o4,mscale,603.592793,6.8784499754e-01,6.6977525148e-01,7.0240151146e-01,6.8784499754e-01,6.6977525148e-01,7.0240151146e-01,5
poly_d2_o4,mscale,610.299380,6.8525818168e-01,6.6750902400e-01,6.9968561846e-01,6.8525818168e-01,6.6750902400e-01,6.9968561846e-01,5
poly_d2_o4,mscale,617.005966,6.8271406180e-01,6.6527546947e-01,6.9701373092e-01,6.8271406180e-01,6.6527546947e-01,6.9701373092e-01,5
poly_d2_o4,mscale,623.712553,6.8019066922e-01,6.6305546488e-01,6.9436792108e-01,6.8019066922e-01,6.6305546488e-01,6.9436792108e-01,5
poly_d2_o4,mscale,630.419140,6.7770265700e-01,6.6086368083e-01,6.9175702201e-01,6.7770265700e-01,6.6086368083e-01,6.9175702201e-01,5
poly_d2_o4,mscale,637.125726,6.7524352750e-01,6.5869130170e-01,6.8918062881e-01,6.7524352750e-01,6.5869130170e-01,6.8918062881e-01,5
poly_d2_o4,mscale,643.832313,6.7281183942e-01,6.5654185092e-01,6.8663034829e-01,6.7281183942e-01,6.5654185092e-01,6.8663034829e-01,5
poly_d2_o4,mscale,650.538899,6.7041770173e-01,6.5441811853e-01,6.8412378477e-01,6.7041770173e-01,6.5441811853e-01,6.8412378477e-01,5
poly_d2_o4,mscale,657.245486,6.6804500141e-01,6.5231142523e-01,6.8163403233e-01,6.6804500141e-01,6.5231142523e-01,6.8163403233e-01,5
poly_d2_o4,mscale,663.952073,6.6572813583e-01,6.5023714887e-01,6.7919734010e-01,6.6572813583e-01,6.5023714887e-01,6.7919734010e-01,5
poly_d2_o4,mscale,670.658659,6.6342026770e-01,6.4817360133e-01,6.7676935851e-01,6.6342026770e-01,6.4817360133e-01,6.7676935851e-01,5
poly_d2_o4,mscale,677.365246,6.6115734857e-01,6.4614993917e-01,6.7440134965e-01,6.6115734857e-01,6.4614993917e-01,6.7440134965e-01,5
poly_d2_o4,mscale,684.071832,6.5890214823e-01,6.4413259510e-01,6.7204313568e-01,6.5890214823e-01,6.4413259510e-01,6.7204313568e-01,5
poly_d2_o4,mscale,690.778419,6.5669766250e-01,6.4215772985e-01,6.6973537117e-01,6.5669766250e-01,6.4215772985e-01,6.6973537117e-01,5
poly_d2_o4,mscale,697.485006,6.5450820071e-01,6.4019136704e-01,6.6744641003e-01,6.5450820071e-01,6.4019136704e-01,6.6744641003e-01,5
poly_d2_o4,mscale,704.191592,6.5236108363e-01,6.3826144158e-01,6.6519863237e-01,6.5236108363e-01,6.3826144158e-01,6.6519863237e-01,5
poly_d2_o4,mscale,710.898179,6.5023805118e-01,6.3634675778e-01,6.6297899089e-01,6.5023805118e-01,6.3634675778e-01,6.6297899089e-01,5
poly_d2_o4,mscale,717.604765,6.4814789240e-01,6.3446213989e-01,6.6079092693e-01,6.4814789240e-01,6.3446213989e-01,6.6079092693e-01,5
poly_d2_o4,mscale,724.311352,6.4609082572e-01,6.3259999872e-01,6.5864060158e-01,6.4609082572e-01,6.3259999872e-01,6.5864060158e-01,5
poly_d2_o4,mscale,731.017939,6.4405736299e-01,6.3076063501e-01,6.5651190254e-01,6.4405736299e-01,6.3076063501e-01,6.5651190254e-01,5
poly_d2_o4,mscale,737.724525,6.4206667582e-01,6.2895089780e-01,6.5443066179e-01,6.4206667582e-01,6.2895089780e-01,6.5443066179e-01,5
poly_d2_o4,mscale,744.431112,6.4008981677e-01,6.2715678654e-01,6.5236088282e-01,6.4008981677e-01,6.2715678654e-01,6.5236088282e-01,5
poly_d2_o4,mscale,751.137698,6.3816523506e-01,6.2540035169e-01,6.5034828310e-01,6.3816523506e-01,6.2540035169e-01,6.5034828310e-01,5
poly_d2_o4,mscale,757.844285,6.3624644006e-01,6.2365184817e-01,6.4834189245e-01,6.3624644006e-01,6.2365184817e-01,6.4834189245e-01,5
poly_d2_o4,mscale,764.550872,6.3438606883e-01,6.2194899725e-01,6.4640141695e-01,6.3438606883e-01,6.2194899725e-01,6.4640141695e-01,5
