task_id,ranking,rank,candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_tanh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
poly_d2_o2,shared_minimax,2,point_003,3,0.001571784946251209,0.0053944316866919905,0.002926202700604438,0.0053944316866919905,0.00045797371451688503,"[""1e+0""]","{""w_u"": 1.0}",1.0,[1.0]
poly_d2_o2,shared_minimax,3,point_001,1,0.009062685924152483,0.014110684367421205,0.009965628957237294,0.014110684367421205,0.0058205735470533825,"[""1e-2""]","{""w_u"": 0.01}",0.01,[0.01]
poly_d2_o2,shared_minimax,4,point_000,0,0.055025512685391915,0.0905878834029448,0.062005928628146745,0.0905878834029448,0.03342397385334869,"[""1e-3""]","{""w_u"": 0.001}",0.001,[0.001]
poly_d2_o2,shared_minimax,5,point_004,4,0.009823205860182904,0.10611828993926276,0.05351380445117203,0.10611828993926276,0.0009093189630813055,"[""1e+1""]","{""w_u"": 10.0}",10.0,[10.0]
poly_d2_o2,shared_minimax,6,point_005,5,0.06636893614308302,0.8610148987063697,0.43306538167896846,0.8610148987063697,0.0051158646515672025,"[""1e+2""]","{""w_u"": 100.0}",100.0,[100.0]
poly_d2_o2,shared_minimax,7,point_006,6,0.3011433612753531,0.9996853993614445,0.5452006313350932,0.9996853993614445,0.0907158633087419,"[""1e+3""]","{""w_u"": 1000.0}",1000.0,[1000.0]
poly_d2_o4,war,1,point_024,24,0.03790360713039214,0.31429948819957165,0.15943527666893664,0.31429948819957165,0.004571065138301653,"[""1e+0"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 1.0}",2.0,"[1.0, 1.0]"
poly_d2_o4,war,2,point_017,17,0.02298411435348448,0.0944726283601376,0.05003220078650598,0.0944726283601376,0.005591773212874354,"[""1e-1"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 0.1}",1.1,"[0.1, 1.0]"
poly_d2_o4,war,3,point_016,16,0.03398338119123642,0.1698885519852643,0.08834318128581828,0.1698885519852643,0.006797810586372248,"[""1e-1"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 0.1}",0.2,"[0.1, 0.1]"
poly_d2_o4,war,4,point_018,18,0.0415464427779483,0.15219599301332815,0.08176866783422712,0.15219599301332815,0.011341342655126098,"[""1e-1"", ""1e+1""]","{""w_Delta_u"": 10.0, ""w_u"": 0.1}",10.1,"[0.1, 10.0]"
poly_d2_o4,war,5,point_023,23,0.045495385062592146,0.17166844891658126,0.09186279311798454,0.17166844891658126,0.012057137319387816,"[""1e+0"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 1.0}",1.1,"[1.0, 0.1]"
poly_d2_o4,war,6,point_025,25,0.06799914273386709,0.371087739549116,0.1917740451748003,0.371087739549116,0.01246035080048455,"[""1e+0"", ""1e+1""]","{""w_Delta_u"": 10.0, ""w_u"": 1.0}",11.0,"[1.0, 10.0]"
poly_d2_o4,war,7,point_026,26,0.08901632042384187,0.6068760230155582,0.3099664497730003,0.6068760230155582,0.013056876530442442,"[""1e+0"", ""1e+2""]","{""w_Delta_u"": 100.0, ""w_u"": 1.0}",101.0,"[1.0, 100.0]"
poly_d2_o4,war,8,point_009,9,0.049902071825769743,0.11037509514898312,0.06646824803116168,0.11037509514898312,0.022561400913340225,"[""1e-2"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 0.01}",0.11,"[0.01, 0.1]"
poly_d2_o4,war,9,point_010,10,0.04589906062144532,0.08739430300739265,0.05575013261021596,0.08739430300739265,0.02410596221303928,"[""1e-2"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 0.01}",1.01,"[0.01, 1.0]"
poly_d2_o4,war,10,point_015,15,0.08647494734591715,0.2709336675041285,0.14926710558126613,0.2709336675041285,0.02760054365840375,"[""1e-1"", ""1e-2""]","{""w_Delta_u"": 0.01, ""w_u"": 0.1}",0.11,"[0.1, 0.01]"
poly_d2_o4,realad,1,point_010,10,0.04589906062144532,0.08739430300739265,0.05575013261021596,0.08739430300739265,0.02410596221303928,"[""1e-2"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 0.01}",1.01,"[0.01, 1.0]"
poly_d2_o4,realad,2,point_017,17,0.02298411435348448,0.0944726283601376,0.05003220078650598,0.0944726283601376,0.005591773212874354,"[""1e-1"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 0.1}",1.1,"[0.1, 1.0]"
poly_d2_o4,realad,3,point_009,9,0.049902071825769743,0.11037509514898312,0.06646824803116168,0.11037509514898312,0.022561400913340225,"[""1e-2"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 0.01}",0.11,"[0.01, 0.1]"
poly_d2_o4,realad,4,point_018,18,0.0415464427779483,0.15219599301332815,0.08176866783422712,0.15219599301332815,0.011341342655126098,"[""1e-1"", ""1e+1""]","{""w_Delta_u"": 10.0, ""w_u"": 0.1}",10.1,"[0.1, 10.0]"
poly_d2_o4,realad,5,point_016,16,0.03398338119123642,0.1698885519852643,0.08834318128581828,0.1698885519852643,0.006797810586372248,"[""1e-1"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 0.1}",0.2,"[0.1, 0.1]"
poly_d2_o4,realad,6,point_023,23,0.045495385062592146,0.17166844891658126,0.09186279311798454,0.17166844891658126,0.012057137319387816,"[""1e+0"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 1.0}",1.1,"[1.0, 0.1]"
poly_d2_o4,realad,7,point_022,22,0.09706261173995909,0.222365940848683,0.13236685893223354,0.222365940848683,0.04236777701578412,"[""1e+0"", ""1e-2""]","{""w_Delta_u"": 0.01, ""w_u"": 1.0}",1.01,"[1.0, 0.01]"
poly_d2_o4,realad,8,point_008,8,0.10731134373605902,0.2365539882404105,0.14261757822977256,0.2365539882404105,0.04868116821913461,"[""1e-2"", ""1e-2""]","{""w_Delta_u"": 0.01, ""w_u"": 0.01}",0.02,"[0.01, 0.01]"
poly_d2_o4,realad,9,point_015,15,0.08647494734591715,0.2709336675041285,0.14926710558126613,0.2709336675041285,0.02760054365840375,"[""1e-1"", ""1e-2""]","{""w_Delta_u"": 0.01, ""w_u"": 0.1}",0.11,"[0.1, 0.01]"
poly_d2_o4,realad,10,point_014,14,0.11263366584544121,0.27984513847737114,0.1625892890373723,0.27984513847737114,0.04533343959737343,"[""1e-1"", ""1e-3""]","{""w_Delta_u"": 0.001, ""w_u"": 0.1}",0.101,"[0.1, 0.001]"
poly_d2_o4,shared_geomean,1,point_017,17,0.02298411435348448,0.0944726283601376,0.05003220078650598,0.0944726283601376,0.005591773212874354,"[""1e-1"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 0.1}",1.1,"[0.1, 1.0]"
poly_d2_o4,shared_geomean,2,point_016,16,0.03398338119123642,0.1698885519852643,0.08834318128581828,0.1698885519852643,0.006797810586372248,"[""1e-1"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 0.1}",0.2,"[0.1, 0.1]"
poly_d2_o4,shared_geomean,3,point_024,24,0.03790360713039214,0.31429948819957165,0.15943527666893664,0.31429948819957165,0.004571065138301653,"[""1e+0"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 1.0}",2.0,"[1.0, 1.0]"
poly_d2_o4,shared_geomean,4,point_018,18,0.0415464427779483,0.15219599301332815,0.08176866783422712,0.15219599301332815,0.011341342655126098,"[""1e-1"", ""1e+1""]","{""w_Delta_u"": 10.0, ""w_u"": 0.1}",10.1,"[0.1, 10.0]"
poly_d2_o4,shared_geomean,5,point_023,23,0.045495385062592146,0.17166844891658126,0.09186279311798454,0.17166844891658126,0.012057137319387816,"[""1e+0"", ""1e-1""]","{""w_Delta_u"": 0.1, ""w_u"": 1.0}",1.1,"[1.0, 0.1]"
poly_d2_o4,shared_geomean,6,point_010,10,0.04589906062144532,0.08739430300739265,0.05575013261021596,0.08739430300739265,0.02410596221303928,"[""1e-2"", ""1e+0""]","{""w_Delta_u"": 1.0, ""w_u"": 0.01}",1.01,"[0.01, 1.0]"
