L2_err,L_int_last,backend,ms_per_step,nan,order,params,peak_mb,problem,seed,steps,sweep,variant
0.029390518247243293,1.8328246271379555e-05,jet,248.80183563006898,False,4,100098,1759.21142578125,plate_m1,0,2413,1.0,complex_sinh
0.16287777594546812,6.984426300723679e-05,jet,270.6452871876877,False,4,66049,1756.5439453125,plate_m1,0,2218,1.0,fourier
0.013122234968787387,0.00021859866419993078,jet,247.88155307198093,False,4,50049,1759.9248046875,plate_m1,0,2422,1.0,siren
0.1397742957556082,0.01085201885520071,jet,733.7144239349643,False,4,150147,5063.181640625,plate_m1,0,819,1.0,mscale
0.010309236652096697,1.895616618278084e-05,jet,249.43582161929803,False,4,100098,1759.21142578125,plate_m1,1,2407,1.0,complex_sinh
0.0465395962917698,4.5746344468162035e-05,jet,270.3602297743363,False,4,66049,1756.5439453125,plate_m1,1,2220,1.0,fourier
0.05925485124448635,0.00019432097572219005,jet,247.15104983324326,False,4,50049,1759.9248046875,plate_m1,1,2429,1.0,siren
0.17847181847954446,0.006811989957574557,jet,733.2077622459121,False,4,150147,5063.181640625,plate_m1,1,819,1.0,mscale
0.0033649480136269563,0.00043093402987946035,jet,56.15884717649732,False,4,99842,476.00341796875,beam_m1,0,10685,1.0,complex_sinh
0.04198168412373097,8.316418043978121e-06,jet,59.55986567007992,False,4,66049,475.158203125,beam_m1,0,10075,1.0,fourier
0.2641558676187442,0.14562052163576328,jet,54.47309878306462,False,4,49921,475.224609375,beam_m1,0,11016,1.0,siren
0.015052690725583845,1.939485085573811e-06,jet,160.6430346191097,False,4,149763,1137.42919921875,beam_m1,0,3736,1.0,mscale
0.008370907853423142,0.0003252788563574875,jet,56.16973266723863,False,4,99842,476.00341796875,beam_m1,1,10683,1.0,complex_sinh
0.034479290300635096,4.319032739828312e-05,jet,59.272181308202384,False,4,66049,475.158203125,beam_m1,1,10124,1.0,fourier
0.15048629783610637,0.014994082357184768,jet,54.3224741859055,False,4,49921,475.224609375,beam_m1,1,11046,1.0,siren
0.014329385912822368,1.3538391405291607e-06,jet,160.75385913318695,False,4,149763,1137.42919921875,beam_m1,1,3733,1.0,mscale
0.2201042192349211,0.00011806462758768413,jet,248.73476533216902,False,4,100098,1759.21142578125,plate_m2,0,2413,2.0,complex_sinh
0.21769078358270452,0.00025924406117083093,jet,269.95613835182496,False,4,66049,1756.5439453125,plate_m2,0,2224,2.0,fourier
0.21289402590280518,0.00013730764185906067,jet,247.21233110914784,False,4,50049,1759.9248046875,plate_m2,0,2428,2.0,siren
