L2_err,L_int_last,backend,ms_per_step,nan,order,params,peak_mb,problem,seed,steps,sweep,variant
0.12004929157095988,0.0001877457332128131,jet,248.89510570736493,False,4,100098,1759.21142578125,platemix_m2,0,2412,3.0,complex_sinh
0.8408776493154244,0.00018222632887799885,jet,270.5122011530273,False,4,66049,1756.5439453125,platemix_m2,0,2219,3.0,fourier
0.6484415949063628,0.0003300107616229887,jet,247.6852249981153,False,4,50049,1759.9248046875,platemix_m2,0,2424,3.0,siren
0.9999924090654199,0.25173670705436685,jet,733.1682614372618,False,4,150147,5063.181640625,platemix_m2,0,819,3.0,mscale
0.16160759585041637,9.939857270955155e-05,jet,248.91236219338913,False,4,100098,1759.21142578125,platemix_m2,1,2412,3.0,complex_sinh
0.8244880444894777,0.00012599514339931055,jet,270.2449596705454,False,4,66049,1756.5439453125,platemix_m2,1,2221,3.0,fourier
0.7013388022203165,0.0002601550609896884,jet,247.48336149399574,False,4,50049,1759.9248046875,platemix_m2,1,2426,3.0,siren
0.9998599203328143,0.24260141055049528,jet,733.2630274414798,False,4,150147,5063.181640625,platemix_m2,1,819,3.0,mscale
0.18997862993204384,0.00030956584461504374,jet,248.91922918532916,False,4,100098,1759.21142578125,platemix_m3,0,2412,4.0,complex_sinh
0.8886353269121451,3.524081229054111e-05,jet,270.28128383148635,False,4,66049,1756.5439453125,platemix_m3,0,2221,4.0,fourier
0.9190609637119795,6.691189477637174e-05,jet,247.7578164658306,False,4,50049,1759.9248046875,platemix_m3,0,2423,4.0,siren
0.9999867390724233,0.24834858212129549,jet,733.5096105150833,False,4,150147,5063.181640625,platemix_m3,0,819,4.0,mscale
0.3265641916993755,0.0004134300760864091,jet,249.37100777356864,False,4,100098,1759.21142578125,platemix_m3,1,2407,4.0,complex_sinh
0.933341946673612,2.5466560087183893e-05,jet,270.5135923155985,False,4,66049,1756.5439453125,platemix_m3,1,2219,4.0,fourier
0.9040651777144039,6.728790644478003e-05,jet,247.7740427618289,False,4,50049,1759.9248046875,platemix_m3,1,2423,4.0,siren
1.0001342195248517,0.2470371395574212,jet,733.3351197892457,False,4,150147,5063.181640625,platemix_m3,1,819,4.0,mscale
0.19685149387013737,0.0008098949559160594,jet,249.25236240496542,False,4,100098,1759.21142578125,platemix_m4,0,2408,5.0,complex_sinh
0.9491362500966378,9.927635794416435e-06,jet,270.38635501369566,False,4,66049,1756.5439453125,platemix_m4,0,2220,5.0,fourier
0.9618616397483734,3.454972441179047e-05,jet,247.6886005168504,False,4,50049,1759.9248046875,platemix_m4,0,2424,5.0,siren
1.000024355840599,0.2501458775108011,jet,733.3388840381662,False,4,150147,5063.181640625,platemix_m4,0,819,5.0,mscale
0.45962949453992646,0.0015767086057701756,jet,248.5941755760839,False,4,100098,1759.21142578125,platemix_m4,1,2415,5.0,complex_sinh
0.9346082716077916,6.7713072178271625e-06,jet,270.44722654663764,False,4,66049,1756.5439453125,platemix_m4,1,2220,5.0,fourier
0.9645142014305674,2.398817016467027e-05,jet,247.74478041819438,False,4,50049,1759.9248046875,platemix_m4,1,2423,5.0,siren
1.0000201018121744,0.25657098197387357,jet,733.0168432036417,False,4,150147,5063.181640625,platemix_m4,1,819,5.0,mscale
