step,ms,pct
backward,19.07936856150627,68.90796518852628
layer_01_tanh,2.38669291138649,8.619894915460387
layer_03_tanh,2.353757619857788,8.500944232432406
layer_05_tanh,2.322304993867874,8.387348415578517
layer_04_linear_64x64,0.3625340759754181,1.309345506190925
layer_02_linear_64x64,0.3624856472015381,1.3091705985018214
direction_generation,0.28949230909347534,1.045544347710028
layer_00_linear_8x64,0.18350407481193542,0.6627521428882802
layer_06_linear_64x1,0.1697055995464325,0.6129169059314158
prepare_terms,0.11515617370605469,0.415903575812796
weighted_sum,0.06318837404251099,0.2282141709671534
