step,ms,pct
backward,18.675539642572403,69.0286254205014
layer_01_tanh,2.3105181753635406,8.540149131265558
layer_03_tanh,2.295497804880142,8.484630760839886
layer_05_tanh,2.2749118506908417,8.408540851372559
layer_02_linear_64x64,0.37322938442230225,1.3795323651307732
layer_04_linear_64x64,0.36193057894706726,1.3377696623775328
direction_generation,0.26626884937286377,0.9841842868416092
layer_00_linear_8x64,0.1613721251487732,0.5964644767111313
layer_06_linear_64x1,0.1604706048965454,0.5931322729306223
prepare_terms,0.1127384603023529,0.4167044752460633
weighted_sum,0.06229802966117859,0.23026629678286742
