step,method,alpha,loss,residual_loss,data_loss,val_rel_l2,step_ms_backward_only,wall_time,peak_alloc_mb
1,polarization_jet,111122,0.14972934126853943,0.0070809293538331985,0.14264841377735138,70.11467742919922,45.030802488327026,0.13804224133491516,21.30615234375
8,polarization_jet,111122,0.04686478152871132,0.004230749327689409,0.0426340326666832,38.04161071777344,6.40479102730751,0.21915114670991898,21.6181640625
16,polarization_jet,111122,0.009047121740877628,0.001859466778114438,0.007187655195593834,16.58403968811035,6.32791593670845,0.31111497059464455,21.6181640625
24,polarization_jet,111122,0.006858353968709707,0.002251323778182268,0.004607030190527439,13.769674301147461,6.465073674917221,0.4023709371685982,21.6181640625
32,polarization_jet,111122,0.004079595673829317,0.0008965545566752553,0.00318304100073874,10.48962688446045,6.447724997997284,0.49351298436522484,21.6181640625
40,polarization_jet,111122,0.002250324934720993,0.0006995481671765447,0.0015507768839597702,8.911161422729492,6.332263350486755,0.5844004303216934,21.6181640625
48,polarization_jet,111122,0.0018234570743516088,0.0007796456338837743,0.0010438114404678345,7.240792751312256,6.415016949176788,0.6753082573413849,21.6181640625
56,polarization_jet,111122,0.0013061048230156302,0.0005048165330663323,0.0008012882899492979,6.122684001922607,6.339419633150101,0.7662578821182251,21.6181640625
64,polarization_jet,111122,0.001154623692855239,0.0005665314965881407,0.0005880922544747591,6.190317630767822,6.299838423728943,0.857261884957552,21.6181640625
72,polarization_jet,111122,0.0010162190301343799,0.0003204957174602896,0.0006957233417779207,6.216156005859375,6.401602178812027,0.9479705430567265,21.6181640625
80,polarization_jet,111122,0.0007539108046330512,0.00036154623376205564,0.0003923645708709955,5.895481109619141,6.378300487995148,1.039046984165907,21.6181640625
