step,ms,pct
backward,18.643055111169815,68.94595070456492
layer_01_tanh,2.2926628589630127,8.478750908242752
layer_03_tanh,2.270665019750595,8.397398258212897
layer_05_tanh,2.2664181888103485,8.381692581492485
layer_02_linear_64x64,0.3882162272930145,1.4357055058867356
layer_04_linear_64x64,0.38803741335868835,1.43504421423535
direction_generation,0.2814754843711853,1.0409557207376379
layer_00_linear_8x64,0.17748400568962097,0.6563732947285963
layer_06_linear_64x1,0.1582801342010498,0.5853533267516445
prepare_terms,0.11214986443519592,0.41475385760351763
weighted_sum,0.06165727972984314,0.22802162754345856
