step,method,alpha,loss,residual_loss,data_loss,val_rel_l2,step_ms_backward_only,wall_time,peak_alloc_mb
1,auto,111122,0.14972934126853943,0.0070809293538331985,0.14264841377735138,70.11467742919922,46.05256766080856,0.143285121768713,21.30615234375
8,auto,111122,0.04686478152871132,0.004230749327689409,0.0426340326666832,38.04161071777344,6.57234713435173,0.23157597333192825,21.6181640625
16,auto,111122,0.009047121740877628,0.001859466778114438,0.007187655195593834,16.58403968811035,6.536334753036499,0.32962944358587265,21.6181640625
24,auto,111122,0.006858353968709707,0.002251323778182268,0.004607030190527439,13.769674301147461,6.495080888271332,0.42673104256391525,21.6181640625
32,auto,111122,0.004079595673829317,0.0008965545566752553,0.00318304100073874,10.48962688446045,6.6058337688446045,0.5245013274252415,21.6181640625
40,auto,111122,0.002250324934720993,0.0006995481671765447,0.0015507768839597702,8.911161422729492,6.6363513469696045,0.6220701225101948,21.6181640625
48,auto,111122,0.0018234570743516088,0.0007796456338837743,0.0010438114404678345,7.240792751312256,6.550133228302002,0.7194699496030807,21.6181640625
56,auto,111122,0.0013061048230156302,0.0005048165330663323,0.0008012882899492979,6.122684001922607,6.592500954866409,0.8175792209804058,21.6181640625
64,auto,111122,0.001154623692855239,0.0005665314965881407,0.0005880922544747591,6.190317630767822,6.619371473789215,0.9145831614732742,21.6181640625
72,auto,111122,0.0010162190301343799,0.0003204957174602896,0.0006957233417779207,6.216156005859375,6.508275866508484,1.012511894106865,21.6181640625
80,auto,111122,0.0007539108046330512,0.00036154623376205564,0.0003923645708709955,5.895481109619141,6.484713405370712,1.1097234785556793,21.6181640625
