step,ms,pct
layer_01_tanh,2.2028759121894836,20.3135402303115
layer_03_tanh,2.1668002009391785,19.980872644377527
layer_05_tanh,2.1651461720466614,19.965620227178572
layer_04_linear_64x64,1.4209039509296417,13.102685181177417
layer_02_linear_64x64,1.4208592474460602,13.102272953685555
layer_00_linear_8x64,0.5483739078044891,5.056760290400527
layer_06_linear_64x1,0.5201250314712524,4.796266867833682
direction_generation,0.22800639271736145,2.1025319699596086
prepare_terms,0.10751187801361084,0.991407117932102
weighted_sum,0.06376951932907104,0.5880425171435109
