step,method,alpha,loss,residual_loss,data_loss,val_rel_l2,step_ms_backward_only,wall_time,peak_alloc_mb
1,direct_autodiff,111122,0.14972934126853943,0.007080927956849337,0.14264841377735138,70.11467742919922,64.53012302517891,0.1681259535253048,20.29443359375
8,direct_autodiff,111122,0.04686478152871132,0.004230751655995846,0.0426340289413929,38.04161071777344,30.572455376386642,0.5311635732650757,20.31298828125
16,direct_autodiff,111122,0.009047121740877628,0.0018594659632071853,0.0071876561269164085,16.58403968811035,30.578583478927612,0.9443438984453678,20.31298828125
24,direct_autodiff,111122,0.006858354434370995,0.002251324011012912,0.004607030190527439,13.769674301147461,31.18099272251129,1.359663289040327,20.31298828125
32,direct_autodiff,111122,0.004079594276845455,0.0008965543238446116,0.0031830398365855217,10.489625930786133,30.641991645097733,1.7752941772341728,20.31298828125
40,direct_autodiff,111122,0.0022503244690597057,0.0006995479925535619,0.001550776418298483,8.911161422729492,30.51239252090454,2.1887716092169285,20.31298828125
48,direct_autodiff,111122,0.0018234578892588615,0.0007796457502990961,0.0010438121389597654,7.240793228149414,30.620232224464417,2.6038164868950844,20.31298828125
56,direct_autodiff,111122,0.001306105055846274,0.0005048165330663323,0.0008012885227799416,6.122683525085449,30.52474558353424,3.016307808458805,20.31298828125
64,direct_autodiff,111122,0.0011546233436092734,0.000566531321965158,0.0005880920216441154,6.1903181076049805,30.587460845708847,3.431749500334263,20.31298828125
72,direct_autodiff,111122,0.0010162185644730926,0.00032049580477178097,0.0006957227597013116,6.216155052185059,30.57039901614189,3.8445487804710865,20.31298828125
80,direct_autodiff,111122,0.0007539105135947466,0.00036154623376205564,0.0003923642507288605,5.895481109619141,31.2156081199646,4.258455034345388,20.31298828125
