step,ms,pct
backward,21.485943347215652,67.2798065357751
layer_01_tanh,2.3117251694202423,7.238798857888227
layer_03_tanh,2.266664057970047,7.09769717053555
layer_05_tanh,2.261519432067871,7.081587594623344
layer_02_linear_64x64,1.287214457988739,4.030706881425239
layer_04_linear_64x64,1.2871436774730682,4.030485243523478
layer_00_linear_8x64,0.3150627017021179,0.9865686265017571
direction_generation,0.2891719341278076,0.9054958150681344
layer_06_linear_64x1,0.24294480681419373,0.7607429349127639
prepare_terms,0.1117028295993805,0.3497796044370042
weighted_sum,0.07611140608787537,0.23833073530940244
