step,ms,pct
backward,22.013507783412933,66.34431645843054
layer_01_tanh,2.2658146917819977,6.82871300779308
layer_03_tanh,2.2342652082443237,6.733629164703764
layer_05_tanh,2.217542380094528,6.683229900135581
layer_04_linear_64x64,1.4656707644462585,4.417238996029584
layer_02_linear_64x64,1.4650672674179077,4.41542017650184
layer_00_linear_8x64,0.545259565114975,1.6433034433172753
layer_06_linear_64x1,0.5228333175182343,1.575715211483802
direction_generation,0.27460604906082153,0.8276077942479496
prepare_terms,0.11200085282325745,0.33754820433112576
weighted_sum,0.06413087248802185,0.19327764302545583
