step,ms,pct
backward,21.43939957022667,66.99880684719996
layer_01_tanh,2.316068857908249,7.237788985065741
layer_03_tanh,2.2788532078266144,7.121488892642675
layer_05_tanh,2.2720173001289368,7.100126463253653
layer_02_linear_64x64,1.330491155385971,4.1578272581572175
layer_04_linear_64x64,1.3296902179718018,4.155324303215179
layer_00_linear_8x64,0.3063865005970001,0.9574675777112212
direction_generation,0.3019385039806366,0.9435674465447406
layer_06_linear_64x1,0.24573132395744324,0.7679182178681413
prepare_terms,0.11421740055084229,0.35693301638550723
weighted_sum,0.0648796558380127,0.2027509919559685
