task_id,candidate_id,lambda_ic,lambda_bc,war_rel_error,real_sinh_autodiff_rel_error,geometric_mean,max_error,rank_war,rank_real_sinh_autodiff,rank_shared_geomean,rank_shared_minimax
cahn_hilliard_2d_o6,point_033,10.0,100.0,0.11294618993997574,0.9171401262283325,0.32185009383027774,0.9171401262283325,6,6,1,6
cahn_hilliard_2d_o6,point_040,100.0,100.0,0.10813591629266739,0.9671112298965454,0.3233874750230618,0.9671112298965454,3,16,2,16
cahn_hilliard_2d_o6,point_025,1.0,10.0,0.10479799658060074,1.0109350681304932,0.3254903528726294,1.0109350681304932,2,27,3,24
cahn_hilliard_2d_o6,point_031,10.0,1.0,0.11766569316387177,0.96034175157547,0.3361536521790808,0.96034175157547,9,13,4,13
cahn_hilliard_2d_o6,point_024,1.0,1.0,0.11052440851926804,1.0373284816741943,0.338600231655607,1.0373284816741943,5,32,5,29
cahn_hilliard_2d_o6,point_026,1.0,100.0,0.12170398980379105,0.966696560382843,0.3430026651910935,0.966696560382843,14,15,6,15
cahn_hilliard_2d_o6,point_021,1.0,0.001,0.11564884334802628,1.0183587074279785,0.34317926310812663,1.0183587074279785,8,29,7,26
cahn_hilliard_2d_o6,point_019,0.1,100.0,0.11820629984140396,1.0066211223602295,0.3449477615761608,1.0066211223602295,10,25,8,22
cahn_hilliard_2d_o6,point_012,0.01,100.0,0.11886978149414062,1.0330616235733032,0.3504280374972024,1.0330616235733032,11,31,9,28
cahn_hilliard_2d_o6,point_022,1.0,0.01,0.1212816908955574,1.0185341835021973,0.3514677055009072,1.0185341835021973,13,30,10,27
cahn_hilliard_2d_o6,point_015,0.1,0.01,0.09980466216802597,1.2390618324279785,0.351659135514449,1.2390618324279785,1,41,11,40
cahn_hilliard_2d_o6,point_023,1.0,0.1,0.1193685382604599,1.0385735034942627,0.35209799912546336,1.0385735034942627,12,33,12,30
cahn_hilliard_2d_o6,point_032,10.0,10.0,0.13591718673706055,0.9373051524162292,0.356925593689449,0.9373051524162292,21,9,13,9
cahn_hilliard_2d_o6,point_030,10.0,0.1,0.13830500841140747,0.9464845061302185,0.36180595293832124,0.9464845061302185,24,10,14,10
cahn_hilliard_2d_o6,point_027,1.0,1000.0,0.13244502246379852,0.9926638603210449,0.36259259131871646,0.9926638603210449,20,19,15,19
cahn_hilliard_2d_o6,point_029,10.0,0.01,0.13984902203083038,0.9536497592926025,0.36519444984419913,0.9536497592926025,25,11,16,11
cahn_hilliard_2d_o6,point_028,10.0,0.001,0.1405663788318634,0.9585059285163879,0.36706090429303634,0.9585059285163879,26,12,17,12
cahn_hilliard_2d_o6,point_016,0.1,0.1,0.1145617663860321,1.2268701791763306,0.37490320731195154,1.2268701791763306,7,40,18,39
cahn_hilliard_2d_o6,point_017,0.1,1.0,0.12394436448812485,1.208097219467163,0.38695845010379115,1.208097219467163,15,37,19,36
cahn_hilliard_2d_o6,point_034,10.0,1000.0,0.16063781082630157,0.9336588382720947,0.3872736911263884,0.9336588382720947,32,8,20,8
cahn_hilliard_2d_o6,point_014,0.1,0.001,0.12802016735076904,1.2191790342330933,0.39506898637208865,1.2191790342330933,16,38,21,37
cahn_hilliard_2d_o6,point_018,0.1,10.0,0.1438991278409958,1.1516932249069214,0.40709661089781846,1.1516932249069214,28,35,22,32
cahn_hilliard_2d_o6,point_041,100.0,1000.0,0.18493521213531494,0.9280083179473877,0.41427215105886245,0.9280083179473877,33,7,23,7
cahn_hilliard_2d_o6,point_011,0.01,10.0,0.14942170679569244,1.1783215999603271,0.4196031751790055,1.1783215999603271,30,36,24,35
cahn_hilliard_2d_o6,point_010,0.01,1.0,0.14552395045757294,1.2260582447052002,0.4223989101081801,1.2260582447052002,29,39,25,38
cahn_hilliard_2d_o6,point_003,0.001,1.0,0.10995527356863022,1.7822736501693726,0.442685426435674,1.7822736501693726,4,44,26,43
cahn_hilliard_2d_o6,point_039,100.0,10.0,0.2095995992422104,0.9724078178405762,0.45146017423398166,0.9724078178405762,34,17,27,17
cahn_hilliard_2d_o6,point_037,100.0,0.1,0.22200676798820496,0.9816663861274719,0.4668367826412367,0.9816663861274719,36,18,28,18
cahn_hilliard_2d_o6,point_036,100.0,0.01,0.21869666874408722,1.0173016786575317,0.47167837371472743,1.0173016786575317,35,28,29,25
cahn_hilliard_2d_o6,point_047,1000.0,100.0,0.25434038043022156,0.903601348400116,0.4793978626457847,0.903601348400116,39,5,30,5
cahn_hilliard_2d_o6,point_038,100.0,1.0,0.23177571594715118,1.0082629919052124,0.48341584253295555,1.0082629919052124,37,26,31,23
cahn_hilliard_2d_o6,point_004,0.001,10.0,0.14328287541866302,1.6342861652374268,0.4839062109667107,1.6342861652374268,27,42,32,41
cahn_hilliard_2d_o6,point_035,100.0,0.001,0.23487503826618195,1.0012043714523315,0.4849308353333855,1.0012043714523315,38,23,33,21
cahn_hilliard_2d_o6,point_009,0.01,0.1,0.1382945030927658,1.7234971523284912,0.4882112066135574,1.7234971523284912,23,43,34,42
cahn_hilliard_2d_o6,point_008,0.01,0.01,0.13210733234882355,1.9305564165115356,0.5050155028652519,1.9305564165115356,19,45,35,44
cahn_hilliard_2d_o6,point_007,0.01,0.001,0.1373344361782074,2.011186361312866,0.5255522285940789,2.011186361312866,22,46,36,45
cahn_hilliard_2d_o6,point_002,0.001,0.1,0.1317441165447235,2.314704656600952,0.5522216222186976,2.314704656600952,18,47,37,46
cahn_hilliard_2d_o6,point_045,1000.0,1.0,0.4098212718963623,0.873619556427002,0.5983543078882694,0.873619556427002,40,2,38,2
cahn_hilliard_2d_o6,point_046,1000.0,10.0,0.41692548990249634,0.8689540028572083,0.6019045383978897,0.8689540028572083,41,1,39,1
cahn_hilliard_2d_o6,point_001,0.001,0.01,0.13014841079711914,2.794581174850464,0.6030839897977179,2.794581174850464,17,49,40,48
cahn_hilliard_2d_o6,point_043,1000.0,0.01,0.42359277606010437,0.8753871917724609,0.6089398087581035,0.8753871917724609,42,3,41,3
cahn_hilliard_2d_o6,point_042,1000.0,0.001,0.4578942060470581,0.8766289949417114,0.6335639964807545,0.8766289949417114,44,4,42,4
cahn_hilliard_2d_o6,point_000,0.001,0.001,0.15701819956302643,2.729888916015625,0.6547077535815773,2.729888916015625,31,48,43,47
