task_id,candidate_count,spearman_rank_correlation,method_top10_overlap,war_better_count,real_ad_better_count,both_rel_error_below_0.25,both_rel_error_below_0.50,shared_geomean_best_candidate,shared_minimax_best_candidate
cahn_hilliard_2d_o4,49,0.5859183673469388,5,45,4,3,19,point_025,point_025
cahn_hilliard_2d_o6,49,-0.35918367346938784,1,45,4,0,0,point_033,point_046
