L2_err,L_int_last,backend,ms_per_step,nan,order,params,peak_mb,problem,seed,steps,sweep,variant
0.00025790948759022873,1.251542227430739e-07,jet,10.478557220768748,False,2,25346,189.47998046875,polyharm1d_o2,0,57261,2.0,complex_sinh
8.151701539140698e-05,2.1389218387385433e-08,jet,10.46231902564154,False,2,25346,189.47998046875,polyharm1d_o2,1,57350,2.0,complex_sinh
0.00016597495231855316,1.5359950520254617e-07,jet,19.5128476694832,False,4,25346,269.72998046875,polyharm1d_o4,0,30750,4.0,complex_sinh
0.00033969168610047313,2.0102671078338123e-06,jet,19.481473649920044,False,4,25346,269.72998046875,polyharm1d_o4,1,30799,4.0,complex_sinh
0.011737187751685876,9.284844606664025e-06,jet,30.92522496931723,False,6,25346,349.97998046875,polyharm1d_o6,0,19403,6.0,complex_sinh
0.031225873085157004,1.7188161092301054e-05,jet,30.8723282190678,False,6,25346,349.97998046875,polyharm1d_o6,1,19436,6.0,complex_sinh
0.16391609271793792,0.0001763186874146835,jet,45.175568823586374,False,8,25346,430.22998046875,polyharm1d_o8,0,13282,8.0,complex_sinh
0.25149662139006634,2.0957714554895552e-05,jet,45.16460707664364,False,8,25346,430.22998046875,polyharm1d_o8,1,13286,8.0,complex_sinh
0.7029999508891754,0.23993823696223138,jet,63.202230976268645,False,10,25346,531.54150390625,polyharm1d_o10,0,9494,10.0,complex_sinh
0.93962627619442,0.4388243087933768,jet,63.55484041670737,False,10,25346,531.54150390625,polyharm1d_o10,1,9441,10.0,complex_sinh
