L2_err,L_int_last,backend,ms_per_step,nan,order,params,peak_mb,problem,rep,seed,steps,sweep,variant
0.0008044157636600159,3.894485985491226e-06,jet,64.0609837134677,False,2,100098,508.76171875,nls_k1,complex,0,9367,1.0,complex_sinh
0.0018781952134339786,9.023047003342424e-06,jet,107.8338077260049,False,2,100098,832.33544921875,nls_k1,split2,0,5565,1.0,siren
0.004039949913891009,1.789676805444547e-05,jet,117.88073446630167,False,2,132098,807.07373046875,nls_k1,split2,0,5091,1.0,fourier
0.037413481262907694,0.00034312390842272634,jet,107.92290782691592,False,2,100098,800.33544921875,nls_k1,split2,0,5561,1.0,tanh
0.0015195316612703958,4.881310568629888e-06,jet,64.16902503546687,False,2,100098,508.76171875,nls_k1,complex,1,9351,1.0,complex_sinh
0.0015024492195928013,8.179648473030139e-06,jet,107.726589850299,False,2,100098,832.33544921875,nls_k1,split2,1,5571,1.0,siren
0.0030040068485643954,1.821540030674841e-05,jet,117.70029067204125,False,2,132098,807.07373046875,nls_k1,split2,1,5099,1.0,fourier
0.08517880852346313,0.0010191691098885773,jet,107.85068568922874,False,2,100098,800.33544921875,nls_k1,split2,1,5564,1.0,tanh
0.002424700096677817,4.913596659508753e-06,jet,64.00020393811535,False,2,100098,508.76171875,nls_k2,complex,0,9376,2.0,complex_sinh
0.005404742061209895,1.041867784142258e-05,jet,107.75751649529346,False,2,100098,832.33544921875,nls_k2,split2,0,5569,2.0,siren
0.020780051027832664,3.8909984393070106e-05,jet,117.82770273644142,False,2,132098,807.07373046875,nls_k2,split2,0,5093,2.0,fourier
0.19745603702360823,0.0020521345131436263,jet,107.8457593372274,False,2,100098,800.33544921875,nls_k2,split2,0,5565,2.0,tanh
0.002079377938043269,5.733534631832422e-06,jet,64.04426806052727,False,2,100098,508.76171875,nls_k2,complex,1,9370,2.0,complex_sinh
0.003232993593166686,9.269171912210655e-06,jet,107.73693202381128,False,2,100098,832.33544921875,nls_k2,split2,1,5570,2.0,siren
0.018502450857978775,3.547726428279934e-05,jet,117.75212508247613,False,2,132098,807.07373046875,nls_k2,split2,1,5096,2.0,fourier
0.21312206045080495,0.0026973895283644743,jet,107.93748883188789,False,2,100098,800.33544921875,nls_k2,split2,1,5560,2.0,tanh
0.009403798601684369,8.337317770675813e-06,jet,63.95252222112091,False,2,100098,508.76171875,nls_k4,complex,0,9383,4.0,complex_sinh
0.010663008352121826,1.1405482515996595e-05,jet,107.80900500398872,False,2,100098,832.33544921875,nls_k4,split2,0,5566,4.0,siren
0.030123196104045204,3.443602388364209e-05,jet,117.68872665059078,False,2,132098,807.07373046875,nls_k4,split2,0,5099,4.0,fourier
0.392429719345819,0.021370306222064598,jet,107.79434036599342,False,2,100098,800.33544921875,nls_k4,split2,0,5567,4.0,tanh
0.004188812199991642,5.572859559538884e-06,jet,64.05508956282593,False,2,100098,508.76171875,nls_k4,complex,1,9368,4.0,complex_sinh
0.005963926626908447,9.371394385125778e-06,jet,107.86121855386132,False,2,100098,832.33544921875,nls_k4,split2,1,5564,4.0,siren
0.02361021754261555,2.920454304183971e-05,jet,117.66927718020537,False,2,132098,807.07373046875,nls_k4,split2,1,5100,4.0,fourier
0.3032356794016645,0.013230133360120655,jet,107.85475671512297,False,2,100098,800.33544921875,nls_k4,split2,1,5564,4.0,tanh
