candidate_id,candidate_index,real_sinh_autodiff_loss,real_sinh_autodiff_mass_drift_rms,real_sinh_autodiff_rel_error,real_sinh_autodiff_status,real_sinh_autodiff_steps,war_loss,war_mass_drift_rms,war_rel_error,war_status,war_steps,weight_labels,weight_map,weights
point_000,0,0.3291160464286804,0.4672575891017914,2.729888916015625,complete,128,0.000972450478002429,0.01266453880816698,0.15701819956302643,complete,752,"[""1e-3"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.001}","[0.001, 0.001]"
point_001,1,0.3445032238960266,0.49037879705429077,2.794581174850464,complete,129,0.001001433003693819,0.005498485639691353,0.13014841079711914,complete,772,"[""1e-3"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.001}","[0.001, 0.01]"
point_002,2,0.4956640303134918,0.3969370722770691,2.314704656600952,complete,111,0.0010799760930240154,0.005276908632367849,0.1317441165447235,complete,773,"[""1e-3"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.001}","[0.001, 0.1]"
point_003,3,0.4369809329509735,0.27096161246299744,1.7822736501693726,complete,108,0.0013986903941258788,0.007373332045972347,0.10995527356863022,complete,761,"[""1e-3"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.001}","[0.001, 1.0]"
point_004,4,0.39241448044776917,0.25042465329170227,1.6342861652374268,complete,118,0.0015818937681615353,0.013500474393367767,0.14328287541866302,complete,779,"[""1e-3"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.001}","[0.001, 10.0]"
point_005,5,0.523070752620697,0.0722087174654007,1.071935772895813,complete,112,0.07034025341272354,0.5015250444412231,3.0466201305389404,complete,756,"[""1e-3"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.001}","[0.001, 100.0]"
point_006,6,0.4770822823047638,0.017088208347558975,1.0018819570541382,complete,118,0.019497238099575043,0.18056413531303406,1.171817660331726,complete,808,"[""1e-3"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.001}","[0.001, 1000.0]"
point_007,7,0.40724971890449524,0.32910799980163574,2.011186361312866,complete,124,0.0009599355980753899,0.005196037236601114,0.1373344361782074,complete,788,"[""1e-2"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.01}","[0.01, 0.001]"
point_008,8,0.4336760938167572,0.3094872534275055,1.9305564165115356,complete,123,0.0010992871830239892,0.006529428996145725,0.13210733234882355,complete,798,"[""1e-2"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.01}","[0.01, 0.01]"
point_009,9,0.4507181644439697,0.25714975595474243,1.7234971523284912,complete,125,0.0011710362741723657,0.005372506566345692,0.1382945030927658,complete,787,"[""1e-2"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.01}","[0.01, 0.1]"
