L2_err,L_int_last,backend,ms_per_step,nan,order,params,peak_mb,problem,seed,steps,sweep,variant
0.00035080484428510735,4.257965390492128e-06,jet,9.103263325306989,False,2,6594,175.857421875,polyharm2d_o2,0,10986,2.0,complex_sinh
0.0005229252342281139,1.5607478223264535e-05,jet,17.527754381991063,False,2,8281,221.96533203125,polyharm2d_o2,0,5706,2.0,fourier
0.0008659239081544148,2.4245494977077557e-05,jet,17.884996393895328,False,2,6391,222.90673828125,polyharm2d_o2,0,5592,2.0,siren
0.01084582720879397,0.0005873802059566578,jet,23.38188165357287,False,2,6633,318.69677734375,polyharm2d_o2,0,4278,2.0,mscale
0.9935628459974309,0.24485961051618182,jet,18.06289219550273,False,2,6391,222.90673828125,polyharm2d_o2,0,5537,2.0,real_sinh
0.000494978600262594,2.955158043095704e-06,jet,9.273914608362377,False,2,6594,175.857421875,polyharm2d_o2,1,10784,2.0,complex_sinh
0.0008095913585355976,1.1309834221787401e-05,jet,17.569501830787434,False,2,8281,221.96533203125,polyharm2d_o2,1,5693,2.0,fourier
0.000699819541001013,1.9335575609562026e-05,jet,17.903397054832617,False,2,6391,222.90673828125,polyharm2d_o2,1,5586,2.0,siren
0.011012817515774065,0.0005682727675761122,jet,23.111071588657452,False,2,6633,318.69677734375,polyharm2d_o2,1,4328,2.0,mscale
0.9862086142056504,0.24277546368254863,jet,17.89925752758297,False,2,6391,222.90673828125,polyharm2d_o2,1,5588,2.0,real_sinh
0.05048964761833935,5.9424404704218955e-05,jet,35.037321603209456,False,4,6594,490.48291015625,polyharm2d_o4,0,2855,4.0,complex_sinh
0.0500144703358997,0.0003568378754078162,jet,70.41922262374949,False,4,8281,662.34228515625,polyharm2d_o4,0,1421,4.0,fourier
0.979858961045389,0.21647521391697463,jet,73.61026113610262,False,4,6391,665.814453125,polyharm2d_o4,0,1359,4.0,siren
0.8670855381488711,0.19212301941906595,jet,97.02116059668717,False,4,6633,1096.27392578125,polyharm2d_o4,0,1031,4.0,mscale
1.000092147865801,0.24708881243946026,jet,73.84924052826153,False,4,6391,667.689453125,polyharm2d_o4,0,1355,4.0,real_sinh
0.028764175040079117,2.5585045149027417e-05,jet,34.98124276724208,False,4,6594,490.48291015625,polyharm2d_o4,1,2860,4.0,complex_sinh
0.01334863928753285,0.0005156620778956472,jet,70.46904936695182,False,4,8281,663.59228515625,polyharm2d_o4,1,1420,4.0,fourier
0.9866840813670263,0.2256225971973153,jet,73.71726780252007,False,4,6391,667.689453125,polyharm2d_o4,1,1358,4.0,siren
0.9303909736934407,0.21799541887463808,jet,97.08056762763935,False,4,6633,1096.27392578125,polyharm2d_o4,1,1031,4.0,mscale
1.0001938045654168,0.24914286433245816,jet,73.85342025173986,False,4,6391,667.689453125,polyharm2d_o4,1,1355,4.0,real_sinh
0.03783096833753015,0.001735374929218398,jet,110.58464142910684,False,6,6594,1493.35400390625,polyharm2d_o6,0,905,6.0,complex_sinh
0.9969580959859456,0.23791840903033984,jet,236.20634706567904,False,6,8281,2062.88330078125,polyharm2d_o6,0,424,6.0,fourier
0.9935561706595186,119.10826045322756,jet,245.49382962925614,False,6,6391,2079.140625,polyharm2d_o6,0,408,6.0,siren
0.997433437916637,0.2459422003079339,jet,311.84279988882514,False,6,6633,3559.14892578125,polyharm2d_o6,0,321,6.0,mscale
0.9999284676344306,0.24709812964602293,jet,245.5935152886691,False,6,6391,2078.8359375,polyharm2d_o6,0,408,6.0,real_sinh
0.11552609916337929,0.00171458501790454,jet,110.80942671139573,False,6,6594,1493.10400390625,polyharm2d_o6,1,903,6.0,complex_sinh
1.0004192631762776,0.2928779386927505,jet,236.16164416197756,False,6,8281,2068.05517578125,polyharm2d_o6,1,424,6.0,fourier
0.9936074819224988,38.844501659897745,jet,245.40449886162784,False,6,6391,2078.8359375,polyharm2d_o6,1,408,6.0,siren
0.9951944512309859,0.24638060349969107,jet,311.9598841439712,False,6,6633,3559.14892578125,polyharm2d_o6,1,321,6.0,mscale
1.000091735321978,0.249173471561786,jet,245.81730988461013,False,6,6391,2078.8359375,polyharm2d_o6,1,408,6.0,real_sinh
