L2_err,L_int_last,backend,ms_per_step,nan,order,params,peak_mb,problem,seed,steps,sweep,variant
0.0001933976843588919,2.103058401186369e-06,jet,8.83589979846384,False,2,6594,175.857421875,polyharm_o2,0,16977,2.0,complex_sinh
0.0004599891802761188,7.0363921707816575e-06,jet,17.250962626307228,False,2,8281,221.96533203125,polyharm_o2,0,8696,2.0,fourier
0.0007174891583223736,1.55053797027758e-05,jet,17.54180947384014,False,2,6391,222.90673828125,polyharm_o2,0,8552,2.0,siren
0.9831047522598927,0.2400363089528433,jet,17.724983838460776,False,2,6391,222.90673828125,polyharm_o2,0,8464,2.0,real_sinh
0.00019933895796680654,1.565917879043238e-06,jet,8.830334233023159,False,2,6594,175.857421875,polyharm_o2,1,16988,2.0,complex_sinh
0.0004525479515103687,6.384653220613833e-06,jet,17.241050124360203,False,2,8281,221.96533203125,polyharm_o2,1,8701,2.0,fourier
0.0005241843090623368,1.2378008828779151e-05,jet,17.54264078857473,False,2,6391,222.90673828125,polyharm_o2,1,8552,2.0,siren
0.9677321151077602,0.2353151076857832,jet,17.75727470896637,False,2,6391,222.90673828125,polyharm_o2,1,8448,2.0,real_sinh
0.00018268926289036137,2.617569877023695e-06,jet,9.035086001102977,False,2,6594,175.857421875,polyharm_o2,2,16603,2.0,complex_sinh
0.000500720902951324,1.3996992659787134e-05,jet,17.4762446449363,False,2,8281,221.96533203125,polyharm_o2,2,8584,2.0,fourier
0.0005083942579407417,1.3928431202701324e-05,jet,17.591092780959315,False,2,6391,222.90673828125,polyharm_o2,2,8528,2.0,siren
0.9899540054596514,0.24468830215654164,jet,17.692353067868428,False,2,6391,222.90673828125,polyharm_o2,2,8479,2.0,real_sinh
0.04237836476335628,3.81176325112308e-05,jet,34.591636462199375,False,4,6594,490.48291015625,polyharm_o4,0,4337,4.0,complex_sinh
0.013022840939344742,0.0001706046523986807,jet,69.8993128785559,False,4,8281,661.71728515625,polyharm_o4,0,2147,4.0,fourier
0.9656487411893335,0.20479743064339156,jet,73.04504274814379,False,4,6391,665.189453125,polyharm_o4,0,2055,4.0,siren
1.000152324671291,0.24707768794944318,jet,73.2230933473968,False,4,6391,665.189453125,polyharm_o4,0,2050,4.0,real_sinh
0.023275355901037315,1.6256491298490987e-05,jet,34.6247974749652,False,4,6594,490.48291015625,polyharm_o4,1,4333,4.0,complex_sinh
0.025083438752497553,0.00023043514660870822,jet,70.56883248296388,False,4,8281,661.71728515625,polyharm_o4,1,2126,4.0,fourier
0.9784644166661136,0.21629066898378632,jet,73.74780389139342,False,4,6391,665.189453125,polyharm_o4,1,2035,4.0,siren
1.0002213643287223,0.24913577603991782,jet,73.74228771126094,False,4,6391,665.189453125,polyharm_o4,1,2035,4.0,real_sinh
0.09985592847498494,3.8515939866849224e-05,jet,35.33637863015769,False,4,6594,490.48291015625,polyharm_o4,2,4246,4.0,complex_sinh
0.11439293286397317,0.00014544094311670243,jet,70.38161022707429,False,4,8281,661.71728515625,polyharm_o4,2,2132,4.0,fourier
0.08160817342908232,0.0022566208810213565,jet,73.75208650891845,False,4,6391,665.189453125,polyharm_o4,2,2035,4.0,siren
1.0000053167914693,0.24889972677729594,jet,73.8853857587016,False,4,6391,665.189453125,polyharm_o4,2,2031,4.0,real_sinh
0.04786026046821636,0.0007850382908778737,jet,110.4341581631027,False,6,6594,1492.47900390625,polyharm_o6,0,1359,6.0,complex_sinh
0.9962588565248406,0.22664321566887463,jet,235.945628751274,False,6,8281,2062.99267578125,polyharm_o6,0,637,6.0,fourier
0.9943915217695701,70.24195811964094,jet,244.82133963027005,False,6,6391,2072.4921875,polyharm_o6,0,614,6.0,siren
0.9999265809384135,0.24709594998559176,jet,245.06618564440998,False,6,6391,2072.4921875,polyharm_o6,0,613,6.0,real_sinh
0.10802653680553667,0.0007288826586226858,jet,110.59733648361005,False,6,6594,1492.47900390625,polyharm_o6,1,1357,6.0,complex_sinh
0.9993969152443678,0.25232357383985204,jet,235.69197764435967,False,6,8281,2062.99267578125,polyharm_o6,1,637,6.0,fourier
0.9952132879743265,19.50074662472219,jet,244.65133574660805,False,6,6391,2072.4921875,polyharm_o6,1,614,6.0,siren
1.00007113626918,0.24917120773424686,jet,244.98685090506348,False,6,6391,2072.4921875,polyharm_o6,1,613,6.0,real_sinh
0.2560135457108942,0.0018604549417153761,jet,110.76776963208434,False,6,6594,1492.47900390625,polyharm_o6,2,1355,6.0,complex_sinh
0.8118396188754666,0.161468233691009,jet,235.7619591525155,False,6,8281,2062.99267578125,polyharm_o6,2,637,6.0,fourier
1.0039105976959393,3.4694103787348625,jet,244.63635224982465,False,6,6391,2072.4921875,polyharm_o6,2,614,6.0,siren
1.0002482415897695,0.2489036833164718,jet,244.97062975136626,False,6,6391,2072.4921875,polyharm_o6,2,613,6.0,real_sinh
