L2_err,L_int_last,R_C,activation,ms_per_step,oscillatory,params,peak_mb,problem,seed,steps,variant,width
0.011212229855840842,0.0008134230928602845,5,sinh,8.015954491755675,True,6722,87.61669921875,ch42_osc,0,11228,complex,32
0.03370340415188173,0.00253755187743259,5,sin,7.371629546579892,True,3361,87.06884765625,ch42_osc,0,12209,real_sin,32
0.0354522796647706,0.0015562492244977299,5,sin,7.956832883612133,True,6481,96.2255859375,ch42_osc,0,11312,real_sin_pm,45
0.0048801260110884585,0.00017321765549578754,5,sinh,7.8858234126029085,True,6722,87.61669921875,ch42_osc,1,11413,complex,32
0.032523631010943126,0.001002746398961351,5,sin,6.810340217988911,True,3361,87.06884765625,ch42_osc,1,13216,real_sin,32
0.041386935999578926,0.0013847756527793468,5,sin,7.509290375438314,True,6481,96.2255859375,ch42_osc,1,11986,real_sin_pm,45
0.008116677233856643,0.0001984423182295109,5,sinh,8.022775900770087,True,6722,87.61669921875,ch42_osc,2,11219,complex,32
0.024296472633244717,0.001214783892946853,5,sin,6.864339948527838,True,3361,87.06884765625,ch42_osc,2,13112,real_sin,32
0.043115168899539875,0.00116683362478508,5,sin,7.52153687867735,True,6481,96.2255859375,ch42_osc,2,11966,real_sin_pm,45
0.030982638460514324,0.0007516133829566492,5,sinh,7.7928860213010855,False,6722,87.61669921875,ch42_mono,0,11550,complex,32
0.08448910904233403,0.00188878673979123,5,sin,6.824181563782226,False,3361,87.06884765625,ch42_mono,0,13189,real_sin,32
0.08815384944257679,0.0016435097549132329,5,sin,7.507013108847596,False,6481,96.2255859375,ch42_mono,0,11989,real_sin_pm,45
0.015238087934282404,0.0012566951171417294,5,sinh,7.722531231891336,False,6722,87.61669921875,ch42_mono,1,11655,complex,32
0.09900127865892605,0.0015666892373436673,5,sin,6.805592394224412,False,3361,87.06884765625,ch42_mono,1,13225,real_sin,32
0.09103914706401597,0.0020423348752462286,5,sin,7.540621566143007,False,6481,96.2255859375,ch42_mono,1,11936,real_sin_pm,45
0.029144456484126096,0.0007313669863511926,5,sinh,8.44407441166689,False,6722,87.61669921875,ch42_mono,2,10659,complex,32
0.07952012944131062,0.00324797868711854,5,sin,7.466154293072565,False,3361,87.06884765625,ch42_mono,2,12055,real_sin,32
0.04501498298080198,0.002034189713746408,5,sin,7.97772367049502,False,6481,96.2255859375,ch42_mono,2,11282,real_sin_pm,45
0.012134664000866323,0.0003264377646485124,5,sinh,8.279156787268713,False,6722,87.61669921875,gauss42,0,10871,complex,32
0.007344442481539089,0.00043341494465078194,5,sin,7.316501042073107,False,3361,87.06884765625,gauss42,0,12301,real_sin,32
0.004839739383043638,0.00045551689695465627,5,sin,7.801679364450213,False,6481,96.2255859375,gauss42,0,11537,real_sin_pm,45
0.014990017281946462,0.0013996346508816206,5,sinh,8.45239948968324,False,6722,87.61669921875,gauss42,1,10648,complex,32
0.006273067972119803,0.0006112858284758762,5,sin,7.155207995426315,False,3361,87.06884765625,gauss42,1,12579,real_sin,32
0.007370064943929022,0.00043763091048752006,5,sin,7.491636082693743,False,6481,96.2255859375,gauss42,1,12014,real_sin_pm,45
0.021942000052185252,0.0014210065743824475,5,sinh,7.87747556078747,False,6722,87.61669921875,gauss42,2,11425,complex,32
0.007983414732033988,0.0004082487197823607,5,sin,6.947676750825698,False,3361,87.06884765625,gauss42,2,12954,real_sin,32
0.005261781996257901,0.0005042460652381869,5,sin,7.493560276779791,False,6481,96.2255859375,gauss42,2,12011,real_sin_pm,45
0.007083135539428551,0.00010036682055149201,9,sinh,8.301742852841922,False,6658,105.67822265625,gauss222,0,10842,complex,32
0.004497988651602947,0.0001410349908238933,9,sin,7.330981251090544,False,3329,105.2568359375,gauss222,0,12277,real_sin,32
0.007875971624126885,0.0001555114692455541,9,sin,9.618242479045502,False,6436,121.31201171875,gauss222,0,9358,real_sin_pm,45
0.006485755772016684,4.7856823075016126e-05,9,sinh,8.098563812378126,False,6658,105.67822265625,gauss222,1,11114,complex,32
0.003882764479119536,0.00011525091448369388,9,sin,7.19109878804774,False,3329,105.2568359375,gauss222,1,12516,real_sin,32
0.0034813276444018975,0.00017724421331408565,9,sin,9.511511710080804,False,6436,121.31201171875,gauss222,1,9463,real_sin_pm,45
0.007153302011954884,0.00011275517550760282,9,sinh,8.130491907559437,False,6658,105.67822265625,gauss222,2,11070,complex,32
0.008267508942980341,0.0001550358142391731,9,sin,7.1958023616951765,False,3329,105.2568359375,gauss222,2,12508,real_sin,32
0.005720200674561444,0.0001989302646604477,9,sin,9.47821151822956,False,6436,121.31201171875,gauss222,2,9496,real_sin_pm,45
