L2_err,L_int_last,backend,ms_per_step,nan,order,params,peak_mb,problem,rep,seed,steps,sweep,variant
0.06567705292717718,0.00012759322575222367,jet,10.081113739219564,False,2,6594,175.908203125,nls_k1,complex,0,5952,1.0,complex_sinh
0.4315761599369185,0.004946526685701191,jet,16.12828817650039,False,2,6594,248.67333984375,nls_k1,split2,0,3721,1.0,tanh
0.159825979696266,0.00031156772717638915,jet,16.04757417531256,False,2,6594,256.67333984375,nls_k1,split2,0,3740,1.0,siren
0.14980290675978597,0.0002635867628137512,jet,15.375751356780148,False,2,8450,249.41845703125,nls_k1,split2,0,3903,1.0,fourier
0.6121008770336862,0.015764040055826427,jet,43.33240431918349,False,2,6594,387.26513671875,nls_k1,split2,0,1385,1.0,mscale
0.08827025095090943,0.00014835911322873523,jet,9.986987220299167,False,2,6594,175.908203125,nls_k1,complex,1,6009,1.0,complex_sinh
0.468671269656096,0.00661245250498099,jet,16.12927696575756,False,2,6594,248.67333984375,nls_k1,split2,1,3721,1.0,tanh
0.11211707811791491,0.00017908478522015038,jet,16.188504352727474,False,2,6594,256.67333984375,nls_k1,split2,1,3707,1.0,siren
0.15200345637844698,0.00024330014769207093,jet,15.384893336301582,False,2,8450,249.41845703125,nls_k1,split2,1,3901,1.0,fourier
0.4269391110653957,0.004799914490188653,jet,43.33146192429298,False,2,6594,387.26513671875,nls_k1,split2,1,1385,1.0,mscale
0.08792638297918288,0.0001125020513121454,jet,9.950391947605423,False,2,6594,175.908203125,nls_k2,complex,0,6031,2.0,complex_sinh
0.3379108510501192,0.010665072261642594,jet,16.163582051483377,False,2,6594,248.67333984375,nls_k2,split2,0,3713,2.0,tanh
0.13205811951930024,0.000265396533836382,jet,16.06657687410054,False,2,6594,256.67333984375,nls_k2,split2,0,3735,2.0,siren
0.14298661324721787,0.0002587649187863508,jet,15.372396419569087,False,2,8450,249.41845703125,nls_k2,split2,0,3904,2.0,fourier
0.479407655083943,0.03271616654736707,jet,43.34774351803189,False,2,6594,387.26513671875,nls_k2,split2,0,1385,2.0,mscale
0.10344155442666024,0.00014935517685699012,jet,9.949196513622994,False,2,6594,175.908203125,nls_k2,complex,1,6031,2.0,complex_sinh
0.4143645853082367,0.016861505705125828,jet,16.125815784411525,False,2,6594,248.67333984375,nls_k2,split2,1,3722,2.0,tanh
0.10455376579772457,0.00019799221684275894,jet,16.08110867073362,False,2,6594,256.67333984375,nls_k2,split2,1,3732,2.0,siren
0.1419748175200486,0.0003051759693546809,jet,15.364789362010654,False,2,8450,249.41845703125,nls_k2,split2,1,3906,2.0,fourier
0.38735650851161413,0.010452439832501699,jet,43.33188672170097,False,2,6594,387.26513671875,nls_k2,split2,1,1385,2.0,mscale
0.09655864107633978,0.0002788152740807646,jet,9.997696680616077,False,2,6594,175.908203125,nls_k4,complex,0,6002,4.0,complex_sinh
0.9993576419994545,0.1683901813111386,jet,16.135521810056062,False,2,6594,248.67333984375,nls_k4,split2,0,3719,4.0,tanh
0.11065489529903222,0.0004062121773450537,jet,16.06448884401271,False,2,6594,256.67333984375,nls_k4,split2,0,3736,4.0,siren
0.17397322788538908,0.0007050212599195103,jet,15.385615111161501,False,2,8450,249.41845703125,nls_k4,split2,0,3900,4.0,fourier
1.0468081340430482,0.18721860773165727,jet,43.358241546132504,False,2,6594,387.26513671875,nls_k4,split2,0,1385,4.0,mscale
0.051883905175303495,0.00012101021075630719,jet,9.963397931220344,False,2,6594,175.908203125,nls_k4,complex,1,6023,4.0,complex_sinh
1.1181744237376336,0.15023567351843073,jet,16.1177588478151,False,2,6594,248.67333984375,nls_k4,split2,1,3723,4.0,tanh
0.09625088628769482,0.0003094408691779524,jet,16.06147810647252,False,2,6594,256.67333984375,nls_k4,split2,1,3736,4.0,siren
0.12732741399374664,0.0007806699356437718,jet,15.357397974277164,False,2,8450,249.41845703125,nls_k4,split2,1,3908,4.0,fourier
0.5809957835856897,0.044940877586273985,jet,43.39480846823986,False,2,6594,387.26513671875,nls_k4,split2,1,1383,4.0,mscale
