L2_err,L_int_last,backend,ms_per_step,n_terms,nan,order,params,peak_mb,problem,seed,steps,variant
0.1601132172140408,0.0008953383687027251,jet,10.675659252690146,2,False,2,6594,183.306640625,helmholtz_hf,0,9368,complex_sinh
1.0000014665005816,0.25204051650981446,jet,10.622751912219817,2,False,2,6594,183.306640625,helmholtz_hf,0,9415,complex_sinh_noinit
1.0000018092348255,0.25204054271855963,jet,8.854387044055686,2,False,2,3297,175.8056640625,helmholtz_hf,0,11295,real_sinh
1.0000008548991166,0.25204070865215344,jet,8.792599574214853,2,False,2,3297,175.8056640625,helmholtz_hf,0,11374,tanh
0.19806815532586441,0.0002552049136335077,jet,8.804131635743575,2,False,2,3297,175.8056640625,helmholtz_hf,0,11359,siren
0.3737414218080634,0.006776808509435728,jet,8.744034771704483,2,False,2,4225,175.05322265625,helmholtz_hf,0,11437,fourier
1.0006164341971868,0.25202992587119766,jet,23.298913330940024,2,False,2,3297,252.84716796875,helmholtz_hf,0,4293,mscale
1.000003756880241,0.252040102487401,autograd,15.09222085932042,2,False,2,3681,330.609375,helmholtz_hf,0,6626,cauchy
0.21618803013655954,0.0006783092550217684,jet,10.65244294883954,2,False,2,6594,183.306640625,helmholtz_hf,1,9388,complex_sinh
1.0000013262532155,0.24491542099520078,jet,10.615170270081173,2,False,2,6594,183.306640625,helmholtz_hf,1,9421,complex_sinh_noinit
1.000000369786614,0.24491559746207142,jet,8.859505617666349,2,False,2,3297,175.8056640625,helmholtz_hf,1,11288,real_sinh
1.0000004669146467,0.24491545720745167,jet,8.732003614626514,2,False,2,3297,175.8056640625,helmholtz_hf,1,11453,tanh
0.10769699946182587,0.00034957402547307413,jet,8.793096269425936,2,False,2,3297,175.8056640625,helmholtz_hf,1,11373,siren
0.8638304450965024,0.0055808920181269275,jet,8.836901354558783,2,False,2,4225,175.05322265625,helmholtz_hf,1,11317,fourier
1.0589601412279162,0.1799484044854853,jet,23.411280917237452,2,False,2,3297,252.84716796875,helmholtz_hf,1,4272,mscale
0.9999933145991938,0.24491361506890982,autograd,15.204429623350052,2,False,2,3681,330.609375,helmholtz_hf,1,6578,cauchy
0.15942915075591885,1.8954552527059823e-05,jet,12.457066587732541,3,False,3,6594,203.884765625,kdv,0,8028,complex_sinh
1.2472549760815834,0.2911438093954629,jet,12.781191144507533,3,False,3,6594,203.884765625,kdv,0,7825,complex_sinh_noinit
1.239689877609423,0.2881259992412847,jet,12.175220952602613,3,False,3,3297,203.916015625,kdv,0,8214,real_sinh
0.04145278142903928,0.0008555738116525704,jet,11.96692959035828,3,False,3,3297,205.79052734375,kdv,0,8357,tanh
0.18413240182774882,0.00010202997564396446,jet,11.967529412022444,3,False,3,3297,203.916015625,kdv,0,8357,siren
0.04490751079982729,6.500413652824619e-05,jet,11.275965316551476,3,False,3,4225,204.7724609375,kdv,0,8869,fourier
0.19120743585622252,0.0021594469180209463,jet,31.822290532279084,3,False,3,3297,299.21484375,kdv,0,3143,mscale
0.15072034742927526,0.003961788886253913,autograd,26.873735077418928,3,False,3,3681,550.7666015625,kdv,0,3722,cauchy
0.07704020328706437,6.635020403736995e-05,jet,12.560248982953878,3,False,3,6594,203.884765625,kdv,1,7962,complex_sinh
1.0776801386366017,0.34934182220516596,jet,12.703283806671548,3,False,3,6594,203.884765625,kdv,1,7873,complex_sinh_noinit
1.0636029300224499,0.3435679985961798,jet,12.057819298830324,3,False,3,3297,203.916015625,kdv,1,8294,real_sinh
0.08887285355392588,0.00662412888632159,jet,11.93433602124915,3,False,3,3297,205.79052734375,kdv,1,8380,tanh
0.18099341254305498,3.9022543543315005e-05,jet,11.805755019288195,3,False,3,3297,203.916015625,kdv,1,8471,siren
0.09366977494175757,0.00010548316064058796,jet,11.131641251397445,3,False,3,4225,204.7724609375,kdv,1,8984,fourier
0.06910538637570181,0.002640502379550801,jet,31.613333792426868,3,False,3,3297,299.21484375,kdv,1,3164,mscale
0.1148205098689478,0.00172473114348014,autograd,25.603244462633707,3,False,3,3681,550.7666015625,kdv,1,3906,cauchy
0.043160648963795324,4.2842293964058154e-05,jet,34.64841195403146,3,False,4,6594,490.447265625,biharmonic,0,2887,complex_sinh
1.0001389301822299,0.24705656888621297,jet,34.824749817397226,3,False,4,6594,490.447265625,biharmonic,0,2872,complex_sinh_noinit
1.0000623870889551,0.24707199869060698,jet,34.298674925901146,3,False,4,3297,490.478515625,biharmonic,0,2916,real_sinh
0.9751436775180881,0.2364946506717629,jet,34.13508602135112,3,False,4,3297,490.478515625,biharmonic,0,2930,tanh
0.9900201324309497,0.2149746709348587,jet,34.13298423775367,3,False,4,3297,490.478515625,biharmonic,0,2931,siren
0.11311558437991735,0.00022911409819922806,jet,33.49542746860571,3,False,4,4225,487.21044921875,biharmonic,0,2986,fourier
0.9852633952465111,0.24002591100774992,jet,91.01361441341314,3,False,4,3297,790.00634765625,biharmonic,0,1100,mscale
0.9993570909773252,0.24698257058949163,autograd,230.12817334597824,3,False,4,3681,4289.74072265625,biharmonic,0,435,cauchy
0.022089316643808282,2.0927406513031422e-05,jet,34.691610915939755,3,False,4,6594,490.447265625,biharmonic,1,2883,complex_sinh
1.0001497792303784,0.249121189018742,jet,34.82981990312011,3,False,4,6594,490.447265625,biharmonic,1,2872,complex_sinh_noinit
1.0002145103871216,0.24913683325661143,jet,34.25534581063851,3,False,4,3297,490.478515625,biharmonic,1,2920,real_sinh
0.9364332859883067,0.2219802055391443,jet,34.0734593626061,3,False,4,3297,490.478515625,biharmonic,1,2936,tanh
0.06943986822830389,0.0007294310393668509,jet,34.228051103610724,3,False,4,3297,490.478515625,biharmonic,1,2922,siren
0.43303345333146825,0.0007222028720138353,jet,33.58597788694543,3,False,4,4225,487.21044921875,biharmonic,1,2978,fourier
0.5511861483517773,0.004479735849812182,jet,91.29268380330645,3,False,4,3297,790.00634765625,biharmonic,1,1096,mscale
0.994975823230924,0.24758312384001752,autograd,227.74186251600358,3,False,4,3681,4289.74072265625,biharmonic,1,440,cauchy
0.04442542921421982,0.0005568193764799556,jet,109.75758770170312,4,False,6,6594,1492.728515625,triharmonic,0,912,complex_sinh
0.9999592678173924,0.24709219327814086,jet,109.94998071506456,4,False,6,6594,1492.728515625,triharmonic,0,910,complex_sinh_noinit
0.999669012185953,0.24709224101004584,jet,109.87758660192155,4,False,6,3297,1491.9306640625,triharmonic,0,911,real_sinh
0.99967856830789,0.247082091907009,jet,108.73726411367666,4,False,6,3297,1491.4306640625,triharmonic,0,921,tanh
0.9999988540549828,0.2672006587056513,jet,109.79223819122764,4,False,6,3297,1491.9306640625,triharmonic,0,912,siren
0.16425943342706173,0.0029844094132393368,jet,108.92759976549817,4,False,6,4225,1481.20947265625,triharmonic,0,919,fourier
1.0010080205998901,0.24684082224811804,jet,289.4051713933576,4,False,6,3297,2509.64111328125,triharmonic,0,346,mscale
0.9959779799586439,0.24718022444257146,autograd,5112.251325044781,4,False,6,3681,81059.84423828125,triharmonic,0,20,cauchy
0.10057384285850311,0.001101443989780316,jet,111.32701120450182,4,False,6,6594,1492.728515625,triharmonic,1,899,complex_sinh
0.9999623030198814,0.24914456194775378,jet,111.38000221999654,4,False,6,6594,1492.728515625,triharmonic,1,899,complex_sinh_noinit
1.0001100101848024,0.24917539204999448,jet,111.58684696358449,4,False,6,3297,1491.9306640625,triharmonic,1,897,real_sinh
0.999802042757038,0.24915920417140072,jet,109.95709846144194,4,False,6,3297,1491.4306640625,triharmonic,1,910,tanh
1.0017521803796996,0.4667251646479963,jet,111.21451003890898,4,False,6,3297,1491.9306640625,triharmonic,1,900,siren
0.44745351885700363,0.054059207242729876,jet,109.92218812459387,4,False,6,4225,1480.20947265625,triharmonic,1,911,fourier
0.9794689909792353,0.23902565937744868,jet,292.7008031905569,4,False,6,3297,2509.64111328125,triharmonic,1,342,mscale
0.9989096344567829,0.2491425733489593,autograd,5251.044201478362,4,False,6,3681,81059.84423828125,triharmonic,1,20,cauchy
