L2_err,L_int_last,R_C,ms_per_step,oscillatory,params,peak_mb,problem,seed,steps,variant,width
0.012552765663355777,0.0006124252762620236,5,7.648839532476104,False,6722,87.61669921875,gauss42,0,15689,complex,32
0.15222071993463263,0.025759303584048432,5,6.581879151431732,False,3361,87.06884765625,gauss42,0,18232,real,32
0.015230083390094445,0.001238716661212363,5,7.254224850104328,False,6481,96.2255859375,gauss42,0,16543,real_pm,45
0.018072659095144987,0.001489477936262865,5,7.601239114467418,False,6722,87.61669921875,gauss42,1,15787,complex,32
0.1615516097030751,0.040065055295271976,5,7.247867859067956,False,3361,87.06884765625,gauss42,1,16557,real,32
0.13391500053685043,0.010120216682563988,5,7.794346516527512,False,6481,96.2255859375,gauss42,1,15396,real_pm,45
0.013163751721514102,0.00010927312442921557,5,8.319112984802528,False,6722,87.61669921875,gauss42,2,14425,complex,32
0.14830351619805093,0.024966651382221053,5,6.877645880392984,False,3361,87.06884765625,gauss42,2,17448,real,32
0.01799664922722078,0.0009924388836808963,5,7.456273311774331,False,6481,96.2255859375,gauss42,2,16094,real_pm,45
0.0033947861090580698,4.976110383659228e-05,9,8.182807035040538,False,6658,105.67822265625,gauss222,0,14665,complex,32
0.010389057479095569,0.0008726761253408895,9,7.363768195246651,False,3329,105.2568359375,gauss222,0,16297,real,32
0.07666737608106627,0.016871955233936135,9,9.798007823647305,False,6436,121.31201171875,gauss222,0,12248,real_pm,45
0.008794560543784925,0.00015871331479326445,9,8.641288380702655,False,6658,105.67822265625,gauss222,1,13887,complex,32
0.09556676123451835,0.016753465831420646,9,7.642281860599948,False,3329,105.2568359375,gauss222,1,15703,real,32
0.022912977860946326,0.0006871252061821314,9,9.804214094765484,False,6436,121.31201171875,gauss222,1,12240,real_pm,45
0.006315582831335718,3.19756716675876e-05,9,8.304085324835913,False,6658,105.67822265625,gauss222,2,14451,complex,32
0.012184924724626497,0.0007925258438715589,9,7.266408169166702,False,3329,105.2568359375,gauss222,2,16515,real,32
0.012568905478576786,0.0005791509314155777,9,9.456593874281227,False,6436,121.31201171875,gauss222,2,12690,real_pm,45
