L2_err,L_int_last,backend,ms_per_step,nan,order,params,peak_mb,problem,rep,seed,steps,sweep,variant
0.007704442161082898,7.29690463201577e-05,jet,9.964995533758211,False,2,6594,175.908203125,nls_k1,complex,0,7025,1.0,complex_sinh
0.010833164951288053,0.0002372459752826005,jet,15.952734918753523,False,2,6594,256.67333984375,nls_k1,split2,0,4389,1.0,siren
0.01789077518753572,0.00017759838310209877,jet,15.260680030573422,False,2,8450,249.41845703125,nls_k1,split2,0,4588,1.0,fourier
0.23019396678634885,0.005523317380621467,jet,16.093464815325436,False,2,6594,248.67333984375,nls_k1,split2,0,4350,1.0,tanh
0.007414697751406656,9.243560339212848e-05,jet,10.282082148339452,False,2,6594,175.908203125,nls_k1,complex,1,6809,1.0,complex_sinh
0.013218755832515663,0.00019336319046946602,jet,16.04383358369922,False,2,6594,256.67333984375,nls_k1,split2,1,4364,1.0,siren
0.018478150033290803,0.00017185680111862545,jet,15.387322354529585,False,2,8450,249.41845703125,nls_k1,split2,1,4550,1.0,fourier
0.321574013461604,0.011410157161124554,jet,16.188194871465594,False,2,6594,248.67333984375,nls_k1,split2,1,4325,1.0,tanh
0.02959656203050351,0.00010612984685500107,jet,10.07525993389907,False,2,6594,175.908203125,nls_k2,complex,0,6948,2.0,complex_sinh
0.0917080261142774,0.00046047539776699844,jet,16.088438748471056,False,2,6594,256.67333984375,nls_k2,split2,0,4352,2.0,siren
0.08469754147055486,0.00038281671935760925,jet,15.335943129603207,False,2,8450,249.41845703125,nls_k2,split2,0,4565,2.0,fourier
0.36379875452563837,0.010760603580150057,jet,16.06036452429096,False,2,6594,248.67333984375,nls_k2,split2,0,4359,2.0,tanh
0.035663776216026996,0.00015697388496281587,jet,9.953802656480315,False,2,6594,175.908203125,nls_k2,complex,1,7033,2.0,complex_sinh
0.04943030107317085,0.00023475609804487745,jet,16.23294297402775,False,2,6594,256.67333984375,nls_k2,split2,1,4313,2.0,siren
0.07331142998021146,0.00030268086584560116,jet,15.56225572005792,False,2,8450,249.41845703125,nls_k2,split2,1,4499,2.0,fourier
0.4047449584095609,0.01393987901693291,jet,16.082146155157776,False,2,6594,248.67333984375,nls_k2,split2,1,4353,2.0,tanh
0.029152716974276432,9.243392603865402e-05,jet,10.320271855102392,False,2,6594,175.908203125,nls_k4,complex,0,6783,4.0,complex_sinh
0.09123281218929508,0.00038593906238702346,jet,16.287243754108385,False,2,6594,256.67333984375,nls_k4,split2,0,4299,4.0,siren
0.07859328967338435,0.00027569050488269385,jet,15.537645450358754,False,2,8450,249.41845703125,nls_k4,split2,0,4506,4.0,fourier
0.39982690810823207,0.022565892313635705,jet,16.343757694536677,False,2,6594,248.67333984375,nls_k4,split2,0,4284,4.0,tanh
0.05346156312692451,0.00022424978631054173,jet,10.281838469545402,False,2,6594,175.908203125,nls_k4,complex,1,6809,4.0,complex_sinh
0.08510714355831799,0.0003001710049483872,jet,15.971258569451008,False,2,6594,256.67333984375,nls_k4,split2,1,4384,4.0,siren
0.10030383873265449,0.00046708260424250663,jet,15.307894222586597,False,2,8450,249.41845703125,nls_k4,split2,1,4573,4.0,fourier
0.38921948426512276,0.02263267085425495,jet,16.13951111173729,False,2,6594,248.67333984375,nls_k4,split2,1,4338,4.0,tanh
