L2_err,L_int_last,R_C,ms_per_step,oscillatory,params,peak_mb,problem,seed,steps,variant,width
0.0049171197606053116,0.0002578585039113879,5,7.6504850156098705,True,6722,87.61669921875,ch42_osc,0,39214,complex,32
0.02587176657785007,0.0024782136773520563,5,6.7447861888335545,True,3361,87.06884765625,ch42_osc,0,44479,real,32
0.04178938472288001,0.0032146843966379063,5,7.722987927308855,True,6481,96.2255859375,ch42_osc,0,38846,real_pm,45
0.007485088595117276,0.00025548389114756875,5,7.922199814815222,False,6722,87.61669921875,ch42_mono,0,37869,complex,32
0.0347442882603736,0.0016278862079956908,5,6.986350512083857,False,3361,87.06884765625,ch42_mono,0,42941,real,32
0.0358851605844622,0.002646072407045404,5,7.963443648864044,False,6481,96.2255859375,ch42_mono,0,37673,real_pm,45
0.007333306779215521,0.00024395405498561003,5,8.474647525098112,False,6722,87.61669921875,gauss42,0,35400,complex,32
0.017190842750061955,0.00041785160119023866,5,7.1271512161973,False,3361,87.06884765625,gauss42,0,42093,real,32
0.01051089368501524,0.0002858234645885789,5,7.5630679165745685,False,6481,96.2255859375,gauss42,0,39667,real_pm,45
0.007477750765862112,0.00026525620064291175,9,8.293220962358493,False,6658,105.67822265625,tri222_mono,0,36175,complex,32
0.0405115443652371,0.004353714819528022,9,7.284292964206182,False,3329,105.2568359375,tri222_mono,0,41185,real,32
0.025807992993478433,0.003603424113362619,9,9.647562529273703,False,6436,121.31201171875,tri222_mono,0,31097,real_pm,45
0.003562505605873541,4.4505394032024465e-05,9,8.323335923579435,False,6658,105.67822265625,gauss222,0,36044,complex,32
0.004294536253916401,0.0001088527602631081,9,7.517505058277584,False,3329,105.2568359375,gauss222,0,39907,real,32
0.007060908799917476,0.0001118998553901487,9,9.938487561551286,False,6436,121.31201171875,gauss222,0,30186,real_pm,45
