bc_weights,vanilla_L2_err,sinh_L2_err,geometric_mean,max_error,weight_sum
"[0.1, 10.0]",0.10112497505694516,0.020528503361508955,0.045562532747741406,0.10112497505694516,10.1
"[0.01, 1.0]",0.1084451649131659,0.027488105639155033,0.05459809657111403,0.1084451649131659,1.01
"[0.1, 1.0]",0.13284701508241822,0.023721791312125453,0.056137056996460974,0.13284701508241822,1.1
"[1.0, 10.0]",0.34693316201785956,0.017309934529560346,0.07749445348321711,0.34693316201785956,11.0
"[0.01, 0.1]",0.13798018201727197,0.05540054986263979,0.08743098966558706,0.13798018201727197,0.11
"[0.1, 0.1]",0.25588727209722767,0.05509437160339633,0.11873478200385955,0.25588727209722767,0.2
"[1.0, 1.0]",0.7188757124888654,0.021498171308716292,0.1243161824412297,0.7188757124888654,2.0
"[0.01, 10.0]",0.691278037278689,0.04009450636423815,0.1664825866723858,0.691278037278689,10.01
"[0.1, 0.01]",0.3533989968996321,0.08709031010019463,0.17543553867186285,0.3533989968996321,0.11
"[0.1, 0.001]",0.3699491590425616,0.09364810683204824,0.18613177689057883,0.3699491590425616,0.101
"[0.01, 0.01]",0.3579237090420378,0.12678410470309318,0.21302355973672296,0.3579237090420378,0.02
"[0.1, 100.0]",0.46257377243420766,0.10534961395556365,0.22075318423957677,0.46257377243420766,100.1
"[10.0, 100.0]",0.9992196273082556,0.0493985164202406,0.22217103134075233,0.9992196273082556,110.0
"[10.0, 0.001]",0.9989551352870029,0.05109108291964857,0.22591524882122724,0.9989551352870029,10.001
"[10.0, 0.01]",0.9989586005175879,0.0516573479626463,0.22716415216141658,0.9989586005175879,10.01
"[10.0, 10.0]",0.9989888460456526,0.05750634544936442,0.23968353652423277,0.9989888460456526,20.0
"[10.0, 0.1]",0.9989598144409537,0.05810320634856927,0.240920667922848,0.9989598144409537,10.1
"[0.01, 0.001]",0.41379679584309187,0.15809746059968313,0.25577377235963494,0.41379679584309187,0.011
"[10.0, 1.0]",0.9989564561608807,0.06871366483071895,0.26199610514112903,0.9989564561608807,11.0
"[1.0, 0.1]",1.2902994023363354,0.06589671060583481,0.29159301485227507,1.2902994023363354,1.1
"[1.0, 100.0]",0.5741150811289235,0.15872143528261912,0.30186813295573295,0.5741150811289235,101.0
"[0.001, 0.1]",0.5946830163080674,0.19736889795954202,0.34259587207667813,0.5946830163080674,0.101
"[1.0, 0.01]",1.434657422853259,0.09444746559645104,0.3681029171137147,1.434657422853259,1.01
"[1.0, 0.001]",1.4235801666776213,0.0988183856163784,0.3750678523501813,1.4235801666776213,1.001
"[0.001, 1.0]",0.7610967964353661,0.21387932034192142,0.40346358638173263,0.7610967964353661,1.001
"[0.01, 100.0]",1.31084294576763,0.1503038013153437,0.4438746193197779,1.31084294576763,100.01
"[0.001, 0.01]",1.5881408885821622,0.14163907413377388,0.47428135642545177,1.5881408885821622,0.011
"[100.0, 1.0]",0.9999988975225558,0.28976117956758274,0.5382943991092775,0.9999988975225558,101.0
"[100.0, 0.1]",0.9999987271362436,0.29227354065524935,0.5406229449726052,0.9999987271362436,100.1
"[100.0, 0.01]",0.9999987067350238,0.2931561744498612,0.5414386348620204,0.9999987067350238,100.01
"[100.0, 0.001]",0.9999987740265956,0.2937882244636797,0.5420220145779413,0.9999987740265956,100.001
"[100.0, 10.0]",0.9999986975508354,0.2949193222314051,0.5430643959181822,0.9999986975508354,110.0
"[0.001, 0.001]",2.1131821664463493,0.14973534513888784,0.5625104985990811,2.1131821664463493,0.002
"[100.0, 100.0]",0.9999976172277589,0.4823657264598202,0.6945247130895755,0.9999976172277589,200.0
"[0.001, 10.0]",2.112069425300131,0.23521850994850255,0.7048388632353404,2.112069425300131,10.001
"[0.001, 100.0]",2.158918824250485,0.2338926924162038,0.7106020943622183,2.158918824250485,100.001
"[1.0, 1000.0]",0.9507360884933078,0.8667020940908651,0.907747188827874,0.9507360884933078,1001.0
"[10.0, 1000.0]",0.9998415139237138,0.8440863322689856,0.9186689046322061,0.9998415139237138,1010.0
"[100.0, 1000.0]",0.9999835981204437,0.8964405666381552,0.946797688700153,0.9999835981204437,1100.0
"[1000.0, 0.001]",1.0001000358999192,0.9833660134490018,0.9916977288232071,1.0001000358999192,1000.001
"[1000.0, 1.0]",1.0000999873696863,0.9834036869078121,0.9917167009059622,1.0000999873696863,1001.0
"[1000.0, 0.1]",1.0000999554491048,0.9834047084946158,0.9917172001906114,1.0000999554491048,1000.1
"[1000.0, 0.01]",1.0000999701855124,0.9834602144828059,0.9917451946860604,1.0000999701855124,1000.01
"[1000.0, 10.0]",1.0000999651149716,0.9835189589438168,0.9917748114010682,1.0000999651149716,1010.0
"[1000.0, 100.0]",1.0000995436608853,0.9846559109229107,0.992347684623185,1.0000995436608853,1100.0
"[1000.0, 1000.0]",1.0000959326439112,0.9886651839004222,0.9943641330847853,1.0000959326439112,2000.0
"[0.1, 1000.0]",1.1691571765638435,0.8629585445323971,1.0044571545950287,1.1691571765638435,1000.1
"[0.01, 1000.0]",1.3267053390248602,0.8631655098431831,1.0701244275181585,1.3267053390248602,1000.01
"[0.001, 1000.0]",1.5866305378170502,0.8646350908741889,1.1712627541458016,1.5866305378170502,1000.001
