candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_sinh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
point_046,46,0.6019045383978897,0.8689540028572083,0.6429397463798523,0.8689540028572083,0.41692548990249634,"['1e+3', '1e+1']","{'lambda_ic': 1000.0, 'lambda_bc': 10.0}",1010.0,"[1000.0, 10.0]"
point_045,45,0.5983543078882694,0.873619556427002,0.6417204141616821,0.873619556427002,0.4098212718963623,"['1e+3', '1e+0']","{'lambda_ic': 1000.0, 'lambda_bc': 1.0}",1001.0,"[1000.0, 1.0]"
point_043,43,0.6089398087581035,0.8753871917724609,0.6494899839162827,0.8753871917724609,0.42359277606010437,"['1e+3', '1e-2']","{'lambda_ic': 1000.0, 'lambda_bc': 0.01}",1000.01,"[1000.0, 0.01]"
point_042,42,0.6335639964807545,0.8766289949417114,0.6672616004943848,0.8766289949417114,0.4578942060470581,"['1e+3', '1e-3']","{'lambda_ic': 1000.0, 'lambda_bc': 0.001}",1000.001,"[1000.0, 0.001]"
point_047,47,0.4793978626457847,0.903601348400116,0.5789708644151688,0.903601348400116,0.25434038043022156,"['1e+3', '1e+2']","{'lambda_ic': 1000.0, 'lambda_bc': 100.0}",1100.0,"[1000.0, 100.0]"
point_033,33,0.32185009383027774,0.9171401262283325,0.5150431580841541,0.9171401262283325,0.11294618993997574,"['1e+1', '1e+2']","{'lambda_ic': 10.0, 'lambda_bc': 100.0}",110.0,"[10.0, 100.0]"
point_041,41,0.41427215105886245,0.9280083179473877,0.5564717650413513,0.9280083179473877,0.18493521213531494,"['1e+2', '1e+3']","{'lambda_ic': 100.0, 'lambda_bc': 1000.0}",1100.0,"[100.0, 1000.0]"
point_034,34,0.3872736911263884,0.9336588382720947,0.5471483245491982,0.9336588382720947,0.16063781082630157,"['1e+1', '1e+3']","{'lambda_ic': 10.0, 'lambda_bc': 1000.0}",1010.0,"[10.0, 1000.0]"
point_032,32,0.356925593689449,0.9373051524162292,0.5366111695766449,0.9373051524162292,0.13591718673706055,"['1e+1', '1e+1']","{'lambda_ic': 10.0, 'lambda_bc': 10.0}",20.0,"[10.0, 10.0]"
point_030,30,0.36180595293832124,0.9464845061302185,0.542394757270813,0.9464845061302185,0.13830500841140747,"['1e+1', '1e-1']","{'lambda_ic': 10.0, 'lambda_bc': 0.1}",10.1,"[10.0, 0.1]"
point_029,29,0.36519444984419913,0.9536497592926025,0.5467493906617165,0.9536497592926025,0.13984902203083038,"['1e+1', '1e-2']","{'lambda_ic': 10.0, 'lambda_bc': 0.01}",10.01,"[10.0, 0.01]"
point_028,28,0.36706090429303634,0.9585059285163879,0.5495361536741257,0.9585059285163879,0.1405663788318634,"['1e+1', '1e-3']","{'lambda_ic': 10.0, 'lambda_bc': 0.001}",10.001,"[10.0, 0.001]"
point_031,31,0.3361536521790808,0.96034175157547,0.5390037223696709,0.96034175157547,0.11766569316387177,"['1e+1', '1e+0']","{'lambda_ic': 10.0, 'lambda_bc': 1.0}",11.0,"[10.0, 1.0]"
point_044,44,0.6585133834141054,0.9656255841255188,0.7073511034250259,0.9656255841255188,0.4490766227245331,"['1e+3', '1e-1']","{'lambda_ic': 1000.0, 'lambda_bc': 0.1}",1000.1,"[1000.0, 0.1]"
point_026,26,0.3430026651910935,0.966696560382843,0.544200275093317,0.966696560382843,0.12170398980379105,"['1e+0', '1e+2']","{'lambda_ic': 1.0, 'lambda_bc': 100.0}",101.0,"[1.0, 100.0]"
point_040,40,0.3233874750230618,0.9671112298965454,0.5376235730946064,0.9671112298965454,0.10813591629266739,"['1e+2', '1e+2']","{'lambda_ic': 100.0, 'lambda_bc': 100.0}",200.0,"[100.0, 100.0]"
point_039,39,0.45146017423398166,0.9724078178405762,0.5910037085413933,0.9724078178405762,0.2095995992422104,"['1e+2', '1e+1']","{'lambda_ic': 100.0, 'lambda_bc': 10.0}",110.0,"[100.0, 10.0]"
