task_id,candidate_id,candidate_index,weight_labels,weights,weight_map,war_status,war_loss,war_rel_error,war_steps,war_history_points,realad_status,realad_loss,realad_rel_error,realad_steps,realad_history_points,paired_complete,geometric_mean_rel_error,max_rel_error,mean_rel_error
cahn_hilliard_o4,point_000,0,"[""1e-3"", ""1e-3""]","[0.001,0.001]","{""lambda_ic"":0.001,""mu_mean"":0.001}",complete,0.025954221682888766,0.053364552384366375,437,13,complete,0.034360294723886735,1.8626750795935443,730,13,True,0.3152789587968463,1.8626750795935443,0.9580198159889554
cahn_hilliard_o4,point_001,1,"[""1e-3"", ""1e-2""]","[0.001,0.01]","{""lambda_ic"":0.001,""mu_mean"":0.01}",complete,0.022751862791272552,0.049571531836096805,437,13,complete,0.042537966060152796,1.8638320578984524,727,13,True,0.3039621854692635,1.8638320578984524,0.9567017948672746
cahn_hilliard_o4,point_002,2,"[""1e-3"", ""1e-1""]","[0.001,0.1]","{""lambda_ic"":0.001,""mu_mean"":0.1}",complete,0.026481572666570304,0.054433383320762176,436,13,complete,0.08528234868645101,1.8649424153702239,729,13,True,0.31861438349044363,1.8649424153702239,0.959687899345493
cahn_hilliard_o4,point_003,3,"[""1e-3"", ""1e+0""]","[0.001,1.0]","{""lambda_ic"":0.001,""mu_mean"":1.0}",complete,0.0256414798090603,0.052858163776763355,438,13,complete,0.016559132976512625,0.0338783304384133,727,13,True,0.042317210905221024,0.052858163776763355,0.043368247107588326
cahn_hilliard_o4,point_004,4,"[""1e-3"", ""1e+1""]","[0.001,10.0]","{""lambda_ic"":0.001,""mu_mean"":10.0}",complete,0.023001358783270136,0.04612257246374335,437,13,complete,0.013417155041866038,0.028845950447293538,734,13,True,0.03647532645214908,0.04612257246374335,0.03748426145551845
cahn_hilliard_o4,point_005,5,"[""1e-3"", ""1e+2""]","[0.001,100.0]","{""lambda_ic"":0.001,""mu_mean"":100.0}",complete,0.015147857331033314,0.029764374073863908,436,13,complete,0.012572783119934835,0.026400564086043236,734,13,True,0.028032057812761586,0.029764374073863908,0.02808246907995357
cahn_hilliard_o4,point_006,6,"[""1e-3"", ""1e+3""]","[0.001,1000.0]","{""lambda_ic"":0.001,""mu_mean"":1000.0}",complete,1.5753698600577475,0.22247675037776724,437,13,complete,0.09097425993632169,0.0883880838454754,732,13,True,0.14022943223895257,0.22247675037776724,0.1554324171116213
cahn_hilliard_o4,point_007,7,"[""1e-2"", ""1e-3""]","[0.01,0.001]","{""lambda_ic"":0.01,""mu_mean"":0.001}",complete,0.024439501056959207,0.05160622361981987,437,13,complete,0.046654187384111326,1.8624563900115803,724,13,True,0.31002312969373763,1.8624563900115803,0.9570313068157
cahn_hilliard_o4,point_008,8,"[""1e-2"", ""1e-2""]","[0.01,0.01]","{""lambda_ic"":0.01,""mu_mean"":0.01}",complete,0.023080533565851744,0.049859344296381676,436,13,complete,0.053421704969509105,1.8638999202701825,725,13,True,0.3048488606814029,1.8638999202701825,0.9568796322832821
cahn_hilliard_o4,point_009,9,"[""1e-2"", ""1e-1""]","[0.01,0.1]","{""lambda_ic"":0.01,""mu_mean"":0.1}",complete,0.028650817021628996,0.05704140109091758,437,13,complete,0.09355863802007122,1.8604323470887074,727,13,True,0.3257632080404479,1.8604323470887074,0.9587368740898125
cahn_hilliard_o4,point_010,10,"[""1e-2"", ""1e+0""]","[0.01,1.0]","{""lambda_ic"":0.01,""mu_mean"":1.0}",complete,0.02532539257852119,0.05251925175942658,437,13,complete,0.013551687986367461,0.029900316468440002,727,13,True,0.03962754406082377,0.05251925175942658,0.04120978411393329
cahn_hilliard_o4,point_011,11,"[""1e-2"", ""1e+1""]","[0.01,10.0]","{""lambda_ic"":0.01,""mu_mean"":10.0}",complete,0.02290933702751873,0.04599700723855749,436,13,complete,0.013419847822060443,0.028948662231573618,732,13,True,0.036490434722160375,0.04599700723855749,0.037472834735065554
cahn_hilliard_o4,point_012,12,"[""1e-2"", ""1e+2""]","[0.01,100.0]","{""lambda_ic"":0.01,""mu_mean"":100.0}",complete,0.016925240271169994,0.030531919806056438,436,13,complete,0.0077284650430906494,0.014947256226500777,729,13,True,0.021362781383239857,0.030531919806056438,0.02273958801627861
cahn_hilliard_o4,point_013,13,"[""1e-2"", ""1e+3""]","[0.01,1000.0]","{""lambda_ic"":0.01,""mu_mean"":1000.0}",complete,1.5814739767040271,0.22283697657368287,437,13,complete,0.08923941081553022,0.0873020241387923,735,13,True,0.13947802374514473,0.22283697657368287,0.1550695003562376
cahn_hilliard_o4,point_014,14,"[""1e-1"", ""1e-3""]","[0.1,0.001]","{""lambda_ic"":0.1,""mu_mean"":0.001}",complete,0.024826465752812082,0.05218110020055253,436,13,complete,0.16369319712367922,1.8535837443509415,725,13,True,0.31100167056479266,1.8535837443509415,0.952882422275747
cahn_hilliard_o4,point_015,15,"[""1e-1"", ""1e-2""]","[0.1,0.01]","{""lambda_ic"":0.1,""mu_mean"":0.01}",complete,0.025075880883525106,0.052477286140041164,437,13,complete,0.18140077048468098,1.8534698614485656,733,13,True,0.31187348119258046,1.8534698614485656,0.9529735737943034
cahn_hilliard_o4,point_016,16,"[""1e-1"", ""1e-1""]","[0.1,0.1]","{""lambda_ic"":0.1,""mu_mean"":0.1}",complete,0.02330184097139262,0.049010450249751945,437,13,complete,0.19748834914382687,1.8471116864023687,724,13,True,0.30087833988534085,1.8471116864023687,0.9480610683260603
cahn_hilliard_o4,point_017,17,"[""1e-1"", ""1e+0""]","[0.1,1.0]","{""lambda_ic"":0.1,""mu_mean"":1.0}",complete,0.023605880127785757,0.050496411349690656,436,13,complete,0.00960774106781709,0.02180935662831359,731,13,True,0.03318575362373778,0.050496411349690656,0.03615288398900213
cahn_hilliard_o4,point_018,18,"[""1e-1"", ""1e+1""]","[0.1,10.0]","{""lambda_ic"":0.1,""mu_mean"":10.0}",complete,0.02401702451703164,0.04698591643263851,437,13,complete,0.013675141739237522,0.029836749062684798,727,13,True,0.037442048529439644,0.04698591643263851,0.038411332747661654
