budget_seconds,candidate_id,candidate_index,completed_at,final_metrics_source,history_final_loss,history_final_rel_error,history_points,json_path,json_protocol_id,log_final_has_loss,log_final_has_rel_error,log_final_status,log_path,loss,method,method_name,rel_error,status,steps,task_id,weight_labels,weight_map,weights
60.0,point_000,0,2026-08-06T20:29:43.353554+00:00,text_log_final_line,0.00015566949222423036,0.5312840485980304,13,results/poly_d2_o4/points/point_000/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_000/real_tanh_autodiff.log,0.00015532103707963348,realad,real_tanh_autodiff,0.5276219271951392,complete,394,poly_d2_o4,"['1e-3', '1e-3']","{'w_Delta_u': 0.001, 'w_u': 0.001}","[0.001, 0.001]"
60.0,point_001,1,2026-08-06T20:30:46.075261+00:00,text_log_final_line,5.142200563723541e-05,0.0870577538614397,13,results/poly_d2_o4/points/point_001/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_001/war.log,5.1348723431582295e-05,war,war,0.08822336071821855,complete,240,poly_d2_o4,"['1e-3', '1e-2']","{'w_Delta_u': 0.01, 'w_u': 0.001}","[0.001, 0.01]"
60.0,point_001,1,2026-08-06T20:31:48.792996+00:00,text_log_final_line,0.00029786703398687977,0.31106824913067155,13,results/poly_d2_o4/points/point_001/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_001/real_tanh_autodiff.log,0.0002976545284425802,realad,real_tanh_autodiff,0.3122263805681201,complete,393,poly_d2_o4,"['1e-3', '1e-2']","{'w_Delta_u': 0.01, 'w_u': 0.001}","[0.001, 0.01]"
60.0,point_002,2,2026-08-06T20:32:51.723690+00:00,text_log_final_line,2.472064771728141e-05,0.05946378141181183,13,results/poly_d2_o4/points/point_002/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_002/war.log,2.4684165924614173e-05,war,war,0.05968777016146912,complete,240,poly_d2_o4,"['1e-3', '1e-1']","{'w_Delta_u': 0.1, 'w_u': 0.001}","[0.001, 0.1]"
60.0,point_002,2,2026-08-06T20:33:54.555510+00:00,text_log_final_line,0.0002892208835528975,0.3897360746303559,13,results/poly_d2_o4/points/point_002/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_002/real_tanh_autodiff.log,0.00028890378848665853,realad,real_tanh_autodiff,0.3904437262995234,complete,393,poly_d2_o4,"['1e-3', '1e-1']","{'w_Delta_u': 0.1, 'w_u': 0.001}","[0.001, 0.1]"
60.0,point_003,3,2026-08-06T20:34:57.326036+00:00,text_log_final_line,2.7316177960786333e-05,0.07044653665125068,13,results/poly_d2_o4/points/point_003/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_003/war.log,2.72835629565599e-05,war,war,0.07063084069609217,complete,240,poly_d2_o4,"['1e-3', '1e+0']","{'w_Delta_u': 1.0, 'w_u': 0.001}","[0.001, 1.0]"
60.0,point_003,3,2026-08-06T20:36:00.004367+00:00,text_log_final_line,0.0002767969484618458,0.43808542939723266,13,results/poly_d2_o4/points/point_003/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_003/real_tanh_autodiff.log,0.0002764460565516176,realad,real_tanh_autodiff,0.437221553441734,complete,393,poly_d2_o4,"['1e-3', '1e+0']","{'w_Delta_u': 1.0, 'w_u': 0.001}","[0.001, 1.0]"
60.0,point_004,4,2026-08-06T20:37:03.436449+00:00,text_log_final_line,5.033990097817698e-05,0.102331849812169,13,results/poly_d2_o4/points/point_004/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_004/war.log,5.027030386460563e-05,war,war,0.10293741739366255,complete,240,poly_d2_o4,"['1e-3', '1e+1']","{'w_Delta_u': 10.0, 'w_u': 0.001}","[0.001, 10.0]"
60.0,point_004,4,2026-08-06T20:38:09.138468+00:00,text_log_final_line,0.0027853047892653204,1.6159634055360919,13,results/poly_d2_o4/points/point_004/real_tanh_autodiff.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_004/real_tanh_autodiff.log,0.0027853047892653204,realad,real_tanh_autodiff,1.6159634055360919,complete,393,poly_d2_o4,"['1e-3', '1e+1']","{'w_Delta_u': 10.0, 'w_u': 0.001}","[0.001, 10.0]"
60.0,point_005,5,2026-08-06T20:39:11.913365+00:00,text_log_final_line,0.0003045352254449832,0.2131744238607743,13,results/poly_d2_o4/points/point_005/war.json,war_realad_weight_grid_v1,True,True,ok,results/poly_d2_o4/points/point_005/war.log,0.0003040173031767717,war,war,0.21366782560251704,complete,240,poly_d2_o4,"['1e-3', '1e+2']","{'w_Delta_u': 100.0, 'w_u': 0.001}","[0.001, 100.0]"
