evaluation_seconds,final_metrics_source,history_final_has_loss,history_final_has_rel_error,history_points,loss,method,raw_json,raw_log,raw_log_final_line_has_metrics,rel_error,seed,status,steps,task_id,training_seconds,weights
0.9540460836142302,atomic_json,True,True,241,2.7908583376324998e-05,war,poly_d2_o6/seed_000/war.json,poly_d2_o6/seed_000/war.log,True,0.018018792753638616,0,complete,1414,poly_d2_o6,1200.2219353951514,"[10.0, 1.0, 1.0]"
0.30186009779572487,atomic_json,True,True,241,0.16225356503549432,real_tanh_autodiff,poly_d2_o6/seed_000/real_tanh_autodiff.json,poly_d2_o6/seed_000/real_tanh_autodiff.log,True,0.6623492431133027,0,complete,1263,poly_d2_o6,1200.1317148786038,"[10.0, 1.0, 1.0]"
0.9564226325601339,atomic_json,True,True,241,3.322473274611912e-05,war,poly_d2_o6/seed_001/war.json,poly_d2_o6/seed_001/war.log,True,0.10523199167938062,1,complete,1414,poly_d2_o6,1200.4352769162506,"[10.0, 1.0, 1.0]"
0.3021839093416929,atomic_json,True,True,241,0.13503122470432782,real_tanh_autodiff,poly_d2_o6/seed_001/real_tanh_autodiff.json,poly_d2_o6/seed_001/real_tanh_autodiff.log,True,0.6522028145755114,1,complete,1252,poly_d2_o6,1200.054939540103,"[10.0, 1.0, 1.0]"
0.9583666678518057,atomic_json,True,True,241,3.407325551592898e-05,war,poly_d2_o6/seed_002/war.json,poly_d2_o6/seed_002/war.log,True,0.12457793548348098,2,complete,1413,poly_d2_o6,1200.4299000110477,"[10.0, 1.0, 1.0]"
0.29811494424939156,atomic_json,True,True,241,0.16485743527301447,real_tanh_autodiff,poly_d2_o6/seed_002/real_tanh_autodiff.json,poly_d2_o6/seed_002/real_tanh_autodiff.log,True,1.07494437843342,2,complete,1254,poly_d2_o6,1200.5998685099185,"[10.0, 1.0, 1.0]"
0.9551954958587885,atomic_json,True,True,241,4.369734880164683e-05,war,poly_d2_o6/seed_003/war.json,poly_d2_o6/seed_003/war.log,True,0.11443547924278015,3,complete,1413,poly_d2_o6,1200.2348656672984,"[10.0, 1.0, 1.0]"
0.30688166059553623,atomic_json,True,True,241,0.1339598389029355,real_tanh_autodiff,poly_d2_o6/seed_003/real_tanh_autodiff.json,poly_d2_o6/seed_003/real_tanh_autodiff.log,True,1.3672443952414661,3,complete,1253,poly_d2_o6,1200.1036817710847,"[10.0, 1.0, 1.0]"
0.9552993085235357,atomic_json,True,True,241,2.901241785544236e-05,war,poly_d2_o6/seed_004/war.json,poly_d2_o6/seed_004/war.log,True,0.0519693568333305,4,complete,1414,poly_d2_o6,1200.2067921441048,"[10.0, 1.0, 1.0]"
0.3009380307048559,atomic_json,True,True,241,0.1443894977057169,real_tanh_autodiff,poly_d2_o6/seed_004/real_tanh_autodiff.json,poly_d2_o6/seed_004/real_tanh_autodiff.log,True,1.236607267837701,4,complete,1264,poly_d2_o6,1200.67039931193,"[10.0, 1.0, 1.0]"
0.9764931406825781,atomic_json,True,True,241,2.101335541459763e-05,war,cahn_hilliard_o4/seed_000/war.json,cahn_hilliard_o4/seed_000/war.log,True,0.0006794860420280515,0,complete,8752,cahn_hilliard_o4,1200.1369186956435,"[10.0, 10.0]"
0.34049439430236816,atomic_json,True,True,241,0.0006581958177338053,real_tanh_autodiff,cahn_hilliard_o4/seed_000/real_tanh_autodiff.json,cahn_hilliard_o4/seed_000/real_tanh_autodiff.log,True,0.005688888471642778,0,complete,14577,cahn_hilliard_o4,1200.0683865249157,"[10.0, 10.0]"
0.9808844644576311,atomic_json,True,True,241,0.0025839976269469954,war,cahn_hilliard_o4/seed_001/war.json,cahn_hilliard_o4/seed_001/war.log,True,0.01024083548589561,1,complete,8736,cahn_hilliard_o4,1200.1294279750437,"[10.0, 10.0]"
0.33943943306803703,atomic_json,True,True,241,4.4397489902093206e-05,real_tanh_autodiff,cahn_hilliard_o4/seed_001/real_tanh_autodiff.json,cahn_hilliard_o4/seed_001/real_tanh_autodiff.log,True,0.000989877327573793,1,complete,14596,cahn_hilliard_o4,1200.081495322287,"[10.0, 10.0]"
0.9785350374877453,atomic_json,True,True,241,0.006446673550946136,war,cahn_hilliard_o4/seed_002/war.json,cahn_hilliard_o4/seed_002/war.log,True,0.017302874901991158,2,complete,8739,cahn_hilliard_o4,1200.1106684468687,"[10.0, 10.0]"
0.33460599184036255,atomic_json,True,True,241,0.0005845693485687896,real_tanh_autodiff,cahn_hilliard_o4/seed_002/real_tanh_autodiff.json,cahn_hilliard_o4/seed_002/real_tanh_autodiff.log,True,0.005429439118092152,2,complete,14613,cahn_hilliard_o4,1200.0821952242404,"[10.0, 10.0]"
0.9825949985533953,atomic_json,True,True,241,4.088211158866161e-05,war,cahn_hilliard_o4/seed_003/war.json,cahn_hilliard_o4/seed_003/war.log,True,0.0008696381065760575,3,complete,8737,cahn_hilliard_o4,1200.1054763067514,"[10.0, 10.0]"
0.33984214439988136,atomic_json,True,True,241,0.00014814250448443345,real_tanh_autodiff,cahn_hilliard_o4/seed_003/real_tanh_autodiff.json,cahn_hilliard_o4/seed_003/real_tanh_autodiff.log,True,0.0014631682343493007,3,complete,14579,cahn_hilliard_o4,1200.0354766584933,"[10.0, 10.0]"
0.9778809137642384,atomic_json,True,True,241,0.0006400922957653113,war,cahn_hilliard_o4/seed_004/war.json,cahn_hilliard_o4/seed_004/war.log,True,0.004976537131841398,4,complete,8754,cahn_hilliard_o4,1200.0874725263566,"[10.0, 10.0]"
0.3385983556509018,atomic_json,True,True,241,5.097898925145383e-05,real_tanh_autodiff,cahn_hilliard_o4/seed_004/real_tanh_autodiff.json,cahn_hilliard_o4/seed_004/real_tanh_autodiff.log,True,0.0012740551555362252,4,complete,14590,cahn_hilliard_o4,1200.0602771155536,"[10.0, 10.0]"
0.9829693008214235,atomic_json,True,True,241,3.701223772167479e-05,war,cahn_hilliard_o6/seed_000/war.json,cahn_hilliard_o6/seed_000/war.log,True,0.004586028019021645,0,complete,7539,cahn_hilliard_o6,1200.0057728886604,"[10.0, 10.0]"
0.3429399114102125,atomic_json,True,True,241,0.0007919278934329946,real_tanh_autodiff,cahn_hilliard_o6/seed_000/real_tanh_autodiff.json,cahn_hilliard_o6/seed_000/real_tanh_autodiff.log,True,0.01376919653300535,0,complete,4196,cahn_hilliard_o6,1200.0625056363642,"[10.0, 10.0]"
0.9886610638350248,atomic_json,True,True,241,4.547161675095161e-05,war,cahn_hilliard_o6/seed_001/war.json,cahn_hilliard_o6/seed_001/war.log,True,0.003568302255676212,1,complete,7526,cahn_hilliard_o6,1200.0965161379427,"[10.0, 10.0]"
0.34273658879101276,atomic_json,True,True,241,0.0009525931204196286,real_tanh_autodiff,cahn_hilliard_o6/seed_001/real_tanh_autodiff.json,cahn_hilliard_o6/seed_001/real_tanh_autodiff.log,True,0.02175582793874112,1,complete,4154,cahn_hilliard_o6,1200.193049326539,"[10.0, 10.0]"
0.9837280735373497,atomic_json,True,True,241,4.7361062811162355e-05,war,cahn_hilliard_o6/seed_002/war.json,cahn_hilliard_o6/seed_002/war.log,True,0.0029342495063066844,2,complete,7537,cahn_hilliard_o6,1200.046518817544,"[10.0, 10.0]"
0.3415557499974966,atomic_json,True,True,241,0.0009428748124157795,real_tanh_autodiff,cahn_hilliard_o6/seed_002/real_tanh_autodiff.json,cahn_hilliard_o6/seed_002/real_tanh_autodiff.log,True,0.0188286086862436,2,complete,4151,cahn_hilliard_o6,1200.0310360137373,"[10.0, 10.0]"
0.983192590996623,atomic_json,True,True,241,3.0065207512691876e-05,war,cahn_hilliard_o6/seed_003/war.json,cahn_hilliard_o6/seed_003/war.log,True,0.0019817357046564865,3,complete,7540,cahn_hilliard_o6,1200.0289967879653,"[10.0, 10.0]"
0.33604586124420166,atomic_json,True,True,241,0.0009851234517620309,real_tanh_autodiff,cahn_hilliard_o6/seed_003/real_tanh_autodiff.json,cahn_hilliard_o6/seed_003/real_tanh_autodiff.log,True,0.011781543918504785,3,complete,4197,cahn_hilliard_o6,1200.1517178807408,"[10.0, 10.0]"
0.9834331460297108,atomic_json,True,True,241,5.514273926109293e-05,war,cahn_hilliard_o6/seed_004/war.json,cahn_hilliard_o6/seed_004/war.log,True,0.0018825213939984797,4,complete,7543,cahn_hilliard_o6,1200.0311285089701,"[10.0, 10.0]"
0.3434817288070917,atomic_json,True,True,241,0.0006684771184364657,real_tanh_autodiff,cahn_hilliard_o6/seed_004/real_tanh_autodiff.json,cahn_hilliard_o6/seed_004/real_tanh_autodiff.log,True,0.013143350760356247,4,complete,4157,cahn_hilliard_o6,1200.0957197267562,"[10.0, 10.0]"
