candidate_id,candidate_index,geometric_mean,max_error,mean_error,real_sinh_autodiff_rel_error,war_rel_error,weight_labels,weight_map,weight_sum,weights
point_003,3,0.49809115056224573,2.4436023235321045,1.2725653126835823,2.4436023235321045,0.10152830183506012,"['1e-3', '1e+0']","{'lambda_ic': 0.001, 'lambda_bc': 1.0}",1.001,"[0.001, 1.0]"
point_015,15,0.494956357272856,2.37154483795166,1.2374226748943329,2.37154483795166,0.10330051183700562,"['1e-1', '1e-2']","{'lambda_ic': 0.1, 'lambda_bc': 0.01}",0.11,"[0.1, 0.01]"
point_035,35,0.21281664423555696,0.4298584759235382,0.26761044189333916,0.4298584759235382,0.1053624078631401,"['1e+2', '1e-3']","{'lambda_ic': 100.0, 'lambda_bc': 0.001}",100.001,"[100.0, 0.001]"
point_037,37,0.21142191166247556,0.4209418296813965,0.26356521621346474,0.4209418296813965,0.10618860274553299,"['1e+2', '1e-1']","{'lambda_ic': 100.0, 'lambda_bc': 0.1}",100.1,"[100.0, 0.1]"
point_007,7,0.30948375791601707,0.8465417623519897,0.47984233498573303,0.8465417623519897,0.11314290761947632,"['1e-2', '1e-3']","{'lambda_ic': 0.01, 'lambda_bc': 0.001}",0.011,"[0.01, 0.001]"
point_009,9,0.2911598065968648,0.7454690337181091,0.4295940436422825,0.7454690337181091,0.11371905356645584,"['1e-2', '1e-1']","{'lambda_ic': 0.01, 'lambda_bc': 0.1}",0.11,"[0.01, 0.1]"
point_002,2,0.528712952731489,2.452176570892334,1.2830860950052738,2.452176570892334,0.11399561911821365,"['1e-3', '1e-1']","{'lambda_ic': 0.001, 'lambda_bc': 0.1}",0.101,"[0.001, 0.1]"
point_008,8,0.30738603365833744,0.8118831515312195,0.46413109079003334,0.8118831515312195,0.1163790300488472,"['1e-2', '1e-2']","{'lambda_ic': 0.01, 'lambda_bc': 0.01}",0.02,"[0.01, 0.01]"
point_000,0,0.583120355923209,2.7968666553497314,1.4592208787798882,2.7968666553497314,0.12157510221004486,"['1e-3', '1e-3']","{'lambda_ic': 0.001, 'lambda_bc': 0.001}",0.002,"[0.001, 0.001]"
point_001,1,0.5847031053300713,2.7992618083953857,1.4606965966522694,2.7992618083953857,0.12213138490915298,"['1e-3', '1e-2']","{'lambda_ic': 0.001, 'lambda_bc': 0.01}",0.011,"[0.001, 0.01]"
point_040,40,0.3044800173489824,0.697726845741272,0.4152992218732834,0.697726845741272,0.1328715980052948,"['1e+2', '1e+2']","{'lambda_ic': 100.0, 'lambda_bc': 100.0}",200.0,"[100.0, 100.0]"
point_039,39,0.26414836016275217,0.5177932381629944,0.32627327740192413,0.5177932381629944,0.13475331664085388,"['1e+2', '1e+1']","{'lambda_ic': 100.0, 'lambda_bc': 10.0}",110.0,"[100.0, 10.0]"
point_046,46,0.3581874588734341,0.7436549663543701,0.4580894336104393,0.7436549663543701,0.17252390086650848,"['1e+3', '1e+1']","{'lambda_ic': 1000.0, 'lambda_bc': 10.0}",1010.0,"[1000.0, 10.0]"
point_042,42,0.39061556184575946,0.7234690189361572,0.4671851322054863,0.7234690189361572,0.21090124547481537,"['1e+3', '1e-3']","{'lambda_ic': 1000.0, 'lambda_bc': 0.001}",1000.001,"[1000.0, 0.001]"
