candidate_id,candidate_index,real_sinh_autodiff_loss,real_sinh_autodiff_mass_drift_rms,real_sinh_autodiff_rel_error,real_sinh_autodiff_status,real_sinh_autodiff_steps,war_loss,war_mass_drift_rms,war_rel_error,war_status,war_steps,weight_labels,weight_map,weights
point_000,0,0.11046063154935837,0.41280391812324524,2.7968666553497314,complete,955,0.0003251142625231296,0.011346598155796528,0.12157510221004486,complete,1596,"[""1e-3"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.001}","[0.001, 0.001]"
point_001,1,0.10679323226213455,0.41269776225090027,2.7992618083953857,complete,969,0.00036109209759160876,0.011928881518542767,0.12213138490915298,complete,1618,"[""1e-3"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.001}","[0.001, 0.01]"
point_002,2,0.12275248765945435,0.20220956206321716,2.452176570892334,complete,958,0.0003766933805309236,0.007347930688410997,0.11399561911821365,complete,1641,"[""1e-3"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.001}","[0.001, 0.1]"
point_003,3,0.15384197235107422,0.19557632505893707,2.4436023235321045,complete,989,0.00044601643458008766,0.003574238857254386,0.10152830183506012,complete,1655,"[""1e-3"", ""1e+0""]","{""lambda_bc"": 1.0, ""lambda_ic"": 0.001}","[0.001, 1.0]"
point_004,4,0.07024453580379486,0.04991894215345383,0.37189599871635437,complete,966,0.0004022590583190322,0.0019084231462329626,0.07182387262582779,complete,1573,"[""1e-3"", ""1e+1""]","{""lambda_bc"": 10.0, ""lambda_ic"": 0.001}","[0.001, 10.0]"
point_005,5,0.10862879455089569,0.013823200017213821,0.45305460691452026,complete,919,0.07925325632095337,0.5640395879745483,3.135892868041992,complete,1574,"[""1e-3"", ""1e+2""]","{""lambda_bc"": 100.0, ""lambda_ic"": 0.001}","[0.001, 100.0]"
point_006,6,0.5826625227928162,0.0443032942712307,0.9954767227172852,complete,944,0.012037661857903004,0.19715721905231476,1.2551499605178833,complete,1578,"[""1e-3"", ""1e+3""]","{""lambda_bc"": 1000.0, ""lambda_ic"": 0.001}","[0.001, 1000.0]"
point_007,7,0.07591128349304199,0.1046644076704979,0.8465417623519897,complete,971,0.0003227250126656145,0.008922377601265907,0.11314290761947632,complete,1575,"[""1e-2"", ""1e-3""]","{""lambda_bc"": 0.001, ""lambda_ic"": 0.01}","[0.01, 0.001]"
point_008,8,0.07880035787820816,0.08914380520582199,0.8118831515312195,complete,927,0.0004450920387171209,0.00766985397785902,0.1163790300488472,complete,1604,"[""1e-2"", ""1e-2""]","{""lambda_bc"": 0.01, ""lambda_ic"": 0.01}","[0.01, 0.01]"
point_009,9,0.06697739660739899,0.06225977838039398,0.7454690337181091,complete,971,0.00037945754593238235,0.007790231611579657,0.11371905356645584,complete,1637,"[""1e-2"", ""1e-1""]","{""lambda_bc"": 0.1, ""lambda_ic"": 0.01}","[0.01, 0.1]"
