divergence_rms,energy_relative_rmse,loss,method,ms_per_step,peak_mb,pressure_mean_max_abs,pressure_rel_error,seed,steps,u_rel_error,v_rel_error,velocity_rel_error
0.003719845088198781,0.006966482847929001,0.0022016260772943497,war,54.84341059521431,866.04833984375,0.006775091867893934,0.044757574796676636,0,21881,0.006685247179120779,0.005827663000673056,0.00626645190641284
0.01826343685388565,0.009114126674830914,0.0071381679736077785,real_tanh_autodiff,225.8998817073049,2521.88232421875,0.009007944725453854,0.14091654121875763,0,5313,0.025719759985804558,0.019025614485144615,0.022585449740290642
0.002707191277295351,0.006859832908958197,0.0008659578743390739,war,55.04304669076694,866.04833984375,0.005786351393908262,0.03997693210840225,1,21802,0.0052361697889864445,0.004716894123703241,0.0049804640002548695
0.019685206934809685,0.021115614101290703,0.010612178593873978,real_tanh_autodiff,213.0468531820732,2521.88232421875,0.0059350538067519665,0.1867951601743698,1,5633,0.02909695915877819,0.02439321018755436,0.026822663843631744
0.003955200780183077,0.006920532323420048,0.0008825236582197249,war,56.253240040948256,866.04833984375,0.006044754758477211,0.043436914682388306,2,21333,0.005089242476969957,0.0056536211632192135,0.005381918977946043
0.023902637884020805,0.038182735443115234,0.011369711719453335,real_tanh_autodiff,242.88707046658917,2521.88232421875,0.01049681194126606,0.24706459045410156,2,4941,0.04531561955809593,0.03481300175189972,0.04035002365708351
0.003947685472667217,0.008375286124646664,0.0015104571357369423,war,56.438299695833415,866.04833984375,0.0033779277000576258,0.0428156740963459,3,21263,0.006394555792212486,0.006322331260889769,0.0063581508584320545
0.022180752828717232,0.018112054094672203,0.0072684683836996555,real_tanh_autodiff,221.97957345034033,2521.88232421875,0.0028927053790539503,0.17443275451660156,3,5406,0.026765765622258186,0.028579778969287872,0.02769753895699978
0.0032045042607933283,0.007424470968544483,0.0018244419479742646,war,56.37426970191183,866.04833984375,0.013201836496591568,0.04851171374320984,4,21287,0.005628514569252729,0.005304341204464436,0.0054670581594109535
0.019632892683148384,0.03140735626220703,0.008296562358736992,real_tanh_autodiff,224.32343550931628,2521.88232421875,0.004117883741855621,0.19487281143665314,4,5350,0.02924814261496067,0.02798520028591156,0.028616731986403465
