elapsed_seconds,loss,method,pressure_rel_error,seed,step,velocity_rel_error
0.0,25.757219314575195,war,1.0188721418380737,0,0,1.0212680101394653
10.002652,15.3001070022583,war,1.0034269094467163,0,186,0.7241702675819397
20.019341,0.4843677878379822,war,1.0553842782974243,0,374,0.12355782091617584
30.048677,0.32656165957450867,war,1.0083808898925781,0,562,0.11486361920833588
40.01087,0.2348375767469406,war,0.991230845451355,0,750,0.08975905179977417
50.008545,0.2630482316017151,war,0.9856952428817749,0,939,0.07770010828971863
60.003991,0.19846861064434052,war,1.0014396905899048,0,1127,0.07124096900224686
70.028329,0.1310182362794876,war,1.0085248947143555,0,1315,0.06276524811983109
80.008069,0.1675754338502884,war,0.9973366260528564,0,1495,0.10183876007795334
90.015935,0.06872285157442093,war,0.9741847515106201,0,1677,0.11960631608963013
100.03584,0.1340930014848709,war,0.9765893220901489,0,1858,0.11469481885433197
110.025023,0.12432284653186798,war,0.956619143486023,0,2040,0.1217016726732254
120.001548,0.06238320469856262,war,0.9461671113967896,0,2220,0.11887328326702118
130.010039,0.06372770667076111,war,0.9096822142601013,0,2400,0.12224617600440979
140.009624,0.16900038719177246,war,0.8880061507225037,0,2581,0.12986519932746887
150.024974,0.05236038938164711,war,0.8491422533988953,0,2767,0.11504101753234863
160.018348,0.049609795212745667,war,0.7783745527267456,0,2951,0.10805367678403854
170.033397,0.048618756234645844,war,0.721804141998291,0,3131,0.10178304463624954
180.023152,0.059281125664711,war,0.6607313752174377,0,3310,0.10521432012319565
190.033187,0.07569155097007751,war,0.6142449975013733,0,3494,0.09135457873344421
200.045703,0.03589154779911041,war,0.5786686539649963,0,3682,0.08020773530006409
210.010732,0.049319006502628326,war,0.5598506331443787,0,3868,0.08201494067907333
220.003852,0.030301125720143318,war,0.4605533480644226,0,4055,0.06584757566452026
230.042735,0.03384160250425339,war,0.3952323794364929,0,4237,0.05416136980056763
240.029184,0.02281203493475914,war,0.31013259291648865,0,4422,0.04402783513069153
250.006687,0.013685895130038261,war,0.23139916360378265,0,4607,0.030898453667759895
260.024461,0.012363792397081852,war,0.17932471632957458,0,4790,0.024994520470499992
270.020872,0.029291316866874695,war,0.152361199259758,0,4971,0.03919563069939613
