ad_over_war,real_tanh_autodiff_rel_error,seed,task_id,war_rel_error,winner
10.094744830616653,0.0014956740196794271,0,poly_d2_o2,0.00014816362818237394,war
1.9945476909583186,0.0005702360649593174,1,poly_d2_o2,0.00028589743305929005,war
1.021954688501451,0.0001652045757509768,2,poly_d2_o2,0.00016165548004209995,war
17.294242652981072,0.00048130747745744884,3,poly_d2_o2,2.7830503313452937e-05,war
1.6424692609957674,0.00021768837177660316,4,poly_d2_o2,0.0001325372577412054,war
3.377505069332054,0.003488984191790223,0,poly_d2_o4,0.0010330063523724675,war
0.4018109189482043,0.0020134360529482365,1,poly_d2_o4,0.005010904278606176,real_tanh_autodiff
0.11495937022076967,0.0005610297666862607,2,poly_d2_o4,0.0048802439123392105,real_tanh_autodiff
2.0371178266632226,0.003310504835098982,3,poly_d2_o4,0.0016250924672931433,war
0.43021993553903887,0.0009932465618476272,4,poly_d2_o4,0.002308694878593087,real_tanh_autodiff
0.999986171776811,0.9999901056289673,0,poly_d2_o6,1.0000039339065552,real_tanh_autodiff
0.9999490975666133,0.9999477863311768,1,poly_d2_o6,0.9999986886978149,real_tanh_autodiff
0.9996375441119127,0.9996374249458313,2,poly_d2_o6,0.9999998807907104,real_tanh_autodiff
0.9832212924957275,0.9832212924957275,3,poly_d2_o6,1.0,real_tanh_autodiff
0.9999634624006645,0.9999647736549377,4,poly_d2_o6,1.000001311302185,real_tanh_autodiff
