history_endpoint_seconds,history_points,loss,method,ms_per_step,peak_mb,rel_error,seed,steps,task_id,training_seconds,weights
1200.001166,241,4.8440114142067614e-08,war,6.138396590044695,286.43115234375,0.00014816362818237394,0,195491,poly_d2_o2,1200.0012877844274,[1.0]
1200.001177,241,3.666264092316851e-07,real_tanh_autodiff,5.24595293000477,211.19921875,0.0014956740196794271,0,228748,poly_d2_o2,1200.0012408327311,[1.0]
1200.001562,241,8.689101349546036e-08,war,6.157581149093739,286.43115234375,0.00028589743305929005,1,194882,poly_d2_o2,1200.001729497686,[1.0]
1200.002967,241,1.9002604290108138e-07,real_tanh_autodiff,5.2311647097618525,211.19921875,0.0005702360649593174,1,229395,poly_d2_o2,1200.00302859582,[1.0]
1200.003741,241,5.0655351913064806e-08,war,6.245595854338869,286.43115234375,0.00016165548004209995,2,192136,poly_d2_o2,1200.0038050692528,[1.0]
1200.00495,241,3.71696202705607e-08,real_tanh_autodiff,5.236721020607433,211.19921875,0.0001652045757509768,2,229152,poly_d2_o2,1200.0050953142345,[1.0]
1200.000176,241,1.7854738132427883e-08,war,6.106094580369738,286.43115234375,2.7830503313452937e-05,3,196525,poly_d2_o2,1200.0002374071628,[1.0]
1200.002917,241,1.2639014812521054e-07,real_tanh_autodiff,5.202249910002692,211.19921875,0.00048130747745744884,3,230670,poly_d2_o2,1200.002986740321,[1.0]
1200.003259,241,4.990893387457618e-08,war,6.184468362624875,286.43115234375,0.0001325372577412054,4,194035,poly_d2_o2,1200.0033187419176,[1.0]
1200.001947,241,4.7525112734092545e-08,real_tanh_autodiff,5.200622374040652,211.19921875,0.00021768837177660316,4,230742,poly_d2_o2,1200.002007830888,[1.0]
1200.0182,241,1.9351468836248387e-06,war,21.15128758332483,915.55126953125,0.0010330063523724675,0,56735,poly_d2_o4,1200.0183010399342,"[1.0, 1.0]"
1200.033971,241,5.91704383623437e-06,real_tanh_autodiff,38.44908221050768,1304.47119140625,0.003488984191790223,0,31211,poly_d2_o4,1200.0343048721552,"[1.0, 1.0]"
1200.015699,241,3.603954610298388e-05,war,21.030773619294973,915.55126953125,0.005010904278606176,1,57060,poly_d2_o4,1200.015942716971,"[1.0, 1.0]"
1200.008997,241,2.14830265576893e-06,real_tanh_autodiff,38.233905070489996,1304.47119140625,0.0020134360529482365,1,31386,poly_d2_o4,1200.009344542399,"[1.0, 1.0]"
1200.010111,241,1.878266266430728e-05,war,21.139966747197278,915.55126953125,0.0048802439123392105,2,56765,poly_d2_o4,1200.0102124046534,"[1.0, 1.0]"
1200.016969,241,4.4886709815727954e-07,real_tanh_autodiff,38.45346597265547,1304.47119140625,0.0005610297666862607,2,31207,poly_d2_o4,1200.0173126086593,"[1.0, 1.0]"
1200.011055,241,3.143531330351834e-06,war,21.153398699779107,915.55126953125,0.0016250924672931433,3,56729,poly_d2_o4,1200.011154839769,"[1.0, 1.0]"
1200.025471,241,7.566270141978748e-06,real_tanh_autodiff,38.07913392699228,1304.47119140625,0.003310504835098982,3,31514,poly_d2_o4,1200.0258265752345,"[1.0, 1.0]"
1200.013238,241,6.289558314165333e-06,war,21.16836314993746,915.55126953125,0.002308694878593087,4,56689,poly_d2_o4,1200.0133386068046,"[1.0, 1.0]"
1200.01818,241,8.186882496374892e-07,real_tanh_autodiff,38.12850766909907,1304.47119140625,0.0009932465618476272,4,31473,poly_d2_o4,1200.0185218695551,"[1.0, 1.0]"
1200.067134,241,0.24710796773433685,war,70.70866626205115,2911.06591796875,1.0000039339065552,0,16972,poly_d2_o6,1200.067483799532,"[10.0, 1.0, 1.0]"
1200.217908,241,0.24710768461227417,real_tanh_autodiff,370.66805438576307,8676.39990234375,0.9999901056289673,0,3238,poly_d2_o6,1200.2231601011008,"[10.0, 1.0, 1.0]"
1200.00419,241,0.24917477369308472,war,70.58434187171723,2911.06591796875,0.9999986886978149,1,17001,poly_d2_o6,1200.0043961610645,"[10.0, 1.0, 1.0]"
1200.061312,241,0.24917446076869965,real_tanh_autodiff,371.07805907150333,8676.39990234375,0.9999477863311768,1,3234,poly_d2_o6,1200.0664430372417,"[10.0, 1.0, 1.0]"
1200.067372,241,0.24890202283859253,war,69.9625476088905,2911.06591796875,0.9999998807907104,2,17153,poly_d2_o6,1200.0675791352987,"[10.0, 1.0, 1.0]"
1200.297336,241,0.2488882839679718,real_tanh_autodiff,377.5734048320339,8676.39990234375,0.9996374249458313,2,3179,poly_d2_o6,1200.3058539610356,"[10.0, 1.0, 1.0]"
1200.052444,241,0.24727201461791992,war,70.63288999509818,2911.06591796875,1.0,3,16990,poly_d2_o6,1200.0528010167181,"[10.0, 1.0, 1.0]"
1200.106335,241,0.24060194194316864,real_tanh_autodiff,374.0997296273755,8676.39990234375,0.9832212924957275,3,3208,poly_d2_o6,1200.1119326446205,"[10.0, 1.0, 1.0]"
1200.061083,241,0.25291556119918823,war,70.82515500039143,2911.06591796875,1.000001311302185,4,16944,poly_d2_o6,1200.0614263266325,"[10.0, 1.0, 1.0]"
1200.371172,241,0.25291529297828674,real_tanh_autodiff,380.10654997663306,8676.39990234375,0.9999647736549377,4,3158,poly_d2_o6,1200.3764848262072,"[10.0, 1.0, 1.0]"
