L2_err,completed_at,evaluation_seconds,final_history_has_loss,final_history_has_rel_error,history_points,loss,method,ms_per_step,peak_mb,rel_error,seed,started_at,status,steps,task_id,training_seconds,weights
0.00031815950743798105,2026-08-07T17:28:25.858478+00:00,0.9274814873933792,True,True,241,6.658365506747266e-06,war,62.2994610518542,508.73388671875,0.00031815950743798105,0,2026-08-07T17:08:23.968658+00:00,complete,19262,poly_d2_o2,1200.0122187808156,[1.0]
0.0007410026322892768,2026-08-07T17:48:28.847145+00:00,0.307795412838459,True,True,241,4.873127933674017e-07,real_tanh_autodiff,24.637867884086848,357.142578125,0.0007410026322892768,0,2026-08-07T17:28:27.616404+00:00,complete,48706,poly_d2_o2,1200.011993162334,[1.0]
0.00012077170271658243,2026-08-07T18:08:32.462370+00:00,0.9272744562476873,True,True,241,7.047206197702204e-06,war,62.336764609304055,508.73388671875,0.00012077170271658243,1,2026-08-07T17:48:30.538321+00:00,complete,19251,poly_d2_o2,1200.0450554937124,[1.0]
0.0003134987485568798,2026-08-07T18:28:35.422308+00:00,0.3065179791301489,True,True,241,4.851402918356936e-07,real_tanh_autodiff,24.73439936698041,357.142578125,0.0003134987485568798,1,2026-08-07T18:08:34.188920+00:00,complete,48516,poly_d2_o2,1200.0141196884215,[1.0]
0.0005520989212060114,2026-08-07T18:48:39.160457+00:00,0.931454511359334,True,True,241,6.3046580217998295e-06,war,62.43852496331685,508.73388671875,0.0005520989212060114,2,2026-08-07T18:28:37.145655+00:00,complete,19219,poly_d2_o2,1200.0060112699866,[1.0]
0.000509719792943817,2026-08-07T19:08:42.097620+00:00,0.305282112210989,True,True,241,1.5327672207548811e-06,real_tanh_autodiff,24.730645513186854,357.142578125,0.000509719792943817,2,2026-08-07T18:48:40.873371+00:00,complete,48523,poly_d2_o2,1200.0051122363657,[1.0]
0.0008812367985146603,2026-08-07T19:28:45.740543+00:00,0.9272312242537737,True,True,241,7.150666512593387e-06,war,62.2987766038333,508.73388671875,0.0008812367985146603,3,2026-08-07T19:08:43.807697+00:00,complete,19263,poly_d2_o2,1200.061333719641,[1.0]
0.004785182210611303,2026-08-07T19:48:48.701650+00:00,0.298423258587718,True,True,241,8.366432987057301e-06,real_tanh_autodiff,24.404118192440624,357.142578125,0.004785182210611303,3,2026-08-07T19:28:47.466470+00:00,complete,49173,poly_d2_o2,1200.0237038768828,[1.0]
0.0006268510637041858,2026-08-07T20:08:52.358978+00:00,0.9293193016201258,True,True,241,6.592368039128097e-06,war,62.39503564344336,508.73388671875,0.0006268510637041858,4,2026-08-07T19:48:50.439297+00:00,complete,19233,poly_d2_o2,1200.043720530346,[1.0]
0.00043699386808977817,2026-08-07T20:28:55.322251+00:00,0.30647512897849083,True,True,241,2.940891290522715e-07,real_tanh_autodiff,24.543773909431884,357.142578125,0.00043699386808977817,4,2026-08-07T20:08:54.089615+00:00,complete,48893,poly_d2_o2,1200.0187377538532,[1.0]
0.0001536614405965662,2026-08-07T20:48:59.268596+00:00,0.9614361133426428,True,True,241,6.932086987764348e-06,war,250.34433614204625,1764.96923828125,0.0001536614405965662,0,2026-08-07T20:28:57.063570+00:00,complete,4794,poly_d2_o4,1200.1507474649698,"[1.0, 1.0]"
0.007781480245314884,2026-08-07T21:09:02.717740+00:00,0.3283897992223501,True,True,241,5.220965816823454e-05,real_tanh_autodiff,152.7587876803585,2543.68408203125,0.007781480245314884,0,2026-08-07T20:49:01.070506+00:00,complete,7856,poly_d2_o4,1200.0730360168964,"[1.0, 1.0]"
0.00014299436179837906,2026-08-07T21:29:07.667443+00:00,0.9612140394747257,True,True,241,7.3810530818409e-06,war,250.63600346022778,1764.96923828125,0.00014299436179837906,1,2026-08-07T21:09:04.601827+00:00,complete,4788,poly_d2_o4,1200.0451845675707,"[1.0, 1.0]"
0.004993989143467403,2026-08-07T21:49:11.466317+00:00,0.3290405347943306,True,True,241,2.8855610633717294e-05,real_tanh_autodiff,151.92745555584145,2543.68408203125,0.004993989143467403,1,2026-08-07T21:29:09.802275+00:00,complete,7899,poly_d2_o4,1200.0749714355916,"[1.0, 1.0]"
