L2_err,L_bc_final,L_int_final,L_int_last,bc_weight,loss_final,ms_per_step,nan,params,peak_mb,problem,representation,seed,steps,variant
0.0008325541350607261,1.9037641982397605e-06,5.034818973221559e-06,5.063627669902891e-06,1.0,6.9385831714613195e-06,242.6573449788392,False,100098,1759.17626953125,poly_d2_o4,,0,743,complex_sinh_weight_control
0.00034319527632033464,2.1374450143830768e-07,4.99292530321159e-07,5.004039809186075e-07,0.1,5.206669804649898e-07,70.50040624554421,False,100098,572.7421875,chirp_a2,,0,2554,complex_sinh_weight_control
0.002224441758431508,6.266347341721277e-06,1.9218051173611048e-06,1.9260535807990865e-06,0.03,2.109795537612743e-06,70.26605430621271,False,100098,572.88671875,maxwell_a4,native_complex,0,2563,complex_sinh_weight_control
