completed_at,divergence_rms,energy_relative_rmse,evaluation_seconds,final_history_has_loss,final_history_has_rel_error,history_points,loss,method,ms_per_step,peak_mb,pressure_mean_max_abs,pressure_rel_error,rel_error,seed,started_at,status,steps,task_id,training_seconds,velocity_rel_error
2026-08-12T10:22:23.806879+00:00,0.003719845088198781,0.006966482847929001,0.0833215843886137,True,True,121,0.0022016260772943497,war,54.84341059521431,866.04833984375,0.006775091867893934,0.044757574796676636,0.00626645190641284,0,2026-08-12T10:02:22.748518+00:00,complete,21881,hyperviscous_ns_2d_o4,1200.0286672338843,0.00626645190641284
2026-08-12T10:42:26.951714+00:00,0.01826343685388565,0.009114126674830914,0.0918519739061594,True,True,121,0.0071381679736077785,real_tanh_autodiff,225.8998817073049,2521.88232421875,0.009007944725453854,0.14091654121875763,0.022585449740290642,0,2026-08-12T10:22:25.406467+00:00,complete,5313,hyperviscous_ns_2d_o4,1200.206071510911,0.022585449740290642
2026-08-12T11:22:33.083582+00:00,0.002707191277295351,0.006859832908958197,0.08685170114040375,True,True,121,0.0008659578743390739,war,55.04304669076694,866.04833984375,0.005786351393908262,0.03997693210840225,0.0049804640002548695,1,2026-08-12T11:02:32.012236+00:00,complete,21802,hyperviscous_ns_2d_o4,1200.0485039521009,0.0049804640002548695
2026-08-12T11:02:30.366886+00:00,0.019685206934809685,0.021115614101290703,0.0827280767261982,True,True,121,0.010612178593873978,real_tanh_autodiff,213.0468531820732,2521.88232421875,0.0059350538067519665,0.1867951601743698,0.026822663843631744,1,2026-08-12T10:42:28.917561+00:00,complete,5633,hyperviscous_ns_2d_o4,1200.0929239746183,0.026822663843631744
2026-08-12T11:42:35.908700+00:00,0.003955200780183077,0.006920532323420048,0.08697270601987839,True,True,121,0.0008825236582197249,war,56.253240040948256,866.04833984375,0.006044754758477211,0.043436914682388306,0.005381918977946043,2,2026-08-12T11:22:34.832511+00:00,complete,21333,hyperviscous_ns_2d_o4,1200.0503697935492,0.005381918977946043
2026-08-12T12:02:39.148341+00:00,0.023902637884020805,0.038182735443115234,0.09408771991729736,True,True,121,0.011369711719453335,real_tanh_autodiff,242.88707046658917,2521.88232421875,0.01049681194126606,0.24706459045410156,0.04035002365708351,2,2026-08-12T11:42:37.697065+00:00,complete,4941,hyperviscous_ns_2d_o4,1200.105015175417,0.04035002365708351
2026-08-12T12:42:45.128483+00:00,0.003947685472667217,0.008375286124646664,0.08664591051638126,True,True,121,0.0015104571357369423,war,56.438299695833415,866.04833984375,0.0033779277000576258,0.0428156740963459,0.0063581508584320545,3,2026-08-12T12:22:44.062607+00:00,complete,21263,hyperviscous_ns_2d_o4,1200.0475664325058,0.0063581508584320545
2026-08-12T12:22:42.171552+00:00,0.022180752828717232,0.018112054094672203,0.0882751289755106,True,True,121,0.0072684683836996555,real_tanh_autodiff,221.97957345034033,2521.88232421875,0.0028927053790539503,0.17443275451660156,0.02769753895699978,3,2026-08-12T12:02:40.827615+00:00,complete,5406,hyperviscous_ns_2d_o4,1200.0215740725398,0.02769753895699978
2026-08-12T13:02:47.968507+00:00,0.0032045042607933283,0.007424470968544483,0.0873201135545969,True,True,121,0.0018244419479742646,war,56.37426970191183,866.04833984375,0.013201836496591568,0.04851171374320984,0.0054670581594109535,4,2026-08-12T12:42:46.882906+00:00,complete,21287,hyperviscous_ns_2d_o4,1200.039079144597,0.0054670581594109535
2026-08-12T13:22:51.245747+00:00,0.019632892683148384,0.03140735626220703,0.08917281776666641,True,True,121,0.008296562358736992,real_tanh_autodiff,224.32343550931628,2521.88232421875,0.004117883741855621,0.19487281143665314,0.028616731986403465,4,2026-08-12T13:02:49.777000+00:00,complete,5350,hyperviscous_ns_2d_o4,1200.130379974842,0.028616731986403465
