bc_weights,vanilla_L2_err,sinh_L2_err,geometric_mean,max_error,weight_sum
"[0.3, 3.0]",0.13851218662593404,0.004636823372827038,0.025342780912293576,0.13851218662593404,3.3
"[0.03, 1.0]",0.11176263972588434,0.021664517934063463,0.04920654136087696,0.11176263972588434,1.03
"[0.03, 3.0]",0.1533495601742407,0.016726086922625217,0.050645217671767356,0.1533495601742407,3.03
"[0.01, 1.0]",0.10864987496459438,0.02764642356655033,0.054806755639463904,0.10864987496459438,1.01
"[0.1, 1.0]",0.13209819425770158,0.023817143761944878,0.056091012500479966,0.13209819425770158,1.1
"[0.3, 1.0]",0.16963647328045273,0.018718122453087988,0.05634958987759807,0.16963647328045273,1.3
"[0.1, 3.0]",0.3852949568794841,0.008247934988155367,0.05637275721131716,0.3852949568794841,3.1
"[0.01, 0.3]",0.10553629330561698,0.03197430360312909,0.05809001190654619,0.10553629330561698,0.31
"[1.0, 3.0]",0.3724950112411509,0.009321715746543875,0.05892616237118852,0.3724950112411509,4.0
"[0.03, 0.3]",0.15510559980471839,0.02881900110654412,0.06685797224268299,0.15510559980471839,0.32999999999999996
"[0.01, 3.0]",0.2476929569339438,0.026021603370921898,0.08028304854143199,0.2476929569339438,3.01
"[0.01, 0.1]",0.13815122072507888,0.05546499394658816,0.08753603041736736,0.13815122072507888,0.11
"[0.3, 0.3]",0.22168616103059607,0.0355315959765682,0.08875169354629565,0.22168616103059607,0.6
"[0.1, 0.3]",0.3168342675764133,0.036844096239979474,0.10804384409446371,0.3168342675764133,0.4
"[0.03, 0.1]",0.242919120353961,0.05099155310488504,0.11129610606719789,0.242919120353961,0.13
"[0.1, 0.1]",0.2559256731457273,0.055342133070840245,0.11901038887204429,0.2559256731457273,0.2
"[0.3, 0.1]",0.2841366825342092,0.053396838299495854,0.1231746747194177,0.2841366825342092,0.4
"[1.0, 1.0]",0.7524650138717852,0.02162124290284895,0.12755088726001665,0.7524650138717852,2.0
"[0.01, 0.03]",0.2623880095093866,0.09126189597997379,0.1547450394366101,0.2623880095093866,0.04
"[0.1, 0.03]",0.3229376293276,0.07644241132340136,0.15711820738814622,0.3229376293276,0.13
"[0.3, 0.03]",0.332457810948678,0.0776206429367601,0.16064118100656577,0.332457810948678,0.32999999999999996
"[0.03, 0.03]",0.3425880087296508,0.07905150821636502,0.16456639628709172,0.3425880087296508,0.06
"[0.1, 0.01]",0.35498381544665863,0.08712774088928371,0.17586625000870912,0.35498381544665863,0.11
"[0.3, 0.01]",0.38809718736540355,0.09136119608457631,0.1883003537828944,0.38809718736540355,0.31
"[1.0, 0.3]",0.9516217725827545,0.04137043801192088,0.1984162532491457,0.9516217725827545,1.3
"[0.03, 0.01]",0.39146075567186694,0.10251494359734573,0.20032617724170693,0.39146075567186694,0.04
"[0.01, 0.01]",0.35815685054381335,0.1269364643935282,0.2132209283967054,0.35815685054381335,0.02
"[3.0, 3.0]",0.9696639028190466,0.04734585230844872,0.21426517199886813,0.9696639028190466,6.0
"[3.0, 1.0]",0.9721135432881921,0.05675154791609994,0.23488071085512646,0.9721135432881921,4.0
"[3.0, 0.3]",0.9665404185796189,0.07223998432455522,0.26424016478809714,0.9665404185796189,3.3
"[3.0, 0.1]",0.9701113043999149,0.08296183473472964,0.2836938732329599,0.9701113043999149,3.1
"[3.0, 0.03]",0.9659295068354257,0.0856168053264314,0.2875757266282823,0.9659295068354257,3.03
"[3.0, 0.01]",0.9666296741853744,0.08621140233564804,0.28867715488200946,0.9666296741853744,3.01
"[1.0, 0.1]",1.3127743304548285,0.0658799022620553,0.2940840774038934,1.3127743304548285,1.1
"[1.0, 0.03]",1.356329209447657,0.08599730237291323,0.3415269435082458,1.356329209447657,1.03
"[1.0, 0.01]",1.3804663166628597,0.09445908410575123,0.3611060563197655,1.3804663166628597,1.01
