task_id,candidate_id,method,history_path,history_rows,history_all_finite
cahn_hilliard_2d_o4,point_023,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_023_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_024,war,history/cahn_hilliard_2d_o4/point_024_war.json,13,True
cahn_hilliard_2d_o4,point_024,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_024_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_025,war,history/cahn_hilliard_2d_o4/point_025_war.json,13,True
cahn_hilliard_2d_o4,point_025,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_025_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_026,war,history/cahn_hilliard_2d_o4/point_026_war.json,13,True
cahn_hilliard_2d_o4,point_026,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_026_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_027,war,history/cahn_hilliard_2d_o4/point_027_war.json,13,True
cahn_hilliard_2d_o4,point_027,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_027_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_028,war,history/cahn_hilliard_2d_o4/point_028_war.json,13,True
cahn_hilliard_2d_o4,point_028,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_028_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_029,war,history/cahn_hilliard_2d_o4/point_029_war.json,13,True
cahn_hilliard_2d_o4,point_029,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_029_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_030,war,history/cahn_hilliard_2d_o4/point_030_war.json,13,True
cahn_hilliard_2d_o4,point_030,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_030_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_031,war,history/cahn_hilliard_2d_o4/point_031_war.json,13,True
cahn_hilliard_2d_o4,point_031,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_031_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_032,war,history/cahn_hilliard_2d_o4/point_032_war.json,13,True
cahn_hilliard_2d_o4,point_032,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_032_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_033,war,history/cahn_hilliard_2d_o4/point_033_war.json,13,True
cahn_hilliard_2d_o4,point_033,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_033_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_034,war,history/cahn_hilliard_2d_o4/point_034_war.json,13,True
cahn_hilliard_2d_o4,point_034,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_034_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_035,war,history/cahn_hilliard_2d_o4/point_035_war.json,13,True
cahn_hilliard_2d_o4,point_035,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_035_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_036,war,history/cahn_hilliard_2d_o4/point_036_war.json,13,True
cahn_hilliard_2d_o4,point_036,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_036_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_037,war,history/cahn_hilliard_2d_o4/point_037_war.json,13,True
cahn_hilliard_2d_o4,point_037,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_037_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_038,war,history/cahn_hilliard_2d_o4/point_038_war.json,13,True
cahn_hilliard_2d_o4,point_038,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_038_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_039,war,history/cahn_hilliard_2d_o4/point_039_war.json,13,True
cahn_hilliard_2d_o4,point_039,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_039_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_040,war,history/cahn_hilliard_2d_o4/point_040_war.json,13,True
cahn_hilliard_2d_o4,point_040,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_040_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_041,war,history/cahn_hilliard_2d_o4/point_041_war.json,13,True
cahn_hilliard_2d_o4,point_041,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_041_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_042,war,history/cahn_hilliard_2d_o4/point_042_war.json,13,True
cahn_hilliard_2d_o4,point_042,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_042_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_043,war,history/cahn_hilliard_2d_o4/point_043_war.json,13,True
cahn_hilliard_2d_o4,point_043,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_043_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_044,war,history/cahn_hilliard_2d_o4/point_044_war.json,13,True
cahn_hilliard_2d_o4,point_044,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_044_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_045,war,history/cahn_hilliard_2d_o4/point_045_war.json,13,True
cahn_hilliard_2d_o4,point_045,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_045_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_046,war,history/cahn_hilliard_2d_o4/point_046_war.json,13,True
cahn_hilliard_2d_o4,point_046,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_046_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_047,war,history/cahn_hilliard_2d_o4/point_047_war.json,13,True
cahn_hilliard_2d_o4,point_047,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_047_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o4,point_048,war,history/cahn_hilliard_2d_o4/point_048_war.json,13,True
cahn_hilliard_2d_o4,point_048,real_sinh_autodiff,history/cahn_hilliard_2d_o4/point_048_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_000,war,history/cahn_hilliard_2d_o6/point_000_war.json,13,True
cahn_hilliard_2d_o6,point_000,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_000_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_001,war,history/cahn_hilliard_2d_o6/point_001_war.json,13,True
cahn_hilliard_2d_o6,point_001,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_001_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_002,war,history/cahn_hilliard_2d_o6/point_002_war.json,13,True
cahn_hilliard_2d_o6,point_002,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_002_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_003,war,history/cahn_hilliard_2d_o6/point_003_war.json,13,True
cahn_hilliard_2d_o6,point_003,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_003_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_004,war,history/cahn_hilliard_2d_o6/point_004_war.json,13,True
cahn_hilliard_2d_o6,point_004,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_004_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_005,war,history/cahn_hilliard_2d_o6/point_005_war.json,13,True
cahn_hilliard_2d_o6,point_005,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_005_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_006,war,history/cahn_hilliard_2d_o6/point_006_war.json,13,True
cahn_hilliard_2d_o6,point_006,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_006_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_007,war,history/cahn_hilliard_2d_o6/point_007_war.json,13,True
cahn_hilliard_2d_o6,point_007,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_007_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_008,war,history/cahn_hilliard_2d_o6/point_008_war.json,13,True
cahn_hilliard_2d_o6,point_008,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_008_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_009,war,history/cahn_hilliard_2d_o6/point_009_war.json,13,True
cahn_hilliard_2d_o6,point_009,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_009_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_010,war,history/cahn_hilliard_2d_o6/point_010_war.json,13,True
cahn_hilliard_2d_o6,point_010,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_010_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_011,war,history/cahn_hilliard_2d_o6/point_011_war.json,13,True
cahn_hilliard_2d_o6,point_011,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_011_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_012,war,history/cahn_hilliard_2d_o6/point_012_war.json,13,True
cahn_hilliard_2d_o6,point_012,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_012_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_013,war,history/cahn_hilliard_2d_o6/point_013_war.json,13,True
cahn_hilliard_2d_o6,point_013,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_013_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_014,war,history/cahn_hilliard_2d_o6/point_014_war.json,13,True
cahn_hilliard_2d_o6,point_014,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_014_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_015,war,history/cahn_hilliard_2d_o6/point_015_war.json,13,True
cahn_hilliard_2d_o6,point_015,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_015_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_016,war,history/cahn_hilliard_2d_o6/point_016_war.json,13,True
cahn_hilliard_2d_o6,point_016,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_016_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_017,war,history/cahn_hilliard_2d_o6/point_017_war.json,13,True
cahn_hilliard_2d_o6,point_017,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_017_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_018,war,history/cahn_hilliard_2d_o6/point_018_war.json,13,True
cahn_hilliard_2d_o6,point_018,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_018_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_019,war,history/cahn_hilliard_2d_o6/point_019_war.json,13,True
cahn_hilliard_2d_o6,point_019,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_019_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_020,war,history/cahn_hilliard_2d_o6/point_020_war.json,13,True
cahn_hilliard_2d_o6,point_020,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_020_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_021,war,history/cahn_hilliard_2d_o6/point_021_war.json,13,True
cahn_hilliard_2d_o6,point_021,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_021_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_022,war,history/cahn_hilliard_2d_o6/point_022_war.json,13,True
cahn_hilliard_2d_o6,point_022,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_022_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_023,war,history/cahn_hilliard_2d_o6/point_023_war.json,13,True
cahn_hilliard_2d_o6,point_023,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_023_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_024,war,history/cahn_hilliard_2d_o6/point_024_war.json,13,True
cahn_hilliard_2d_o6,point_024,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_024_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_025,war,history/cahn_hilliard_2d_o6/point_025_war.json,13,True
cahn_hilliard_2d_o6,point_025,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_025_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_026,war,history/cahn_hilliard_2d_o6/point_026_war.json,13,True
cahn_hilliard_2d_o6,point_026,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_026_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_027,war,history/cahn_hilliard_2d_o6/point_027_war.json,13,True
cahn_hilliard_2d_o6,point_027,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_027_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_028,war,history/cahn_hilliard_2d_o6/point_028_war.json,13,True
cahn_hilliard_2d_o6,point_028,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_028_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_029,war,history/cahn_hilliard_2d_o6/point_029_war.json,13,True
cahn_hilliard_2d_o6,point_029,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_029_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_030,war,history/cahn_hilliard_2d_o6/point_030_war.json,13,True
cahn_hilliard_2d_o6,point_030,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_030_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_031,war,history/cahn_hilliard_2d_o6/point_031_war.json,13,True
cahn_hilliard_2d_o6,point_031,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_031_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_032,war,history/cahn_hilliard_2d_o6/point_032_war.json,13,True
cahn_hilliard_2d_o6,point_032,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_032_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_033,war,history/cahn_hilliard_2d_o6/point_033_war.json,13,True
cahn_hilliard_2d_o6,point_033,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_033_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_034,war,history/cahn_hilliard_2d_o6/point_034_war.json,13,True
cahn_hilliard_2d_o6,point_034,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_034_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_035,war,history/cahn_hilliard_2d_o6/point_035_war.json,13,True
cahn_hilliard_2d_o6,point_035,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_035_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_036,war,history/cahn_hilliard_2d_o6/point_036_war.json,13,True
cahn_hilliard_2d_o6,point_036,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_036_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_037,war,history/cahn_hilliard_2d_o6/point_037_war.json,13,True
cahn_hilliard_2d_o6,point_037,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_037_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_038,war,history/cahn_hilliard_2d_o6/point_038_war.json,13,True
cahn_hilliard_2d_o6,point_038,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_038_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_039,war,history/cahn_hilliard_2d_o6/point_039_war.json,13,True
cahn_hilliard_2d_o6,point_039,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_039_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_040,war,history/cahn_hilliard_2d_o6/point_040_war.json,13,True
cahn_hilliard_2d_o6,point_040,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_040_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_041,war,history/cahn_hilliard_2d_o6/point_041_war.json,13,True
cahn_hilliard_2d_o6,point_041,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_041_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_042,war,history/cahn_hilliard_2d_o6/point_042_war.json,13,True
cahn_hilliard_2d_o6,point_042,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_042_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_043,war,history/cahn_hilliard_2d_o6/point_043_war.json,13,True
cahn_hilliard_2d_o6,point_043,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_043_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_044,war,history/cahn_hilliard_2d_o6/point_044_war.json,13,True
cahn_hilliard_2d_o6,point_044,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_044_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_045,war,history/cahn_hilliard_2d_o6/point_045_war.json,13,True
cahn_hilliard_2d_o6,point_045,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_045_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_046,war,history/cahn_hilliard_2d_o6/point_046_war.json,13,True
cahn_hilliard_2d_o6,point_046,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_046_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_047,war,history/cahn_hilliard_2d_o6/point_047_war.json,13,True
cahn_hilliard_2d_o6,point_047,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_047_real_sinh_autodiff.json,13,True
cahn_hilliard_2d_o6,point_048,war,history/cahn_hilliard_2d_o6/point_048_war.json,13,True
cahn_hilliard_2d_o6,point_048,real_sinh_autodiff,history/cahn_hilliard_2d_o6/point_048_real_sinh_autodiff.json,13,True
