task_id,candidate_id,candidate_index,method,lambda_ic,lambda_bc,weight_labels,status,loss,rel_error,steps,training_seconds,mass_drift_rms,mass_drift_max_abs,atomic_json_path,raw_log_path,source,note
cahn_hilliard_2d_o4,point_006,6,real_sinh_autodiff,0.001,1000.0,"[""1e-3"", ""1e+3""]",complete,0.5826625227928162,0.9954767227172852,944,60.03765910863876,0.0443032942712307,0.06787063181400299,search/cahn_hilliard_2d_o4/points/point_006/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_006/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_007,7,war,0.01,0.001,"[""1e-2"", ""1e-3""]",complete,0.0003227250126656145,0.11314290761947632,1575,60.033491326496005,0.008922377601265907,0.014741797000169754,search/cahn_hilliard_2d_o4/points/point_007/war.json,search/cahn_hilliard_2d_o4/points/point_007/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_007,7,real_sinh_autodiff,0.01,0.001,"[""1e-2"", ""1e-3""]",complete,0.07591128349304199,0.8465417623519897,971,60.00640912167728,0.1046644076704979,0.12579472362995148,search/cahn_hilliard_2d_o4/points/point_007/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_007/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_008,8,war,0.01,0.01,"[""1e-2"", ""1e-2""]",complete,0.0004450920387171209,0.1163790300488472,1604,60.021310767158866,0.00766985397785902,0.012435520067811012,search/cahn_hilliard_2d_o4/points/point_008/war.json,search/cahn_hilliard_2d_o4/points/point_008/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_008,8,real_sinh_autodiff,0.01,0.01,"[""1e-2"", ""1e-2""]",complete,0.07880035787820816,0.8118831515312195,927,60.03266209550202,0.08914380520582199,0.12088415026664734,search/cahn_hilliard_2d_o4/points/point_008/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_008/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_009,9,war,0.01,0.1,"[""1e-2"", ""1e-1""]",complete,0.00037945754593238235,0.11371905356645584,1637,60.01362311094999,0.007790231611579657,0.013489222154021263,search/cahn_hilliard_2d_o4/points/point_009/war.json,search/cahn_hilliard_2d_o4/points/point_009/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_009,9,real_sinh_autodiff,0.01,0.1,"[""1e-2"", ""1e-1""]",complete,0.06697739660739899,0.7454690337181091,971,60.060013392940164,0.06225977838039398,0.0685080736875534,search/cahn_hilliard_2d_o4/points/point_009/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_009/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_010,10,war,0.01,1.0,"[""1e-2"", ""1e+0""]",complete,0.004223133437335491,0.6196987628936768,1592,60.032890893518925,0.05682715028524399,0.0821024551987648,search/cahn_hilliard_2d_o4/points/point_010/war.json,search/cahn_hilliard_2d_o4/points/point_010/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_010,10,real_sinh_autodiff,0.01,1.0,"[""1e-2"", ""1e+0""]",complete,0.07671776413917542,0.7819525003433228,952,60.05985661409795,0.10272608697414398,0.1294250339269638,search/cahn_hilliard_2d_o4/points/point_010/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_010/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_011,11,war,0.01,10.0,"[""1e-2"", ""1e+1""]",complete,0.00042752420995384455,0.06973918527364731,1627,60.02832583710551,0.0025158924981951714,0.0032546394504606724,search/cahn_hilliard_2d_o4/points/point_011/war.json,search/cahn_hilliard_2d_o4/points/point_011/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_011,11,real_sinh_autodiff,0.01,10.0,"[""1e-2"", ""1e+1""]",complete,0.061277858912944794,0.38608184456825256,956,60.03854358382523,0.053102388978004456,0.06148778274655342,search/cahn_hilliard_2d_o4/points/point_011/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_011/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_012,12,war,0.01,100.0,"[""1e-2"", ""1e+2""]",complete,0.0004534156178124249,0.03732552006840706,1668,60.02674834802747,0.005982722155749798,0.0062310099601745605,search/cahn_hilliard_2d_o4/points/point_012/war.json,search/cahn_hilliard_2d_o4/points/point_012/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_012,12,real_sinh_autodiff,0.01,100.0,"[""1e-2"", ""1e+2""]",complete,0.11909672617912292,0.45603469014167786,918,60.02389201708138,0.013260088860988617,0.019766489043831825,search/cahn_hilliard_2d_o4/points/point_012/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_012/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_013,13,war,0.01,1000.0,"[""1e-2"", ""1e+3""]",complete,0.011697047390043736,1.2323698997497559,1568,60.00098128430545,0.18752722442150116,0.1938088983297348,search/cahn_hilliard_2d_o4/points/point_013/war.json,search/cahn_hilliard_2d_o4/points/point_013/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_013,13,real_sinh_autodiff,0.01,1000.0,"[""1e-2"", ""1e+3""]",complete,0.6322774887084961,0.9852052927017212,946,60.035278080031276,0.025363625958561897,0.04065943509340286,search/cahn_hilliard_2d_o4/points/point_013/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_013/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_014,14,war,0.1,0.001,"[""1e-1"", ""1e-3""]",complete,0.0003104780334979296,0.10071845352649689,1587,60.01792857795954,0.006636940874159336,0.010661843232810497,search/cahn_hilliard_2d_o4/points/point_014/war.json,search/cahn_hilliard_2d_o4/points/point_014/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_014,14,real_sinh_autodiff,0.1,0.001,"[""1e-1"", ""1e-3""]",complete,0.08240069448947906,0.8509134650230408,905,60.02561836130917,0.07913590222597122,0.09647966921329498,search/cahn_hilliard_2d_o4/points/point_014/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_014/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_015,15,war,0.1,0.01,"[""1e-1"", ""1e-2""]",complete,0.000266268034465611,0.10330051183700562,1561,60.02433141320944,0.006599545478820801,0.010874385945498943,search/cahn_hilliard_2d_o4/points/point_015/war.json,search/cahn_hilliard_2d_o4/points/point_015/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_015,15,real_sinh_autodiff,0.1,0.01,"[""1e-1"", ""1e-2""]",complete,0.15308086574077606,2.37154483795166,904,60.01716448366642,0.22587838768959045,0.26767343282699585,search/cahn_hilliard_2d_o4/points/point_015/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_015/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_016,16,war,0.1,0.1,"[""1e-1"", ""1e-1""]",complete,0.0002662627666722983,0.09352485835552216,1593,60.0149395018816,0.006011209916323423,0.010372240096330643,search/cahn_hilliard_2d_o4/points/point_016/war.json,search/cahn_hilliard_2d_o4/points/point_016/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_016,16,real_sinh_autodiff,0.1,0.1,"[""1e-1"", ""1e-1""]",complete,0.07023724913597107,0.6219990849494934,983,60.057297106832266,0.050498172640800476,0.05508458614349365,search/cahn_hilliard_2d_o4/points/point_016/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_016/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_017,17,war,0.1,1.0,"[""1e-1"", ""1e+0""]",complete,0.005632386542856693,0.6318047046661377,1570,60.03485248982906,0.04470737650990486,0.06688116490840912,search/cahn_hilliard_2d_o4/points/point_017/war.json,search/cahn_hilliard_2d_o4/points/point_017/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_017,17,real_sinh_autodiff,0.1,1.0,"[""1e-1"", ""1e+0""]",complete,0.08477655798196793,0.670197069644928,979,60.02675871923566,0.0678965151309967,0.08693324029445648,search/cahn_hilliard_2d_o4/points/point_017/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_017/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_018,18,war,0.1,10.0,"[""1e-1"", ""1e+1""]",complete,0.00046835833927616477,0.07517778128385544,1596,60.01933294162154,0.0028277772944420576,0.003868208732455969,search/cahn_hilliard_2d_o4/points/point_018/war.json,search/cahn_hilliard_2d_o4/points/point_018/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_018,18,real_sinh_autodiff,0.1,10.0,"[""1e-1"", ""1e+1""]",complete,0.06599348783493042,0.3235430121421814,963,60.050949435681105,0.04107951372861862,0.0540473610162735,search/cahn_hilliard_2d_o4/points/point_018/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_018/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_019,19,war,0.1,100.0,"[""1e-1"", ""1e+2""]",complete,0.0005224928609095514,0.07400786876678467,1587,60.032170267775655,0.003357264678925276,0.003844155929982662,search/cahn_hilliard_2d_o4/points/point_019/war.json,search/cahn_hilliard_2d_o4/points/point_019/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_019,19,real_sinh_autodiff,0.1,100.0,"[""1e-1"", ""1e+2""]",complete,0.1119379997253418,0.463959276676178,969,60.04774170182645,0.007900197990238667,0.012196620926260948,search/cahn_hilliard_2d_o4/points/point_019/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_019/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_020,20,war,0.1,1000.0,"[""1e-1"", ""1e+3""]",complete,0.012536576949059963,1.1624213457107544,1640,60.021568002179265,0.17301294207572937,0.1779838651418686,search/cahn_hilliard_2d_o4/points/point_020/war.json,search/cahn_hilliard_2d_o4/points/point_020/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_020,20,real_sinh_autodiff,0.1,1000.0,"[""1e-1"", ""1e+3""]",complete,0.6324633955955505,0.9637675881385803,980,60.05136904492974,0.024702392518520355,0.03580567240715027,search/cahn_hilliard_2d_o4/points/point_020/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_020/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_021,21,war,1.0,0.001,"[""1e+0"", ""1e-3""]",complete,0.0003792693605646491,0.07287183403968811,1636,60.03127038292587,0.0023880554363131523,0.0028593919705599546,search/cahn_hilliard_2d_o4/points/point_021/war.json,search/cahn_hilliard_2d_o4/points/point_021/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_021,21,real_sinh_autodiff,1.0,0.001,"[""1e+0"", ""1e-3""]",complete,0.07809983938932419,0.46212777495384216,951,60.02491595223546,0.031164685264229774,0.03883793205022812,search/cahn_hilliard_2d_o4/points/point_021/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_021/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_022,22,war,1.0,0.01,"[""1e+0"", ""1e-2""]",complete,0.0003672635939437896,0.0713868960738182,1649,60.01707295514643,0.0016060360940173268,0.002014306839555502,search/cahn_hilliard_2d_o4/points/point_022/war.json,search/cahn_hilliard_2d_o4/points/point_022/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_022,22,real_sinh_autodiff,1.0,0.01,"[""1e+0"", ""1e-2""]",complete,0.07505232840776443,0.41424596309661865,960,60.00573276169598,0.05191880837082863,0.06373672187328339,search/cahn_hilliard_2d_o4/points/point_022/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_022/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_023,23,war,1.0,0.1,"[""1e+0"", ""1e-1""]",complete,0.00043843904859386384,0.07510504871606827,1587,60.03656447120011,0.0016020342009142041,0.002411716850474477,search/cahn_hilliard_2d_o4/points/point_023/war.json,search/cahn_hilliard_2d_o4/points/point_023/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_023,23,real_sinh_autodiff,1.0,0.1,"[""1e+0"", ""1e-1""]",complete,0.08677193522453308,0.38140439987182617,966,60.065574733540416,0.017485959455370903,0.024964774027466774,search/cahn_hilliard_2d_o4/points/point_023/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_023/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_024,24,war,1.0,1.0,"[""1e+0"", ""1e+0""]",complete,0.0004100275691598654,0.07399776577949524,1606,60.02901329472661,0.0009582872153259814,0.0012542640324681997,search/cahn_hilliard_2d_o4/points/point_024/war.json,search/cahn_hilliard_2d_o4/points/point_024/war.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
cahn_hilliard_2d_o4,point_024,24,real_sinh_autodiff,1.0,1.0,"[""1e+0"", ""1e+0""]",complete,0.05849664285778999,0.3261573612689972,987,60.03436720184982,0.03045136108994484,0.04175082966685295,search/cahn_hilliard_2d_o4/points/point_024/real_sinh_autodiff.json,search/cahn_hilliard_2d_o4/points/point_024/real_sinh_autodiff.log,atomic_json,Raw pre-flush-fix log retained verbatim; metrics copied from its atomic JSON result.
